cell,time_s,x_um,layer,temperature_C,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk
3,39.999999999997854,175.1109375000001,cCL,8.710564665220794,1.7725886514943452e-05,92.56534051093615,9.173713544209573,0.009971427765445188
3,39.999999999997854,175.4640625000001,cCL,8.710564665220794,1.7670130734888862e-05,92.56344266719526,9.158667336631803,0.00995507319199109
3,39.999999999997854,175.81718750000007,cCL,8.710564665220794,1.761442198277575e-05,92.56146327825961,9.142456298308886,0.009937452498161832
3,39.999999999997854,176.17031250000008,cCL,8.710564665220794,1.7558774220587214e-05,92.55940235178507,9.124842836666971,0.009918307431159751
3,39.999999999997854,176.52343750000006,cCL,8.710564665220794,1.7503215250389414e-05,92.55725988042136,9.105357177168084,0.009897127366487048
3,39.999999999997854,177.87187500000007,cGDL,8.710564665220794,3.82433945590987e-05,92.54873886402962,8.990314128024378,0.009772080573939542
3,39.999999999997854,180.21562500000007,cGDL,8.710564665220794,3.7999698532957334e-05,92.53413814197232,8.789482738426987,0.009553785585246725
3,39.999999999997854,182.5593750000001,cGDL,8.710564665220794,3.77538347359796e-05,92.51975918913719,8.595235640256163,0.009342647435061047
3,39.999999999997854,184.9031250000001,cGDL,8.710564665220794,3.750601559482348e-05,92.50560194100723,8.404016977097793,0.009134801062062818
3,39.999999999997854,187.24687500000013,cGDL,8.710564665220794,3.725632727573792e-05,92.49166668487187,8.214373146112292,0.008928666463165535
3,39.999999999997854,189.59062500000013,cGDL,8.710564665220794,3.7004798287400674e-05,92.47795385531226,8.025820169319374,0.008723717575347146
3,39.999999999997854,191.93437500000016,cGDL,8.710564665220794,3.6751436893366165e-05,92.46446393318055,7.83821745404424,0.008519801580482869
3,39.999999999997854,194.27812500000016,cGDL,8.710564665220794,3.649624372835477e-05,92.45119741073513,7.651555551630507,0.00831690820829403
3,39.999999999997854,196.6218750000002,cGDL,8.710564665220794,3.623921622475032e-05,92.43815477888965,7.465881444766148,0.008115088526919726
3,39.999999999997854,198.9656250000002,cGDL,8.710564665220794,3.598035041452862e-05,92.42533652190714,7.28126800578929,0.007914421745423141
3,39.999999999997854,201.30937500000022,cGDL,8.710564665220794,3.571964175122912e-05,92.41274311501138,7.097799979032554,0.007714999977209298
3,39.999999999997854,203.65312500000022,cGDL,8.710564665220794,3.545708551230485e-05,92.40037502329224,6.915567058512286,0.007516920715774224
