strategy,grid_scale,dt_s,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
ramp,2,0.0125,success,27.22606960236925,13.563034801184626,0.5,0.49690148575308996,0.03931143732867321,0.03139047092700516,1.0024846583866321e-07,7.7151378738289935,1.889929990284145e-09,1.0789925810467116e-14,0.3474475600811894,0.01943970776386382,0.46172806115095855,1.893791790053001e-10,628907.3489823261,430.6354496525883,13160.090103054243,616177.8943289263,0.5738587295158354,7.715137974077459,0.0,0.01320597111899107,0.03931143732867321
ramp,4,0.0125,success,27.218352338670673,13.559176169335338,0.5,0.4968067099304458,0.041099444422679925,0.03151215353333188,1.0021417590861167e-07,7.714276834736268,6.912159733474255e-10,4.585557194375367e-14,0.3472977961498078,0.01944489575346099,0.45230349090803174,1.893791790053001e-10,628852.8167904048,430.28676218940456,13156.245249375046,616126.8583032199,0.5735913361265489,7.714276934950443,0.0,0.013257162991472723,0.041099444422679925
ramp,4,0.00625,success,27.21702568978262,13.558512844891311,0.5,0.4967752320842461,0.04070456307496891,0.03149255507237831,1.0002576777256271e-07,7.714738838228255,-2.864908310584724e-09,2.700639191444143e-15,0.3473023855597063,0.019444788622712175,0.4521488776638397,6.25787421881796e-10,628831.9771984215,422.52350027466935,13153.614360742584,616100.8863379507,0.5735858487681441,7.7147389382540235,0.0,0.013248917918949558,0.04070456307496891
step,1,0.1,success,27.15258631885317,13.576293159426585,0.5,0.49748589018460027,0.03786897697933831,0.03119334406981825,1.0510678359223101e-07,7.7104679877953926,-2.1373125491663814e-09,6.539907504432563e-16,0.347774731617332,0.01943302672008932,0.48279132537018565,9.806218059793537e-10,629335.8881708796,531.2712711011816,13204.071180903293,616663.0882610753,0.5744517089055572,7.710468092902176,0.0,0.01312303985017254,0.03786897697933831
step,1,0.05,success,27.14225208938387,13.571126044691935,0.5,0.49728147324421157,0.037069361843017505,0.031143501274419765,1.0100566579689106e-07,7.7140756757201885,-2.7812347980216146e-09,2.7339784082480723e-15,0.3478171222462584,0.01943075243530372,0.48156198801300476,9.201244210998993e-10,629141.1676101724,478.6162471555051,13182.86950421536,616436.9143531098,0.5744014464644212,7.7140757767258545,0.0,0.013102070986148396,0.037069361843017505
step,1,0.025,success,27.137328334452945,13.568664167226473,0.5,0.4971662130644477,0.036675439177309664,0.03112853458368735,1.009930206651073e-07,7.715885569334154,2.990418579429388e-09,-2.1071469222255779e-16,0.3477938892556248,0.0194301449164056,0.48090277382286895,1.1513101583204843e-10,629049.111028713,447.00246546664323,13172.371598155341,616323.7418960273,0.5743739077093932,7.715885670327175,0.0,0.01309577449935727,0.036675439177309664
step,2,0.05,success,27.127228953244956,13.563614476622478,0.5,0.49706157510677723,0.04050387150590361,0.0314519033961988,1.0190274128998461e-07,7.712389613370881,2.9576767701655626e-09,1.1790915466214358e-14,0.34745109239938976,0.019439639008504466,0.4626063592165437,9.224887520531411e-10,629021.35394527,477.3206339985082,13175.47366132745,616323.200917944,0.5738957120003628,7.7123897152736225,0.0,0.013231815758780838,0.04050387150590361
step,2,0.025,success,27.122024645211535,13.561012322605768,0.5,0.4969489210214935,0.039688704748873045,0.03139260049097163,1.0111604712866342e-07,7.714220251002661,1.2005330063402653e-09,9.050377634822748e-16,0.347461963304599,0.019439242408444357,0.46198796110540946,1.1542233835371007e-10,628933.4548880751,447.7929223662297,13164.936506535016,616216.3113039075,0.5738721524271287,7.7142203521187085,0.0,0.013206867026551767,0.039688704748873045
step,2,0.0125,success,27.119494025709468,13.559747012854734,0.5,0.49688882001801316,0.03928368433678667,0.03136570366543639,1.0034932485186052e-07,7.7151388197112665,-7.619746611453593e-09,1.040476298869164e-14,0.3474666766497605,0.01943902201138007,0.4616483435741978,3.015934169070533e-10,628891.1592500358,431.40170641409094,13159.696709158572,616162.8642472837,0.5738598243315612,7.715138920060592,0.0,0.01319555153204909,0.03928368433678667
step,4,0.0125,success,27.11179388046487,13.555896940232435,0.5,0.4967958904486416,0.041071667040485045,0.03148722799535706,1.0010339360905613e-07,7.714277929410654,9.1313268058002e-10,4.8230083121714173e-14,0.34731706311738453,0.01944414500513289,0.4522360365624542,1.4452439245360438e-11,628836.6364996427,431.04761475255646,13155.856587068052,616111.8275273282,0.5735925488642808,7.714278029514048,0.0,0.013246676817646717,0.041071667040485045
step,4,0.00625,success,27.11048114180959,13.555240570904795,0.5,0.49676472867162597,0.04067728224813645,0.031467690629699084,1.0024885657224424e-07,7.714739701017744,1.837179297581315e-10,3.055173301846903e-15,0.34732163788706427,0.019444040636099044,0.45208038574979814,2.7490010268138576e-11,628815.8056829753,423.3202328457741,13153.227962283649,616085.8979535376,0.5735870771197528,7.7147398012666,0.0,0.013238457447914406,0.04067728224813645
constant,8,0.003125,success,27.1059228025417,13.55296140127085,0.5,0.49670680135513534,0.04139495262015562,0.03151639631102094,1.0004934034331455e-07,7.714533650360161,-1.0550138540565968e-09,2.0108301959295694e-13,0.3472365509347616,0.019446765185943037,0.4473151436193402,2.291500322826323e-13,628779.5604923132,419.25081210039565,13149.950131341026,616048.8611730715,0.5734463770484222,7.714533750409501,0.0,0.013258947928046511,0.04139495262015562
constant,16,0.0015625,success,27.10361970103524,13.55180985051762,0.5,0.4966789258769514,0.04175754018497526,0.031538471441356054,1.0002778656759886e-07,7.714429350233796,8.170900400727987e-09,-2.6063081814270417e-13,0.3471960135428774,0.019448145699152302,0.4449364496129251,2.1537438499308337e-10,628762.0486647293,417.2266817353844,13148.297432009287,616030.9779144636,0.5733749567997746,7.714429450261583,0.0,0.013268234935378492,0.04175754018497526
ramp,8,0.003125,success,27.212446056310405,13.556223028155204,0.5,0.49671529568893963,0.04142147002996943,0.03154150725620792,1.0004477783753447e-07,7.714532695443387,-2.6575435185804963e-09,2.003323722188366e-13,0.3472138825611922,0.019447510876786867,0.44737368346696904,9.70837632507937e-10,628795.7236942963,418.44261970205594,13150.331276434237,616063.8350375615,0.5734450391106195,7.714532795488164,0.0,0.013269512102686674,0.04142147002996943
ramp,16,0.0015625,success,27.210127652428866,13.555063826214434,0.5,0.4966857601266848,0.04178333882311781,0.03156374689762534,1.0005788904397695e-07,7.714428298574114,4.791218088939786e-09,-2.602538952574396e-13,0.347176112293171,0.01944888710430118,0.4449870342099981,9.86215553666625e-10,628778.2049897029,416.4144144506357,13148.674648734752,616045.9447554236,0.5733735397570303,7.714428398632003,0.0,0.013278868319830982,0.04178333882311781
step,8,0.003125,success,27.105922802540203,13.552961401270101,0.5,0.49670680135513534,0.041394952620155495,0.031516396311020795,1.0004901401287492e-07,7.71453365035979,4.40741132479161e-09,1.9930812642648954e-13,0.3472365509347595,0.019446765185940774,0.4473151436193402,2.291500322826323e-13,628779.5604922794,419.2508121004715,13149.950131339812,616048.8611730444,0.5734463770484223,7.714533750408805,0.0,0.013258947928046449,0.041394952620155495
step,16,0.0015625,success,27.103619701032674,13.551809850516337,0.5,0.4966789258769514,0.041757540184975725,0.031538471441356304,1.0002719866106197e-07,7.714429350233272,1.0579242371022701e-08,-2.5984379578569694e-13,0.3471960135428831,0.019448145699149197,0.4449364496129251,2.1537438499308337e-10,628762.0486646723,417.2266817355397,13148.297432007193,616030.9779144112,0.5733749567997716,7.714429450260471,0.0,0.013268234935378598,0.041757540184975725
