strategy,T0_C,parameters,dt_s,grid_scale,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
ramp,-12.5,"[2.5, 0.5]",0.0125,2,success,38.64845363795779,19.274226818978896,0.5,0.48720396034506797,0.0860764061987355,0.06140627948915412,1.0050373044788868e-07,9.707145015377932,2.7212081477046013e-09,9.255833946508751e-16,0.3166624661596291,0.020834530616796878,0.4273726912006939,1.9137047502226778e-10,891479.2563403334,1358.3716488626944,23627.975236839746,869209.652752359,0.5729207006775223,9.707145115881662,0.0,0.02583362178108714,0.0860764061987355
step,-12.5,"[0.5, 0.5, 0.5, 10.364354559303731, 15.017506944419232]",0.0125,2,success,38.54185511696519,19.270927558482594,0.5,0.48719412733543016,0.08603417440495792,0.061372387637344504,1.0043374721568842e-07,9.707429012567136,-4.35466063208878e-09,-5.747355716345659e-16,0.31668148896977827,0.020833672693092324,0.4273129372208249,1.5582202195218997e-11,891462.2791524183,1358.6490002910662,23627.603673074747,869193.3244796302,0.5729256176487917,9.707429113000883,0.0,0.025819363479030834,0.08603417440495792
constant,-12.75,[0.5],0.0125,2,success,39.75042588114786,19.87521294057393,0.5,0.4861990929633864,0.09215335180560348,0.06518581983853597,1.0056297001056013e-07,9.843203130160758,-5.2277755457907915e-09,6.595310235446572e-15,0.3133378767287549,0.02099535193587922,0.4239180273935471,1.0219736168437521e-10,919353.4106553212,1485.951465385374,24870.72653562168,895968.6355850797,0.5725124599851724,9.843203230723727,0.0,0.027423674406072084,0.09215335180560348
ramp,-12.75,"[2.5, 0.5]",0.0125,2,success,39.85701622068932,19.878508110344658,0.5,0.48620829073221694,0.09219693778760281,0.06522062557394467,1.0007509876657478e-07,9.842892759899478,3.7834979593753815e-10,7.025630077706069e-15,0.31333173571373635,0.0209961519422687,0.4239763290093151,1.915729797019594e-10,919370.314612549,1485.7128154882384,24871.0858191031,895984.9416089345,0.5725072582405972,9.842892859974576,0.0,0.02743831717895853,0.09219693778760281
step,-12.75,"[0.5, 0.5, 0.5, 8.0, 16.0]",0.0125,2,success,39.750425881147784,19.875212940573892,0.5,0.4861990929633864,0.0921533518056038,0.06518581983853623,1.0056295097942098e-07,9.843203130160754,-3.82351572625339e-09,7.690246009439683e-15,0.313337876728751,0.02099535193587947,0.4239180273935471,1.0219558532753581e-10,919353.4106553191,1485.95146538539,24870.72653562159,895968.6355850791,0.572512459985173,9.843203230723706,0.0,0.027423674406072195,0.0921533518056038
constant,-13.0,[0.5],0.0125,2,charge_exhausted,39.99999999999999,19.999999999999996,0.5,0.4851984366900055,0.09843553115493721,0.06908434424926083,-0.19277866079981137,9.868599869870721,-8.640199666842818e-09,8.644235501009678e-15,0.3123181654018205,0.02104306285496231,0.4205291247811466,1.5832668509574432e-11,925967.9748437953,1690.4641467963982,25149.26750833203,902509.171482251,0.5711251658190103,9.675821209070909,0.0,0.029063783625664034,0.09843553115493721
ramp,-13.0,"[2.4999999999998757, 0.5]",0.0125,2,charge_exhausted,40.10000000000001,20.0,0.5,0.4852079441414695,0.09847903391030809,0.06911910615854458,-0.19409161277934178,9.867584237963484,5.002220859751105e-09,7.998809947729058e-15,0.31231192649843464,0.021043164881441243,0.42058653134467655,1.9177193166797224e-10,925838.3320443629,1690.7459622165552,25142.871279163435,902386.206727421,0.571113452458424,9.673492625184142,0.0,0.029078407960899708,0.09847903391030809
step,-13.0,"[0.5, 0.5, 0.5, 8.0, 16.0]",0.0125,2,charge_exhausted,40.0,20.0,0.5,0.4851984366900055,0.09843553115493728,0.06908434424926077,-0.19277866079980616,9.868599869870694,-5.704350769519806e-09,8.463607419073593e-15,0.3123181654018203,0.0210430628549626,0.4205291247811466,1.5832668509574432e-11,925967.9748437956,1690.4641467963907,25149.267508332046,902509.1714822543,0.5711251658190101,9.675821209070888,0.0,0.029063783625664006,0.09843553115493728
constant,-14.0,[0.5],0.0125,2,charge_exhausted,39.99999999999999,19.999999999999996,0.5,0.4811447680357634,0.12284732153226217,0.08407845241157672,-1.1567216488228538,9.859712548050757,-2.000888343900442e-10,7.755840240875056e-15,0.3106300659268006,0.021113527739428012,0.40704925617176163,1.6353141063518706e-11,930316.862803958,2582.5356429771978,25249.417406207656,907649.9810407273,0.56465489317224,8.702990899227903,0.0,0.035371804929550325,0.12284732153226217
ramp,-14.0,"[2.4999999999998757, 0.5]",0.0125,2,charge_exhausted,40.10000000000001,20.0,0.5,0.4811527963585723,0.12288914500552874,0.08411224104527869,-1.1580189976917925,9.85868798228577,-1.7389538697898388e-09,7.468201404514652e-15,0.310623417263122,0.02111363443964633,0.40709770974495063,1.9257839767305995e-10,930186.4003660958,2582.9073748444985,25242.98964520459,907526.318095734,0.5646431853472208,8.700668984593978,0.0,0.03538601980774875,0.12288914500552874
step,-14.0,"[0.5, 0.5, 0.5, 8.0, 16.0]",0.0125,2,charge_exhausted,40.0,20.0,0.5,0.4811447680357634,0.12284732153226217,0.08407845241157667,-1.1567216488228416,9.85971254805075,-2.1100277081131935e-10,8.407445746538844e-15,0.31063006592680015,0.021113527739428203,0.40704925617176163,1.6353141063518706e-11,930316.8628039586,2582.5356429772014,25249.41740620765,907649.9810407279,0.5646548931722398,8.702990899227908,0.0,0.03537180492955031,0.12284732153226217
constant,-16.0,[0.5],0.0125,2,charge_exhausted,39.99999999999999,19.999999999999996,0.5,0.4727661682725392,0.16859953109065962,0.11152518603543866,-3.055132018361318,9.82702788703569,1.3133103493601084e-08,2.793988998495145e-15,0.3070249310402801,0.021256975116314504,0.38043193736705005,1.7495338511253067e-11,939338.0644808671,4397.676754769492,25476.644747063117,918259.0964885866,0.5519145682101613,6.771895868674371,0.0,0.046918645765109054,0.16859953109065962
ramp,-16.0,"[2.4999999999998757, 0.5]",0.0125,2,charge_exhausted,40.10000000000001,20.0,0.5,0.47277153223567436,0.16863891770881545,0.11155772685534039,-3.056407568661701,9.82599820085153,1.5719706425443292e-08,3.596298606134418e-15,0.30701743643612145,0.0212570919015719,0.3804694136197662,1.9420909325162938e-10,939205.8425497297,4398.2919557013565,25470.13648015161,918133.9980252952,0.5519027481028332,6.7695906321898285,0.0,0.046932335688041706,0.16863891770881545
step,-16.0,"[0.5, 0.5, 0.5, 8.0, 16.0]",0.0125,2,charge_exhausted,40.0,20.0,0.5,0.4727661682725392,0.16859953109065928,0.11152518603543858,-3.0551320183612978,9.82702788703569,1.4333636499941349e-08,2.3906657903305373e-15,0.30702493104028156,0.021256975116314646,0.38043193736705005,1.7495338511253067e-11,939338.0644808671,4397.676754769479,25476.644747063143,918259.0964885878,0.5519145682101635,6.771895868674393,0.0,0.04691864576510901,0.16859953109065928
constant,-20.0,[0.5],0.0125,2,charge_exhausted,39.99999999999999,19.999999999999996,0.5,0.4547049327774278,0.2518308293040557,0.1592348700983504,-6.759915374518956,9.742133242612255,-6.271875463426113e-09,9.022296798555374e-15,0.29877470342195916,0.021555367117593382,0.3286401404804709,2.027888967859326e-11,958648.2580658151,8376.622145266605,26006.829776198487,941018.0504348769,0.5267946331247098,2.9822178680933,0.0,0.06699010985037603,0.2518308293040557
ramp,-20.0,"[2.5, 0.5]",0.0125,2,charge_exhausted,40.099999999999994,19.999999999999996,0.5,0.45470523445298716,0.2518686714757756,0.15926705860399504,-6.761190986272293,9.741163502776399,7.821654435247183e-09,9.940399198216099e-15,0.2987653794929918,0.02155550947942183,0.3286535594110083,1.9753088054130785e-10,958511.862585823,8377.713455596046,26000.093300769513,940889.4827406574,0.5267821319604947,2.9799725165041058,0.0,0.06700365155470073,0.2518686714757756
step,-20.0,"[0.5, 0.5, 0.5, 8.0, 16.0]",0.0125,2,charge_exhausted,40.0,20.0,0.5,0.4547049327774278,0.2518308293040557,0.15923487009835074,-6.759915374518939,9.742133242612237,-4.878529580309987e-09,9.43841359235531e-15,0.2987747034219578,0.02155536711759419,0.3286401404804709,2.027888967859326e-11,958648.2580658154,8376.622145266627,26006.829776198505,941018.0504348787,0.5267946331247093,2.982217868093299,0.0,0.06699010985037616,0.2518308293040557
