strategy,T0_C,dt_s,grid_scale,parameters,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
constant,-12.802734375,0.003125,8,[0.5],success,39.983154998717566,19.991577499358783,0.5,0.4857425762189505,0.0978389709585291,0.06626883385723238,1.0001368503227817e-07,9.869930902625251,-3.1759554985910654e-09,1.1346175735060804e-15,0.3122157698903818,0.021047492162777813,0.4084345930911251,2.504663143554353e-13,925119.9693592755,1496.5045045673205,25119.151943506717,901497.321920333,0.571907746103991,9.869931002638936,0.0,0.02787929840373767,0.0978389709585291
constant,-12.8076171875,0.003125,8,[0.5],charge_exhausted,39.999999999997854,19.999999999998927,0.5,0.48572293386966264,0.09796721477283955,0.06634574293018032,-0.001375394538267546,9.8716909533632,-1.0732037480920553e-08,9.7159693485116e-15,0.312161754645046,0.02104992883385496,0.40836763171593377,2.4868995751603507e-13,925515.3867560064,1499.5984563044565,25136.866109025344,901878.1191032748,0.571892046684168,9.870315558824931,0.0,0.02791165405072686,0.09796721477283955
ramp,-15.0,0.003125,8,"[2.5, 0.5]",charge_exhausted,40.09999999999776,19.99999999999888,0.5,0.47669171616622724,0.15299380831684586,0.09862594724032363,-2.106275156369296,9.847261080641108,-1.2580130714923143e-08,-3.781371916977694e-15,0.3083617260619235,0.021205942072823086,0.37859885715427744,8.791598560264902e-10,935089.1598382248,3460.0833695507627,25360.19174158549,913189.0514661775,0.5576726798827449,7.740985924271812,0.0,0.04149193600400415,0.15299380831684586
ramp,-10.0,0.003125,8,"[2.5, 0.5]",success,27.212446056310405,13.556223028155204,0.5,0.49671529568893963,0.04142147002996943,0.03154150725620792,1.0004477783753447e-07,7.714532695443387,-2.6575435185804963e-09,2.003323722188366e-13,0.3472138825611922,0.019447510876786867,0.44737368346696904,9.70837632507937e-10,628795.7236942963,418.44261970205594,13150.331276434237,616063.8350375615,0.5734450391106195,7.714532795488164,0.0,0.013269512102686674,0.04142147002996943
ramp,-12.5,0.003125,8,"[2.5, 0.5]",success,38.62614785656243,19.263073928281216,0.5,0.486962177013082,0.09014032001151306,0.06165093855701818,1.0001527016590576e-07,9.706744082640478,5.802576197311282e-09,-1.070621456072951e-13,0.3162656232026224,0.02085070826000602,0.4126333546714489,9.892993091398239e-10,891333.7782328177,1341.5845938118596,23610.738214455265,869064.62461218,0.5724198399633624,9.706744182655749,0.0,0.02593654985093755,0.09014032001151306
ramp,-13.75,0.003125,8,"[2.5, 0.5]",charge_exhausted,40.09999999999776,19.99999999999888,0.5,0.4818977342267679,0.12225099763246068,0.08077675351824798,-0.912979812581053,9.863813499782552,-6.96672941558063e-09,2.319325287380991e-15,0.3105687474020584,0.021116539223840602,0.39552637516532274,9.989786775577159e-10,929492.9609406188,2339.701710178969,25223.60034642567,906609.0623043651,0.5657290891798213,8.950833687201499,0.0,0.03398278020512693,0.12225099763246068
ramp,-13.125,0.003125,8,"[2.5, 0.5]",charge_exhausted,40.09999999999776,19.99999999999888,0.5,0.4844468183969853,0.10628570210015373,0.07132793023479926,-0.3103523984045271,9.868963458876086,2.4494511308148503e-08,3.2014321749151975e-15,0.3116282292538536,0.021072347056599265,0.4040575388278761,9.941008016767228e-10,926759.2056427662,1783.0048709131465,25160.849847297737,903381.3606664061,0.5698000200309248,9.55861106047156,0.0,0.030007660249780053,0.10628570210015373
ramp,-12.8125,0.003125,8,"[2.5, 0.5]",charge_exhausted,40.09999999999776,19.99999999999888,0.5,0.48570862905334883,0.09813744348452952,0.06645807965539446,-0.00742350897140341,9.870662451803232,5.617039278149605e-09,-8.814563662307151e-16,0.31214730958609926,0.021050378901485305,0.4083399000000167,9.91692061802496e-10,925408.0780535071,1504.1836405021877,25130.974322275666,901781.2873717393,0.571848198073163,9.86323894283183,0.0,0.027958914111024455,0.09813744348452952
ramp,-12.65625,0.003125,8,"[2.5, 0.5]",success,39.37965030670008,19.63982515335004,0.5,0.48633641156828833,0.0940833053351851,0.06402408251271645,1.0001514949865528e-07,9.792947385477856,-4.092726157978177e-09,-5.73645948451218e-14,0.3141715876177596,0.02095194073575456,0.41048520027465124,9.904947972927403e-10,908731.8825281183,1420.147643231724,24382.887986519876,885769.1421848261,0.5721630422102904,9.792947485493006,0.0,0.02693493151309981,0.0940833053351851
ramp,-12.734375,0.003125,8,"[2.5, 0.5]",success,39.757908030597434,19.828954015298716,0.5,0.48602277720997716,0.09609651230967532,0.06523349644663888,1.000368875138639e-07,9.834334782463106,-6.049958756193519e-09,-1.9635443444798728e-14,0.3131181631241642,0.021003194658496305,0.4094121861680003,9.910934295476181e-10,917469.9861567251,1460.4325008171168,24774.214963546496,894156.2036939897,0.5720263907654171,9.834334882499993,0.0,0.02744373195510098,0.09609651230967532
ramp,-12.7734375,0.003125,8,"[2.5, 0.5]",success,39.947406125811625,19.923703062905812,0.5,0.4858657528870152,0.09711357679664798,0.0658439318685618,1.0000539725106979e-07,9.85460150668332,1.2176315067335963e-08,-5.093256545685154e-15,0.3125869823049321,0.021028959955113297,0.40887599219905846,9.913936338534768e-10,921848.6697382684,1480.8276283689552,24971.19055122689,898358.3068154226,0.5719560027650804,9.854601606688718,0.0,0.027700542137103948,0.09711357679664798
ramp,-12.79296875,0.003125,8,"[2.5, 0.5]",success,40.04224654435893,19.971123272179465,0.5,0.4857872034178817,0.0976247278166689,0.0661505836218364,1.0009715693840961e-07,9.864628358065717,-7.526978151872754e-09,7.352950713579443e-15,0.312325060570317,0.021041912305815487,0.4086079769397502,9.91541071471147e-10,924040.4028225365,1491.0886019813358,25070.006211803964,900461.4852127064,0.5719203045393102,9.864628458162874,0.0,0.02782955052970658,0.0976247278166689
ramp,-12.802734375,0.003125,8,"[2.5, 0.5]",success,40.08968947902099,19.994844739510494,0.5,0.4857479193486754,0.0978809586293745,0.06630426835393816,1.0000958018086666e-07,9.869615180654034,-7.556081982329488e-09,8.391724815037804e-15,0.3121940606111544,0.02104840639309448,0.4084739287009751,9.916156784584018e-10,925136.8650798989,1496.2349639139934,25119.495999955197,901513.6040438501,0.5719023267295297,9.869615280663615,0.0,0.027894205696501785,0.0978809586293745
