tag,strategy,T0_C,dt_s,grid_scale,parameters,objective,status,end_time_s,charge_C_cm2,max_current_A_cm2,min_voltage_V,max_ice_bulk,max_pore_ice_saturation,min_end_temperature_C,max_temperature_spread_K,energy_balance_J_m2,water_balance_kg_m2,min_gas_porosity,max_current_limiting_ratio,min_kappa_S_m,max_thermal_iteration_error_K,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_J_m2,end_voltage_V,center_temperature_C,failure_cell,max_pore_ice_bulk,max_mem_ice_bulk
steps_4,step,-10.0,0.1,1,"[0.4712151471327824, 0.3921343993775245, 0.46401722864615536, 0.38938831977379, 16.756362451226934, 47.944534325255226, 97.95123695493731]",19.399982846887372,success,19.399982846887372,8.932506293899609,0.4712151471327824,0.5064244540957827,0.019738835125514238,0.01893686545753732,1.0154795112533075e-07,10.24372559244155,1.5115801943466067e-09,1.6135367781472398e-15,0.3708035220344996,0.017200399829095995,0.49358176610921484,3.0749980339805916e-10,411341.612086949,32.08847503759456,9581.993152490812,401791.7074094973,0.5911963933256471,10.2437256939895,0.0,0.007966739297985952,0.019738835125514238
steps_4,step,-10.0,0.1,1,"[0.2685348130517149, 0.45158713737718115, 0.35935242293287684, 0.18892118966033783, 32.92778127738022, 51.98496829168862, 55.788848252105474]",38.05810270854027,success,38.05810270854027,11.159042758451424,0.45158713737718115,0.5722631500298557,0.05700318287219,0.04057474356826258,1.0616026390793151e-07,9.102937914061854,-6.293703336268663e-10,8.642717617968199e-16,0.3592893063624191,0.016934335071681034,0.5533155128006326,9.958318614167183e-10,488841.2795870348,315.1687487794901,16425.756389792532,472730.6919460211,0.5808927060323503,9.102938020222119,0.0,0.01706979461916807,0.05700318287219
steps_4,step,-10.0,0.1,1,"[0.08913617231506316, 0.4244990221142709, 0.04576500190362476, 0.04483030539038235, 38.466997651026645, 87.10989933953591, 142.66315629256033]",55.103510407374536,success,55.103510407374536,10.490984327526313,0.4244990221142709,0.5537529307520435,0.08715188025976824,0.054734002881325405,1.0298010379228744e-07,9.36828635402843,1.737134880386293e-09,9.227644690024128e-16,0.3565627665434412,0.015768958221817682,0.6114892560047219,2.6554758392194344e-10,457331.7130336059,827.7905054102599,14488.215605482246,443671.28793353564,0.5810782798931344,9.368286457008534,0.0,0.0230265950121736,0.08715188025976824
steps_4,step,-10.0,0.1,1,"[0.3414832778718074, 0.31740299197164346, 0.2667910072272039, 0.2703069671850524, 11.890192919729792, 23.144076366315375, 43.41061016798096]",45.000550286770654,success,45.000550286770654,13.46901918747032,0.3414832778718074,0.5468959280615882,0.050444386698369405,0.036724516929069556,1.0127936025104693e-07,8.570588287061875,2.6702764444053173e-09,8.839500312274318e-16,0.353053468705208,0.012021705514177788,0.5311177019621743,8.027845055380567e-10,588329.9913595028,-308.04875991108685,24593.768142004265,563428.1744575901,0.6226107473904673,8.49898690240716,0.0,0.015450004272059564,0.050444386698369405
steps_4,step,-10.0,0.1,1,"[0.02336077264943892, 0.49164291854412795, 0.49547967357904854, 0.31107965220520895, 39.10337589857285, 42.353687401507266, 52.58453616148999]",62.8130497122485,success,62.8130497122485,10.762537749651415,0.49547967357904854,0.5162370101334861,0.04657714283510873,0.03822051661053382,1.0266344989849067e-07,10.019313950219415,9.422365110367537e-10,2.6580300460654627e-15,0.35901292175048877,0.01803122149646298,0.606095901588786,9.967102698738017e-10,481135.84756224946,-352.131010076378,15028.094709379495,465755.6218427945,0.6096693484549652,10.019314052882864,0.0,0.016079371338051582,0.04657714283510873
steps_4,step,-10.0,0.1,1,"[0.028556470371738696, 0.33252386843150583, 0.3553942954236493, 0.297146047952453, 1.0560431398631387, 9.774550932844615, 14.348511274063643]",41.19366343756955,success,41.19366343756955,12.531759087738484,0.3553942954236493,0.5500862420634661,0.04720767401184144,0.03533813610125248,1.0219561850209771e-07,9.015574175755361,-1.1896190699189901e-09,1.305704676324293e-15,0.3563498033914899,0.012566072676271163,0.5353634713946628,9.95921567437108e-10,549483.0848951128,-142.51460617751871,20960.212963328144,528380.3573256059,0.6155875143233986,9.01557427795098,0.0,0.014866753857796918,0.04720767401184144
steps_4,step,-10.0,0.1,1,"[0.4872874081013757, 0.1462350462746998, 0.30915378265853977, 0.3138520186898607, 15.464468812962604, 35.7702092635351, 45.15494603911188]",46.00724711218623,success,46.00724711218623,13.673875105704807,0.4872874081013757,0.5016431430227472,0.05400730821713014,0.03499410866050807,1.0146970738410263e-07,9.42007896728426,-5.893525667488575e-10,3.3633035592672833e-15,0.3544282802710926,0.01774282987566262,0.4891037098753604,8.125757844368309e-10,607652.403000749,-376.2079851438385,27363.4630881802,579912.7319274243,0.6133486908957695,7.809609986406129,0.0,0.014722021513475745,0.05400730821713014
steps_4,step,-10.0,0.1,1,"[0.45685673056836856, 0.15582711793111398, 0.2665123535655967, 0.4016732365615648, 14.497188659130533, 21.753074378696184, 42.73906041062486]",42.85793043053758,success,42.85793043053758,13.394573407853176,0.45685673056836856,0.5107341134493723,0.04451765894123752,0.032016807382827375,1.0325438057148288e-07,8.488985749859943,1.0040821507573128e-09,2.0536957551220425e-15,0.3546926138965845,0.016488428251234217,0.4976143211759447,6.997495916039043e-10,593044.6328298398,-398.84939713939195,25154.135130554278,567491.6483021472,0.5966517221704721,8.383262714521683,0.0,0.013469470865955478,0.04451765894123752
steps_4,step,-10.0,0.1,1,"[0.3461860456812692, 0.016050941933834828, 0.3898618329029161, 0.24722237835078564, 43.207944098356734, 73.94538110567437, 114.44734306788322]",31.86839864254016,success,31.86839864254016,11.032394908255306,0.3461860456812692,0.5453428774836149,0.037004166370301135,0.030049636879342454,1.0239049149130257e-07,9.698744946196328,3.308741725049913e-09,1.9811626297827623e-15,0.36199402907941,0.012925676643729928,0.5297137027094485,5.365503596976851e-10,489632.60636118916,15.57294666859965,15732.611093591828,473915.56821426924,0.6037201641152324,9.698745048586819,0.0,0.012641882235139372,0.037004166370301135
steps_4,step,-10.0,0.1,1,"[0.340127188955828, 0.43679606687064587, 0.2909112737609791, 0.4542654307018754, 6.024714952101036, 26.949238570512904, 49.23773405221277]",22.412053137411455,success,22.412053137411455,9.20709422674101,0.43679606687064587,0.5409659840229369,0.025296058057194683,0.023193680897366613,1.0248441523591399e-07,10.083270759202044,-1.913576852530241e-09,1.4339115832207039e-15,0.3685488155801385,0.01610717570714004,0.5315231653096818,1.3175149859989688e-10,417643.2133386534,102.10087924990313,10165.977213662924,407579.33700423845,0.582343740086933,10.08327086168646,0.0,0.009757581553522136,0.025296058057194683
steps_4,step,-10.0,0.1,1,"[0.23811842370770375, 0.26580317794168795, 0.47228097167208066, 0.29127048783581333, 38.85338314070029, 47.554316007666905, 95.41425450225017]",50.060467755370496,success,50.060467755370496,12.748049738835169,0.47228097167208066,0.5746746271484996,0.0807095725781335,0.05124450979132642,1.0832280647693213e-07,8.289280194573433,3.2741809263825417e-11,1.8110513089197866e-15,0.3524518846827593,0.017964983680111592,0.5628057538986245,9.987723981197405e-10,550699.4885002935,322.30367406422243,22304.688552003267,528717.1036223545,0.5778644864415646,8.28928030289624,0.0,0.021558565269211027,0.0807095725781335
steps_4,step,-10.0,0.1,1,"[0.2265425030899458, 0.4132943374038869, 0.4087757581533488, 0.022884996453090112, 29.951456491491328, 35.422669802287245, 44.774691311166855]",40.47911554394076,success,40.47911554394076,11.113451846458462,0.4132943374038869,0.573688943930813,0.06334491115396063,0.04394723579857265,1.057693584883647e-07,9.228099869477422,3.334207576699555e-09,1.2346894340264924e-15,0.3587213552854006,0.015293890443074859,0.5664545361898445,9.96401690323001e-10,485067.9436324448,434.6632613885726,16164.43620307032,469338.17069076636,0.5880113152965418,9.22809997524678,0.0,0.018488602100459512,0.06334491115396063
steps_4,step,-10.0,0.1,1,"[0.16802402780083997, 0.1463822312310718, 0.4842991550662872, 0.23453790811173675, 33.83659251633141, 38.43788799694448, 53.82592425751797]",47.62555775097293,success,47.62555775097293,10.80848915955941,0.4842991550662872,0.5549516361108394,0.08572644725764347,0.053777600079432074,1.0234934533904506e-07,8.794580026237824,-1.0568328434601426e-09,1.5846698953048133e-15,0.3567744689029766,0.018095100734080473,0.5852240990428145,9.999343575373132e-10,469740.8603083056,953.0564207194192,15825.231143258146,454868.6855857658,0.5706435053424913,8.79458012858717,0.0,0.022624236353417076,0.08572644725764347
steps_4,step,-10.0,0.1,1,"[0.13171430136338363, 0.4522539117284067, 0.00644577195423901, 0.4365499918374569, 41.55990942499023, 46.32090360177121, 68.86395547793553]",80.69344041751006,success,80.69344041751006,12.936681600162368,0.4522539117284067,0.5564285642328769,0.16812244289178627,0.07849057507930483,1.0101632131173554e-07,7.305976681807203,-3.026798367500305e-09,1.4404710063642412e-15,0.34783735859375337,0.016538731267792497,0.5971627937090472,4.653024632261804e-10,563028.6881764659,2154.8956740487697,27380.343883987363,537803.2399665243,0.5741643405153435,7.3059767828235245,0.0,0.03302098493586354,0.16812244289178627
steps_4,step,-10.0,0.1,1,"[0.2829776724393809, 0.4875404305353406, 0.33239400175537603, 0.40700601562390426, 13.569427237145366, 26.51805905257825, 42.68331560080337]",24.149250611893702,success,24.149250611893702,8.9979365790156,0.4875404305353406,0.5456737740937824,0.031097172883337878,0.027274813609228985,1.0733294608605552e-07,9.844147953610015,2.6193447411060333e-10,1.2050907147176382e-15,0.36779366180147527,0.01797209197969955,0.5488578768772538,9.603079442754847e-10,405494.278690213,261.0876640333837,9535.962549322296,396219.40380492434,0.5712917672141169,9.844148060942961,0.0,0.011474514085402636,0.031097172883337878
steps_4,step,-10.0,0.1,1,"[0.48463766399920494, 0.1651359985088668, 0.4380625063094876, 0.32590469695491475, 20.270034881760758, 26.940783499330575, 46.755184747071354]",17.346408534049964,success,17.346408534049964,8.406722910717848,0.48463766399920494,0.5024284535904527,0.01858946535299958,0.018076331867328575,1.0242242692937545e-07,10.047730590431062,-1.1204974725842476e-09,1.1349970442664503e-15,0.3719825741989768,0.0177799158746345,0.4898393799240999,2.865796489004424e-11,390047.48071685084,78.0690344852203,8218.552683581018,381906.9970677539,0.5709318287555185,10.047730692853488,0.0,0.007604712816585132,0.01858946535299958
steps_4,step,-10.0,0.1,1,"[0.2859246829039502, 0.4833059323093667, 0.4295246210934302, 0.2838261086679416, 35.33153042519217, 40.50987593912889, 46.42148832278476]",38.04061760628352,success,38.04061760628352,11.411474539099046,0.4833059323093667,0.5659684089375769,0.05429949089375049,0.03918030142336532,1.0202686866339343e-07,9.055456457967027,2.1209416445344687e-09,1.3907061266471565e-15,0.3585915508862249,0.01818774352202706,0.5479521362589745,9.986500515424268e-10,500278.4696992769,223.5970270085014,17264.623184284417,483237.4435420031,0.5762714333683359,9.055456559993896,0.0,0.016483152808809794,0.05429949089375049
steps_4,step,-10.0,0.1,1,"[0.41240059886673575, 0.25645256522280824, 0.06863979405199006, 0.3976201294686652, 31.243783619926234, 58.58301756674055, 70.41422765705597]",23.063362383842524,success,23.063362383842524,9.511344458977202,0.41240059886673575,0.5242723052915936,0.025347215738245745,0.022916307352562625,1.0344702204855366e-07,10.094235789196798,1.6407284419983625e-09,1.6261406284023838e-15,0.36802390224133263,0.01523470321534109,0.5102918148948814,1.2176926134088717e-11,431422.423510055,63.398527123851096,11136.123727910815,420349.6983092697,0.5880807204213787,10.09423589264382,0.0,0.009640890503223098,0.025347215738245745
steps_4,step,-10.0,0.1,1,"[0.32556246154466983, 0.45320563785074114, 0.4223452876792066, 0.39031707319914233, 8.006961065070705, 57.21576880605024, 87.90781132629698]",22.231191592948573,success,22.231191592948573,9.053267423159623,0.45320563785074114,0.542775198593121,0.025789358898058962,0.023656472443442367,1.0300017502143387e-07,10.041501165173742,1.3387762010097504e-09,1.114857988912532e-15,0.36877046721582485,0.01669809246313378,0.5358950649281815,1.0690293095194647e-10,410630.86052262934,137.54558253538792,9707.243124122733,401061.16298104334,0.5785978193053619,10.041501268173917,0.0,0.009952277956956204,0.025789358898058962
steps_4,step,-10.0,0.1,1,"[0.34210851508590007, 0.45928879338887524, 0.3668134385261121, 0.07757156162362971, 28.694977774581986, 84.49528004108693, 86.18436235347502]",30.383098568878275,success,30.383098568878275,10.59213119959216,0.45928879338887524,0.5466889580326352,0.037466260863995106,0.03032900443879057,1.040154983354516e-07,9.65582175194968,-8.840288501232862e-10,1.1024709790918852e-15,0.36282803942672387,0.017152952036124436,0.5309308508206578,4.666489417104458e-12,470998.19336909207,105.81386998136409,14406.157667728166,456697.8495713444,0.5806341989928567,9.65582185596518,0.0,0.012759412167399195,0.037466260863995106
steps_4,step,-10.0,0.1,1,"[0.1612501626252984, 0.3128535983467081, 0.44414718172579937, 0.18005466393455205, 43.58922333546849, 47.958956004834704, 75.50131561774916]",55.50530092880789,success,55.50530092880789,11.747543771292616,0.44414718172579937,0.5675983933787063,0.10407237404338554,0.06114794595309456,1.0346441575518886e-07,8.501148241722357,-4.20550350099802e-09,1.1474111591414093e-15,0.3530600543337249,0.016701285108955306,0.5874334028436491,9.128662270541099e-10,505560.2086460537,1047.3029289974006,19183.52721599496,487423.9843590519,0.5779460274265742,8.501148345186772,0.0,0.02572494086246688,0.10407237404338554
steps_4,step,-10.0,0.1,1,"[0.4104463679457169, 0.18440540001796252, 0.4340096986079092, 0.2780548760685068, 29.66253558094233, 38.62258194956104, 47.07917680443937]",23.26181595325476,success,23.26181595325476,9.54772786983515,0.4104463679457169,0.5248753347743674,0.025594034799305335,0.023080685389228958,1.0543447802492509e-07,10.090111114011385,1.9463186617940664e-10,1.4330984315913398e-15,0.36789029291610975,0.01516616202618691,0.5108557712653266,1.1883827255587676e-11,432800.89388685924,62.63428107907556,11238.484975353509,421625.043192585,0.5885440147220748,10.090111219445863,0.0,0.009710044343248623,0.025594034799305335
steps_4,step,-10.0,0.1,1,"[0.4555008393322701, 0.39491364219392666, 0.021915015606364774, 0.40369786364351684, 23.592892874972662, 28.51559553053922, 39.464090228155925]",19.32568261623383,success,19.32568261623383,8.80286465236357,0.4555008393322701,0.5111430535646425,0.02084917909803699,0.019777327073548488,1.058041008090746e-07,10.105847291029642,5.638867150992155e-10,1.337417589869494e-15,0.37058744517975806,0.016750128558712208,0.4979966852132971,1.3243628416148567e-10,404767.5315994068,74.64041349887867,9221.423197517352,395620.7488153889,0.5778527184605632,10.105847396833743,0.0,0.00832032149984185,0.02084917909803699
steps_4,step,-10.0,0.1,1,"[0.29372201727544195, 0.3638560995986827, 0.4869035323044498, 0.18749904310242377, 41.04712663418876, 73.0631321860343, 94.93705344842238]",42.32666702992547,success,42.32666702992547,12.522013416026157,0.3638560995986827,0.563201713133081,0.05457934978896801,0.03928193399158305,1.0245542392936557e-07,8.905429146858806,1.2987584341317415e-09,1.4158596170488202e-15,0.35539463100095836,0.013768578179942184,0.5455619192510701,9.972058734319944e-10,546530.2978530921,-9.745327596976864,20929.145792524854,525591.4067329715,0.6006006171851799,8.90542924931423,0.0,0.016525909630258993,0.05457934978896801
steps_4,step,-10.0,0.1,1,"[0.17148361270943474, 0.5, 0.2743012218724058, 0.21307136807353821, 39.82054908374294, 50.41318401350996, 56.89141604518686]",47.88834061721321,success,47.88834061721321,10.862467383688745,0.5,0.5535650433950803,0.08712063605312977,0.05431068617582923,1.0220575510248464e-07,8.69563780991836,1.5988916857168078e-09,1.05536239469739e-15,0.3565117988121514,0.018701481901908328,0.5840988052240589,9.979128634540757e-10,471655.18751413154,951.0874422596779,16068.577501070096,456537.6974553227,0.5677928810720816,8.695637912124115,0.0,0.02284850567417136,0.08712063605312977
steps_4,step,-10.0,0.1,1,"[0.20458291963195285, 0.3665035278479112, 0.3585739513602237, 0.19397568220339345, 31.82934951860225, 39.43298778212407, 55.83023930739151]",46.765621897343294,success,46.765621897343294,11.927793091134589,0.3665035278479112,0.5819328502200268,0.07430164524834655,0.04903515527930015,1.0022627287489654e-07,9.039349849936531,1.8662831280380487e-09,9.226560487851643e-16,0.3552529436794234,0.01348388484006205,0.5734334492800242,9.99665683565354e-10,516806.44626036036,445.3153623937703,18893.172568535872,498358.5890542201,0.5982934792612774,9.039349950162805,0.0,0.020629089826001576,0.07430164524834655
steps_4,step,-10.0,0.1,1,"[0.3721031103863599, 0.47976010014360804, 0.3840388703976435, 0.40362387943012773, 47.1640428376257, 96.00628549810983, 117.91014105328843]",27.835261201858646,success,27.835261201858646,10.357587271628368,0.3721031103863599,0.5369283062627723,0.031490630314512165,0.026817715296662104,1.0405698910640943e-07,9.924641925895093,-1.1968950275331736e-09,1.4685518426316158e-15,0.36468468596368775,0.013825674995819461,0.5220347771684812,1.1255174570123927e-10,463678.5055786583,40.83089005741954,13614.487222509295,450104.84924620524,0.5976178023718489,9.924642029952082,0.0,0.011282212825305749,0.031490630314512165
steps_4,step,-10.0,0.1,1,"[0.4127710299892007, 0.4372033869838751, 0.18947036857864508, 0.11460906327079348, 29.222911052163607, 59.917945942265646, 112.41555717962056]",23.026074862480222,success,23.026074862480222,9.504496637594404,0.4127710299892007,0.5241581140779994,0.02530095857672123,0.022885415485028995,1.0248155563133372e-07,10.094973858220898,-1.2223608791828156e-09,1.3666368384179783e-15,0.3679979115234261,0.015247109423051257,0.5101849784420769,8.166445297774771e-11,431163.0790096912,63.54398894311686,11116.903580142085,420109.719418491,0.5879923212849386,10.094973960702454,0.0,0.009627894294551699,0.02530095857672123
