cell,time_s,x_um,layer,temperature_C,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk
1,27.105922802540203,152.62083333333342,aCL,1.0004901401287492e-07,1.3124404840721249e-06,0.0,0.0,0.0
1,27.105922802540203,152.76250000000007,aCL,1.0004901401287492e-07,1.3158841266489994e-06,0.0,0.0,0.0
1,27.105922802540203,152.90416666666675,aCL,1.0004901401287492e-07,1.3193277692379803e-06,0.0,0.0,0.0
1,27.105922802540203,153.0458333333334,aCL,1.0004901401287492e-07,1.3227714118390999e-06,0.0,0.0,0.0
1,27.105922802540203,153.18750000000009,aCL,1.0004901401287492e-07,1.3262150544523894e-06,0.0,0.0,0.0
1,27.105922802540203,153.32916666666674,aCL,1.0004901401287492e-07,1.3296586970778802e-06,0.0,0.0,0.0
1,27.105922802540203,153.52500000000012,PEM,1.0004901401287492e-07,0.0,195.32508799193792,4.119615492543512,0.00447784292667773
1,27.105922802540203,153.77500000000012,PEM,1.0004901401287492e-07,0.0,197.51586041072017,4.384580786888339,0.004765848681400369
1,27.105922802540203,154.02500000000012,PEM,1.0004901401287492e-07,0.0,199.73217327842184,4.660268165504215,0.00506550887554806
1,27.105922802540203,154.27500000000012,PEM,1.0004901401287492e-07,0.0,201.98786686511653,4.948860290004875,0.005379195967396604
1,27.105922802540203,154.52500000000015,PEM,1.0004901401287492e-07,0.0,204.28383284983673,5.250817149650533,0.005707409945272319
1,27.105922802540203,154.77500000000015,PEM,1.0004901401287492e-07,0.0,206.62096691141545,5.56661880599473,0.006050672615211663
1,27.105922802540203,155.02500000000015,PEM,1.0004901401287492e-07,0.0,209.00017510439142,5.896766141163875,0.00640952841430856
1,27.105922802540203,155.27500000000015,PEM,1.0004901401287492e-07,0.0,211.42237741066,6.241783222816207,0.0067845469813219645
1,27.105922802540203,155.52500000000015,PEM,1.0004901401287492e-07,0.0,213.8885096817501,6.602218603370974,0.0071763245688814935
1,27.105922802540203,155.77500000000018,PEM,1.0004901401287492e-07,0.0,216.3995246526991,6.978647848345503,0.007585486791679894
1,27.105922802540203,156.02500000000018,PEM,1.0004901401287492e-07,0.0,218.95639240766334,7.37167617275204,0.008012691492121783
1,27.105922802540203,156.27500000000018,PEM,1.0004901401287492e-07,0.0,221.56010050803894,7.7819403628704835,0.008458630829207047
1,27.105922802540203,156.52500000000018,PEM,1.0004901401287492e-07,0.0,224.21165389859212,8.210112934293758,0.008924035798145389
