case,parameter,factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case2,T_target,1.2,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,K_P,0.8,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,K_P,1.2,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,K_I,0.8,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,K_I,1.2,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,ice_warn,0.8,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,ice_warn,1.2,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,delta_V,0.8,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,delta_V,1.2,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case3,G,0.8,94.6538239419,96.6538239419,96.6538239419,1798.02085391,2196.02551294,8.73073287855,371.117716306,3631.65938343,7.74207364884e-11,5.2599526297e-17,0.569163791475,0.274468187536,9.02071400512,0.466320530478,9.11727467695,-9.90833397416,0.293988837807,0.0123787446752,0.508630580932,0,9.41810185395e-10,0.551202873599,19.3961471826,0.466320530478,0.590415774981,0.274005976438,0,1743.37085182,5.26407259796e-17,True
case3,G,1.2,94.653429836,96.653429836,96.653429836,1731.20211205,2204.41744772,11.2290448283,371.115189342,3575.73341526,1.4119905245e-10,2.27850507559e-17,0.569163634343,0.274468496351,6.38074463375,0.4663229853,6.20540125432,-9.90841965129,0.293988790191,0.012378742632,0.508630536209,0,9.41795974541e-10,0.548159093571,19.3960289508,0.4663229853,0.590415643803,0.274006279496,0,1676.89394527,2.28332977525e-17,True
case3,G_EP,0.8,94.6536601484,96.6536601484,96.6536601484,1455.51281352,2200.71944515,10.0342897159,371.116250693,3295.15029769,1.31933575176e-10,3.75681473777e-17,0.569163441823,0.274470373316,7.46565464178,0.466334405944,7.38803807068,-11.4439591171,0.293988583466,0.0123787452963,0.508638703319,0,9.41806632682e-10,0.478403770775,19.3960980445,0.466334405944,0.590415445366,0.2740081461,0,1408.25663243,3.75681473777e-17,True
case3,G_EP,1.2,94.6535515368,96.6535515368,96.6535515368,2007.65823127,2200.71476299,10.0340192537,371.116331352,3847.29068216,1.80250481208e-10,3.74575587561e-17,0.569163991448,0.274466977924,7.46561878997,0.466314478921,7.38808628585,-8.64831419142,0.293989044662,0.0123787418139,0.508622542262,0,9.41806632682e-10,0.595789416291,19.396065461,0.466314478921,0.590415889381,0.2740047689,0,1948.48249776,3.74575587561e-17,True
case3,h,0.8,94.6535686493,96.6535686493,96.6535686493,1684.56812736,2200.71588678,10.0341522571,296.892888457,3598.42527793,1.01579189504e-10,3.80403174238e-17,0.569163701796,0.274468516775,7.46562968776,0.466323310702,7.38806346041,-9.90839093735,0.293988810716,0.0123787433715,0.508631176339,0,9.41810185395e-10,0.524536915758,19.3960705948,0.466323310702,0.590415674642,0.274006299632,0,1632.59066143,3.80630856694e-17,True
case3,h,1.2,94.6535516322,96.6535516322,96.6535516322,1833.01424736,2200.71531108,10.034149815,445.339122649,3598.42458561,8.85052031663e-11,3.68146268678e-17,0.569163710283,0.274468425994,7.46563112422,0.466323328862,7.38806268069,-9.90839435113,0.293988819914,0.0123787431474,0.508629940592,0,9.41810185395e-10,0.573305218954,19.3960654896,0.466323328862,0.590415682527,0.274006209974,0,1776.19899633,3.68173373733e-17,True
case3,T_target,0.8,-1,-1,96.6666666667,1663.36510937,2204.80782107,11.3791483636,365.506223182,3514.04585562,2.45904629992e-10,2.85053014179e-17,0.567592806078,0.289296810099,7.55170125554,-0.118627905287,6.8613002062,-10.2032012396,0.292785759976,0.0124045368369,0.50835102908,0,9.33376043122e-10,0.519718210096,-1,-22.0958071689,1.26054452142,0,0,0,2.85725219526e-17,False
case3,T_target,1.2,92.2471690893,94.2471690893,94.2471690893,1785.20775043,2118.86944116,9.46553150735,361.99556534,3551.54715776,6.4915184339e-11,2.22169288175e-17,0.570731391192,0.260580798057,7.38032137057,0.478692198251,7.41352891575,-10.1491261388,0.298232410692,0.0122679368731,0.508902282662,0,9.50201695105e-10,0.566158884221,18.6741507268,0.478692198251,0.591819634708,0.260130318597,0,1729.12464696,2.22169288175e-17,True
case3,K_P,0.8,94.6517664909,96.6517664909,96.6517664909,1758.75398865,2200.65201161,10.0342904865,371.105117548,3598.3351732,1.2227019397e-10,3.63354095076e-17,0.569166711708,0.274469522541,7.46492131359,0.466121668125,7.38771168964,-9.90878646411,0.293988773094,0.0123787385722,0.508644328081,0,9.41803079968e-10,0.548881623623,19.3955299473,0.466121668125,0.590414560293,0.274007480812,0,1704.35879715,3.63354095076e-17,True
case3,K_P,1.2,94.6542284787,96.6542284787,96.6542284787,1758.80542919,2200.74138509,10.0342505071,371.120167206,3598.46089758,1.1374368114e-10,3.69718361828e-17,0.569162304704,0.274467564571,7.46600270056,0.466418703926,7.38820682765,-9.90823737773,0.29398891529,0.0123787438892,0.5086179362,0,9.41803079968e-10,0.548940053097,19.3962685436,0.466418703926,0.590416229056,0.274005262488,0,1704.4081451,3.69946044285e-17,True
case3,K_I,0.8,94.6586754143,96.6586754143,96.6586754143,1758.83340185,2200.89150934,10.0341829536,371.146043477,3598.61305067,1.61719526659e-10,3.67452379288e-17,0.569159082826,0.274480425354,7.46643530075,0.466474355673,7.38840719304,-9.90749358922,0.293988422535,0.0123788424612,0.508666115863,0,9.41803079968e-10,0.548877586435,19.3976026243,0.466474355673,0.590415836367,0.274018033975,0,1704.44057124,3.67452379288e-17,True
case3,K_I,1.2,94.6535501242,96.6535501242,96.6535501242,1758.83038872,2200.71427692,10.0336188407,371.116570662,3598.46171382,1.20223830891e-10,3.87239068936e-17,0.569160089711,0.274459990567,7.46590054797,0.466468954838,7.38849361604,-9.90826750837,0.293988886664,0.0123787365698,0.508596623424,0,9.41803079968e-10,0.548988660898,19.3960650373,0.466468954838,0.590417167984,0.273997710996,0,1704.43358494,3.87239068936e-17,True
case3,ice_warn,0.8,94.6535601258,96.6535601258,96.6535601258,1758.79120459,2200.7155984,10.0341510396,371.11602297,3598.42493105,1.61321622727e-10,3.64465402303e-17,0.569163706111,0.274468471395,7.46563039432,0.466323319028,7.38806306743,-9.90839264747,0.293988815322,0.0123787432593,0.508630558467,0,9.41803079968e-10,0.548921065742,19.3960680377,0.466323319028,0.590415678579,0.274006254813,0,1704.39484609,3.64465402303e-17,True
case3,ice_warn,1.2,94.6535601258,96.6535601258,96.6535601258,1758.79120459,2200.7155984,10.0341510396,371.11602297,3598.42493105,1.61321622727e-10,3.64465402303e-17,0.569163706111,0.274468471395,7.46563039432,0.466323319028,7.38806306743,-9.90839264747,0.293988815322,0.0123787432593,0.508630558467,0,9.41803079968e-10,0.548921065742,19.3960680377,0.466323319028,0.590415678579,0.274006254813,0,1704.39484609,3.64465402303e-17,True
case3,delta_V,0.8,94.6535601258,96.6535601258,96.6535601258,1758.79120459,2200.7155984,10.0341510396,371.11602297,3598.42493105,1.61321622727e-10,3.64465402303e-17,0.569163706111,0.274468471395,7.46563039432,0.466323319028,7.38806306743,-9.90839264747,0.293988815322,0.0123787432593,0.508630558467,0,9.41803079968e-10,0.548921065742,19.3960680377,0.466323319028,0.590415678579,0.274006254813,0,1704.39484609,3.64465402303e-17,True
case3,delta_V,1.2,94.6535601258,96.6535601258,96.6535601258,1758.79120459,2200.7155984,10.0341510396,371.11602297,3598.42493105,1.61321622727e-10,3.64465402303e-17,0.569163706111,0.274468471395,7.46563039432,0.466323319028,7.38806306743,-9.90839264747,0.293988815322,0.0123787432593,0.508630558467,0,9.41803079968e-10,0.548921065742,19.3960680377,0.466323319028,0.590415678579,0.274006254813,0,1704.39484609,3.64465402303e-17,True
