case,stage,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,DE_seed20260926,1.01848394009,2.27614179101,49.6746507777,0.479433509451,0.0429681931907,1.58222600988,2,0.6,0.8,0.1,0.7,0.02,0.268807768925,1,60.622025156,62.622025156,62.622025156,3231.02044274,1051.32365815,2.68588875572,221.977410856,4063.05257878,-4.46220838057e-12,-2.4665599424e-20,0.602466940412,0.102387442655,6.70251419577,0.587666340909,7.29018053667,-17.2454871964,0.351763464525,0.0109977353296,0.433085516812,0,9.98117144491e-10,1,9.18660754681,0.587666340909,0.605338010388,0.102177174529,0,3131.02044274,1.07336015076e-19,True
case1,DE_seed20260926,1.04443201025,0.970307209629,40.1975095857,0.135825107174,0.00401266915942,0.862627067602,2,0.6,0.8,0.1,0.7,0.02,0.0230135160843,1,58.258078146,60.258078146,60.258078146,3315.58955633,966.600379772,1.02072193607,224.0730092,4059.13764883,-1.56603618962e-11,-4.55364912444e-20,0.606655908362,0.083771758875,7.02635837264,0.192178015509,7.21853638815,-17.2063462976,0.358111741328,0.0109127213181,0.433085516812,0,9.98975124844e-10,1,8.48500917316,0.192178015509,0.606754834683,0.08368639514,0,3227.92672818,1.07336015076e-19,True
case1,DE_seed20260926,1.11044412837,1.65163540225,13.3429579725,0.591279594487,0.0476681652572,1.87798378489,2,0.6,0.8,0.1,0.7,0.02,0.205141960702,1,49.1071602345,51.1071602345,51.1071602345,3531.34538139,675.629856949,-1.71084526666,222.190053663,3983.07433941,-5.91171556152e-12,1.22785896034e-19,0.62253428529,0.0387856675701,12.8429573762,0.0714599382267,6.4410543281,-17.4886611438,0.376681021824,0.00902482707763,0.433085516812,0,9.95810545135e-10,1,6.02878296573,0.0714599382267,0.62253428529,0.0387751156505,0,3444.56211063,1.78622307917e-19,True
case1,DE_seed20260926,1.01064766858,1.31663717566,51.8134520095,0.347011170176,0.0328310377089,0.196890534287,2,0.6,0.8,0.1,0.7,0.02,0.264416069105,1,62.8413195372,64.8413195372,64.8413195372,3204.62535426,1128.35035319,3.66982169141,226.611928676,4110.03360047,8.6970430857e-12,1.26580603638e-19,0.598937078731,0.114193692955,6.54306082308,0.582472414638,7.12553323771,-16.9931612592,0.347356437215,0.0110811578246,0.433085516812,0,9.99202498519e-10,1,9.85239586115,0.582472414638,0.604183977331,0.113961541854,0,3104.62535426,1.39862080251e-19,True
case1,DE_seed20260926,0.99799374377,0.851461614458,58.7401170826,0.0770817862036,0.0594498121332,0.300012833407,2,0.6,0.8,0.1,0.7,0.02,0.199894522673,1,68.1611394882,70.1611394882,70.1611394882,3161.01469967,1313.23419122,6.05539529399,239.465791763,4240.83849441,2.04352090805e-11,1.02511315409e-18,0.590942125402,0.142300973452,6.2214678912,0.595364176294,6.8168320675,-16.3068996369,0.336783566943,0.0112853308001,0.433085516812,0,9.99090588039e-10,1,11.4483418465,0.595364176294,0.601562972662,0.142006033807,0,3061.38214399,1.02511315409e-18,True
case1,DE_seed20260926,1.10864329271,3.50203057839,12.0389501875,0.191048398344,0.0381651581394,1.30703696167,2,0.6,0.8,0.1,0.7,0.02,0.0563890770079,1,46.3379631758,48.3379631758,48.3379631758,3526.53393054,600.320748017,-1.80861606262,212.15436055,3912.89170194,9.09494701773e-12,-3.98444298388e-20,0.627627486194,0.031145496433,15.4695538915,0.491545836626,6.88449802157,-17.935747665,0.379952121019,0.00846806133695,0.433085516812,0,7.84154075006e-10,1,5.3680170782,0.491545836626,0.627627486194,0.0310926177909,0,3426.53393054,6.04442711161e-20,True
case1,DE_seed20260926,1.13741089758,0.506399166945,29.206260637,0.271473527217,0.0070459090741,0.586890514938,2,0.6,0.8,0.1,0.7,0.02,0.311487805674,1,54.5958598614,62.3,62.3,3612.45653542,1022.55076651,-1.26768347564,258.34343377,4375.39618469,7.84439180279e-12,1.03432887255e-18,0.609889911722,0.0629265889313,8.56003042893,0.00873237355881,8.56876280249,-15.7114976897,0.360962919149,0.0109629779592,0.433085516812,0,9.96317695012e-10,1,7.45176978501,0.00873237355881,0.610642258638,0.0629156344674,0,3325.77074872,1.03432887255e-18,True
case1,DE_seed20260926,0.993301412301,2.54346284864,62.5987360032,0.518481717021,0.0662837958814,0.495337489068,2,0.6,0.8,0.1,0.7,0.02,0.0744341211825,1,68.1752344608,70.1752344608,70.1752344608,3145.95254227,1314.58606118,6.29833920052,238.165393001,4228.67154965,-2.50111042988e-11,7.03647209943e-19,0.59029241101,0.144189240658,6.19624787546,0.587453424421,6.78370129988,-16.3648495747,0.336406817931,0.011287947321,0.433085516812,0,9.92363524688e-10,1,11.4525703382,0.587453424421,0.601237254111,0.14389398997,0,3045.95254227,7.11507675694e-19,True
case1,DE_seed20260926,0.927867036238,1.41470430705,87.3203796641,0.0816479024403,0.06937961421,1.80668490196,2,0.6,0.8,0.1,0.7,0.02,0.0115832680887,1,83.5539325476,86.5,86.5,2926.36958889,1887.13851061,13.3733623482,269.556209927,4557.32525192,-2.54658516496e-11,2.01227923213e-18,0.563417104978,0.258006130773,6.75256784113,0.0267568547057,6.77932469583,-14.6389215944,0.300099223897,0.0120119127568,0.433085516812,0,9.98227278615e-10,1,16.0661797643,0.0267568547057,0.587293161805,0.257948441737,0,2808.06950369,2.45517581959e-18,True
case1,DE_seed20260926,0.996603759648,2.642554223,60.5920137039,0.567507433302,0.0223789930835,1.51461830038,2,0.6,0.8,0.1,0.7,0.02,0.218822854233,1,66.6529431581,68.6529431581,68.6529431581,3157.3976766,1261.56971814,5.58500000371,234.265306876,4190.28708787,2.84217094304e-12,4.06575814682e-19,0.592645172498,0.136054436978,6.33646985578,0.583060233992,6.91953008978,-16.5705565134,0.339430579238,0.011228640486,0.433085516812,0,9.98596760837e-10,1,10.9958829474,0.583060233992,0.601991136681,0.135777793055,0,3057.3976766,4.06575814682e-19,True
