cooling_min,cv,x_mm,dx_mm,layer,material,node,capacity_J_m2K,k_W_mK,temperature_C
65.0,26,12.018750000000004,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,-27.661044408629596
65.0,27,12.056250000000002,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,-27.65956117952699
65.0,28,12.093750000000002,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,-27.65807884734374
65.0,29,12.131250000000001,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,-27.656597412647926
65.0,30,12.150850000000002,0.0017000000000000001,cell1_aCL,aCL,T1_C,0.39576,0.27,-27.655819856738127
65.0,31,12.152550000000002,0.0017000000000000001,cell1_aCL,aCL,T1_C,0.39576,0.27,-27.65574528629566
65.0,32,12.156400000000003,0.006,cell1_PEM,PEM,T1_C,13.545,0.24,-27.655559968585536
65.0,33,12.162400000000003,0.006,cell1_PEM,PEM,T1_C,13.545,0.24,-27.655264542602605
65.0,34,12.168225000000003,0.0056500000000000005,cell1_cCL,cCL,T1_C,1.31532,0.27,-27.65499377972022
65.0,35,12.173875000000002,0.0056500000000000005,cell1_cCL,cCL,T1_C,1.31532,0.27,-27.65474708846253
65.0,36,12.195450000000001,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,-27.65388712622639
65.0,37,12.23295,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,-27.652414739763373
65.0,38,12.27045,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,-27.65094325295842
65.0,39,12.30795,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,-27.649472666375456
65.0,40,12.493366666666665,0.3333333333333333,BP1,BP,T1_C,505.56,95.0,-27.64871719630766
65.0,41,12.826699999999999,0.3333333333333333,BP1,BP,T1_C,505.56,95.0,-27.64867932401391
65.0,42,13.160033333333331,0.3333333333333333,BP1,BP,T1_C,505.56,95.0,-27.648644833819056
65.0,43,13.493366666666665,0.3333333333333333,BP1,BP,T2_C,505.56,95.0,-27.648613725772705
65.0,44,13.826699999999997,0.3333333333333333,BP1,BP,T2_C,505.56,95.0,-27.648585999919604
65.0,45,14.160033333333331,0.3333333333333333,BP1,BP,T2_C,505.56,95.0,-27.648561656299638
65.0,46,14.345449999999998,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,-27.64817780154442
65.0,47,14.382949999999997,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,-27.647431954667585
65.0,48,14.420449999999995,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,-27.64668700935836
65.0,49,14.457949999999995,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,-27.645942965902226
65.0,50,14.477549999999995,0.0017000000000000001,cell2_aCL,aCL,T2_C,0.39576,0.27,-27.645552679091562
65.0,51,14.479249999999995,0.0017000000000000001,cell2_aCL,aCL,T2_C,0.39576,0.27,-27.645515251545355
65.0,52,14.483099999999997,0.006,cell2_PEM,PEM,T2_C,13.545,0.24,-27.64542224490819
65.0,53,14.489099999999997,0.006,cell2_PEM,PEM,T2_C,13.545,0.24,-27.645274300937842
65.0,54,14.494924999999997,0.0056500000000000005,cell2_cCL,cCL,T2_C,1.31532,0.27,-27.64513900553475
65.0,55,14.500574999999996,0.0056500000000000005,cell2_cCL,cCL,T2_C,1.31532,0.27,-27.645015764699906
65.0,56,14.522149999999996,0.0375,cell2_cGDL,cGDL,T2_C,3.7809375,0.3,-27.644586240978583
65.0,57,14.559649999999996,0.0375,cell2_cGDL,cGDL,T2_C,3.7809375,0.3,-27.643851284469502
65.0,58,14.597149999999994,0.0375,cell2_cGDL,cGDL,T2_C,3.7809375,0.3,-27.643117230900238
65.0,59,14.634649999999993,0.0375,cell2_cGDL,cGDL,T2_C,3.7809375,0.3,-27.642384080552098
65.0,60,14.820066666666659,0.3333333333333333,BP2,BP,T2_C,505.56,95.0,-27.64200767998036
65.0,61,15.153399999999992,0.3333333333333333,BP2,BP,T2_C,505.56,95.0,-27.641990517378197
65.0,62,15.486733333333326,0.3333333333333333,BP2,BP,T2_C,505.56,95.0,-27.641976746495995
65.0,63,15.820066666666664,0.3333333333333333,BP2,BP,T3_C,505.56,95.0,-27.64196636735356
65.0,64,16.153399999999998,0.3333333333333333,BP2,BP,T3_C,505.56,95.0,-27.64195937996582
