cell,x_um,time_s,T_C,vapor_kg_m3,liquid_kg_m3,ice_kg_m3,ice_bulk
1,173.16875,77.0368783891,-5.14545330454,2.14381339986e-05,38.12685085,39.5223332475,0.0429590578778
1,174.58125,77.0368783891,-5.14545330454,2.12631029838e-05,38.0964024745,39.3871239809,0.0428120912836
1,175.99375,77.0368783891,-5.14545330454,2.10932456996e-05,38.0559853555,39.178966511,0.0425858331641
1,181.3875,77.0368783891,-5.14545330454,4.41612273676e-05,37.8495083905,37.3272734394,0.0405731233037
1,190.7625,77.0368783891,-5.14545330454,4.3456542968e-05,37.4587428397,35.1274741926,0.0381820371659
1,200.1375,77.0368783891,-5.14545330454,4.26957929726e-05,37.0783088855,33.3949186038,0.0362988245693
1,209.5125,77.0368783891,-5.14545330454,4.1909972335e-05,36.7142428074,31.6500434738,0.0344022211671
1,218.8875,77.0368783891,-5.14545330454,4.11109567377e-05,36.3697881946,29.6974471155,0.0322798338212
1,228.2625,77.0368783891,-5.14545330454,4.02922160721e-05,36.047224235,27.6342289267,0.0300372053551
1,237.6375,77.0368783891,-5.14545330454,3.94484513392e-05,35.7483572503,25.5429021546,0.0277640240811
1,247.0125,77.0368783891,-5.14545330454,3.85762821149e-05,35.4747645858,23.4781934279,0.0255197754651
1,256.3875,77.0368783891,-5.14545330454,3.76734757084e-05,35.2278774218,21.4782445562,0.0233459179959
1,265.7625,77.0368783891,-5.14545330454,3.6738494399e-05,35.0089979461,19.5713659796,0.0212732238909
1,275.1375,77.0368783891,-5.14545330454,3.57702240843e-05,34.8192917418,17.7802234422,0.0193263298285
1,284.5125,77.0368783891,-5.14545330454,3.47677984367e-05,34.6597706547,16.1247171227,0.0175268664378
1,293.8875,77.0368783891,-5.14545330454,3.37304557003e-05,34.5312729842,14.6245991921,0.0158963034697
1,303.2625,77.0368783891,-5.14545330454,3.26573602158e-05,34.4344450084,13.3031988801,0.0144599987828
1,312.6375,77.0368783891,-5.14545330454,3.15472231771e-05,34.3697270865,12.1960220629,0.0132565457206
1,322.0125,77.0368783891,-5.14545330454,3.03967575043e-05,34.337348314,11.3866303167,0.0123767720834
2,4.6875,77.0368783891,2.04582548391,1.26700730147e-07,0,0,0
2,14.0625,77.0368783891,2.04582548391,3.8010219121e-07,0,0,0
2,23.4375,77.0368783891,2.04582548391,6.33503654579e-07,0,0,0
2,32.8125,77.0368783891,2.04582548391,8.86905121792e-07,0,0,0
2,42.1875,77.0368783891,2.04582548391,1.14030659439e-06,0,0,0
2,51.5625,77.0368783891,2.04582548391,1.3937080739e-06,0,0,0
2,60.9375,77.0368783891,2.04582548391,1.64710956186e-06,0,0,0
2,70.3125,77.0368783891,2.04582548391,1.90051105981e-06,0,0,0
2,79.6875,77.0368783891,2.04582548391,2.15391256928e-06,0,0,0
2,89.0625,77.0368783891,2.04582548391,2.4073140918e-06,0,0,0
2,98.4375,77.0368783891,2.04582548391,2.66071562891e-06,0,0,0
2,107.8125,77.0368783891,2.04582548391,2.91411718213e-06,0,0,0
2,117.1875,77.0368783891,2.04582548391,3.167518753e-06,0,0,0
2,126.5625,77.0368783891,2.04582548391,3.42092034302e-06,0,0,0
2,135.9375,77.0368783891,2.04582548391,3.67432195374e-06,0,0,0
2,145.3125,77.0368783891,2.04582548391,3.92772358667e-06,0,0,0
2,150.283333333,77.0368783891,2.04582548391,1.99558685329e-06,0,0,0
2,150.85,77.0368783891,2.04582548391,2.01747905763e-06,0,0,0
2,151.416666667,77.0368783891,2.04582548391,2.03937126204e-06,0,0,0
2,151.983333333,77.0368783891,2.04582548391,2.06126346651e-06,0,0,0
2,152.55,77.0368783891,2.04582548391,2.08315567105e-06,0,0,0
2,153.116666667,77.0368783891,2.04582548391,2.10504787566e-06,0,0,0
2,153.9,77.0368783891,2.04582548391,0,312.804720465,0.000259241496071,2.8178423486e-07
2,154.9,77.0368783891,2.04582548391,0,322.078059604,0.000855508859712,9.29900934469e-07
2,155.9,77.0368783891,2.04582548391,0,331.704139958,0.00203405401224,2.21092827418e-06
2,156.9,77.0368783891,2.04582548391,0,341.720478215,0.00414459050847,4.50498968312e-06
2,157.9,77.0368783891,2.04582548391,0,352.138170163,0.00765448219573,8.32008934319e-06
2,158.9,77.0368783891,2.04582548391,0,362.966170302,0.0132859463336,1.44412460147e-05
2,159.9,77.0368783891,2.04582548391,0,374.212134784,0.0224893603024,2.44449568504e-05
2,160.9,77.0368783891,2.04582548391,0,385.883185043,0.0395437083576,4.2982291693e-05
2,161.9,77.0368783891,2.04582548391,0,397.987855429,0.0615072162428,6.68556698292e-05
2,162.9,77.0368783891,2.04582548391,0,410.54227114,0.0843751124682,9.17120787698e-05
2,163.9,77.0368783891,2.04582548391,0,423.590026509,0.108184847089,0.000117592225097
2,164.9,77.0368783891,2.04582548391,0,437.791337907,0.140287863846,0.000152486808528
2,166.10625,77.0368783891,2.04582548391,3.58169380103e-05,61.3253070158,0.109816404392,0.000119365656948
2,167.51875,77.0368783891,2.04582548391,3.5540093524e-05,61.7195899939,0.208532930298,0.000226666228585
2,168.93125,77.0368783891,2.04582548391,3.53107003815e-05,61.7209558357,0.227750262833,0.000247554633514
2,170.34375,77.0368783891,2.04582548391,3.50820994348e-05,61.7202728088,0.235984697068,0.000256505105508
2,171.75625,77.0368783891,2.04582548391,3.48536533042e-05,61.7175554062,0.239091648182,0.000259882226284
2,173.16875,77.0368783891,2.04582548391,3.46252065781e-05,61.712816182,0.238460942775,0.000259196676929
2,174.58125,77.0368783891,2.04582548391,3.439677981e-05,61.7060660217,0.233829798333,0.000254162824275
2,175.99375,77.0368783891,2.04582548391,3.41686163993e-05,61.6973142749,0.222794281795,0.000242167697603
