model,condition,t_s,n_scenarios,objective_tolerance_fraction,V_model_V_min,V_model_V_max,T_model_C_min,T_model_C_max,ice_max_bulk_min,ice_max_bulk_max,ice_pore_max_bulk_min,ice_pore_max_bulk_max,ice_mem_max_bulk_min,ice_mem_max_bulk_max,water_ice_kg_m2_min,water_ice_kg_m2_max
main,minus20,2.0,8,0.05,1.0849384075286777,1.0879810793797822,-19.723840070372802,-19.717741021753284,8.549261850631861e-09,0.0002237954197307572,8.549261850631861e-09,0.0002237954197307572,7.479312936392014e-09,0.00020101043933145606,1.0091956728675998e-10,2.648524471026478e-06
main,minus20,2.2,8,0.05,1.0919038731159312,1.0949391122212886,-19.722363336340408,-19.71555070436645,1.0344428456575666e-08,0.0002670166328176048,1.0344428456575666e-08,0.0002670166328176048,8.484765701997991e-09,0.00022594011345142723,1.1975306832040323e-10,3.10131144022581e-06
main,minus20,2.4,8,0.05,1.0918785001905975,1.0949066212346488,-19.7276222352493,-19.72015573205414,1.2297866452345373e-08,0.00031303528154269977,1.2297866452345373e-08,0.00031303528154269977,9.476197187946714e-09,0.00024995639820634004,1.3980000744659443e-10,3.572535485749515e-06
main,minus20,2.6,8,0.05,1.0918579733350595,1.094878393329935,-19.731479006050904,-19.72344377722132,1.4406945734003146e-08,0.000361657757956241,1.4406945734003146e-08,0.000361657757956241,1.0459729630625339e-08,0.0002732614253411222,1.610342063502193e-10,4.060734111853229e-06
main,minus20,2.8,8,0.05,1.0918410646984966,1.0948532215855622,-19.734354626726628,-19.725816087681892,1.6671429248128636e-08,0.0004127717590803219,1.6671429248128636e-08,0.0004127717590803219,1.1442180019676155e-08,0.0002960641214348713,1.834721399745062e-10,4.565779610317914e-06
main,minus20,3.0,8,0.05,1.0918267732240252,1.0948301801943714,-19.73649886005356,-19.727507415664803,1.9090987381987425e-08,0.000466269742620325,1.9090987381987425e-08,0.000466269742620325,1.2427806808204196e-08,0.00031848713565139246,2.071226579563387e-10,5.087637556194301e-06
main,minus20,3.2,8,0.05,1.0918143538555218,1.0948085961446739,-19.738097887898903,-19.728690189731907,2.1665155894789057e-08,0.0005220486357830319,2.1665155894789057e-08,0.0005220486357830319,1.3419644458189355e-08,0.0003406082333385925,2.319889741127378e-10,5.625856453945407e-06
main,minus20,3.4,8,0.05,1.091803252462893,1.0947880136391346,-19.739290500796585,-19.72948324051626,2.439328490273286e-08,0.0005800095259890249,2.439328490273286e-08,0.0005800095259890249,1.4420047351904432e-08,0.0003624782781944086,2.580703560799757e-10,6.179838411126527e-06
main,minus20,3.6,8,0.05,1.0917930575424537,1.0947680456325048,-19.740180165212195,-19.729988314820616,2.7274480890922906e-08,0.0006400574007329534,2.7274480890922906e-08,0.0006400574007329534,1.5431009983311913e-08,0.00038413194613906023,2.8536316982889634e-10,6.748964591194678e-06
main,minus20,3.8,8,0.05,1.0848516458246689,1.0878170166292302,-19.73304087669345,-19.722482125806636,3.0313351169309694e-08,0.0007022747111665084,3.0313351169309694e-08,0.0007022747111665084,1.6470165205806203e-08,0.00040606007080801567,3.139618341593032e-10,7.335523179067617e-06
main,minus20,4.0,8,0.05,1.0918230707839593,1.0947775061176561,-19.72924152743687,-19.718286938611072,3.3517963395397145e-08,0.0007668594781741139,3.3517963395397145e-08,0.0007668594781741139,1.7554203682352062e-08,0.00042870055112461406,3.4401038311326833e-10,7.943084777076154e-06
main,minus20,4.2,8,0.05,1.0918016619717383,1.0947455403549304,-19.732752607537066,-19.7214138785462,3.687336023602475e-08,0.0008333193240515594,3.687336023602475e-08,0.0008333193240515594,1.86421612491975e-08,0.00045079074187737736,3.752427232735444e-10,8.56340313702725e-06
main,minus20,4.4,8,0.05,1.0917834363679604,1.0947164951374038,-19.735307342839718,-19.723615706840746,4.037473437515344e-08,0.00090149914132781,4.037473437515344e-08,0.00090149914132781,1.97380204525564e-08,0.00047241871246137327,4.076135445875505e-10,9.19504077431367e-06
main,minus20,4.6,8,0.05,1.084835653487883,1.0877580046096196,-19.729412194170152,-19.717392907942553,4.402469184856945e-08,0.0009714920255924688,4.402469184856945e-08,0.0009714920255924688,2.086360342513767e-08,0.0004941897691627321,4.41222518985893e-10,9.840733655331725e-06
main,minus20,4.8,8,0.05,1.0918021796311588,1.094712735390975,-19.726539951446995,-19.714170443483738,4.782889915715678e-08,0.0010435041338189945,4.782889915715678e-08,0.0010435041338189945,2.2038072367533977e-08,0.0005166032500430417,4.762546236341641e-10,1.050435935488987e-05
main,minus20,5.0,8,0.05,1.0848447511576833,1.0877441457312578,-19.722941239938393,-19.710238207946702,5.1776163316271755e-08,0.0011172298830835615,5.1776163316271755e-08,0.0011172298830835615,2.3238003062610753e-08,0.0005389001638050965,5.125748568424439e-10,1.1180849726294801e-05
main,minus20,5.2,8,0.05,1.0848720697121323,1.087759579818986,-19.713878367565854,-19.70083196389652,5.5874440308805815e-08,0.001192979476811347,5.5874440308805815e-08,0.001192979476811347,2.44992561648093e-08,0.0005620759825814823,5.503956521412643e-10,1.1876027774875024e-05
main,minus20,5.4,8,0.05,1.084889912320941,1.0877653403186511,-19.707187308201554,-19.693780478196004,6.012051961261599e-08,0.00127073248892361,6.012051961261599e-08,0.00127073248892361,2.581670756891684e-08,0.0005858919908827072,5.897194990359942e-10,1.2589331153735775e-05
main,minus20,5.6,8,0.05,1.0849005803241998,1.0877637115956196,-19.702199816690324,-19.68842796114953,6.450861097386583e-08,0.0013503997010000032,6.450861097386583e-08,0.0013503997010000032,2.7185448683771114e-08,0.0006101209147374082,6.305113143724614e-10,1.3319225895362948e-05
main,minus20,5.8,8,0.05,1.0918382031942295,1.094688624425316,-19.706318481797126,-19.692186380484344,6.902686767175999e-08,0.0014317215483811805,6.902686767175999e-08,0.0014317215483811805,2.8587992978604373e-08,0.000634168648275573,6.726451039447323e-10,1.4061600342038605e-05
main,minus20,6.0,8,0.05,1.0917904831781577,1.0946283931786103,-19.715664678969176,-19.701222142958358,7.365448088845315e-08,0.0015141625460286657,7.365448088845315e-08,0.0015141625460286657,2.9993681230786764e-08,0.0006570743708127457,7.158534699731688e-10,1.4808425266845067e-05
main,minus20,6.2,8,0.05,1.0999107124058292,1.102735287257656,-19.73027329309548,-19.715572462966975,7.837754498344525e-08,0.0015974174102718877,7.837754498344525e-08,0.0015974174102718877,3.1399521748235566e-08,0.0006787159328795688,7.600254206240776e-10,1.5556475655219745e-05
main,minus20,6.4,8,0.05,1.0685551929992632,1.0713669728095558,-19.708168866193006,-19.693267107085262,8.320353460118068e-08,0.0016818339892270286,8.320353460118068e-08,0.0016818339892270286,3.286493513378346e-08,0.0007008215101888326,8.054684654173442e-10,1.631379581449118e-05
main,minus20,6.6,8,0.05,1.0500098477109006,1.0528052203759986,-19.617738197334916,-19.60245500450634,8.822199595098787e-08,0.0017703901240211334,8.822199595098787e-08,0.0017703901240211334,3.4640724184423005e-08,0.0007306806150292549,8.538668236500565e-10,1.7130627645887825e-05
main,minus20,6.8,8,0.05,1.0368114620316602,1.0395888620069007,-19.473671192174123,-19.45760375864984,9.352768829060312e-08,0.0018663017444957306,9.352768829060312e-08,0.0018663017444957306,3.690988265333661e-08,0.0007733642297841362,9.068558057897566e-10,1.805505937158395e-05
main,minus20,7.0,8,0.05,1.0265918681168245,1.0293495712028964,-19.287479931041617,-19.270091988077382,9.920446071889552e-08,0.0019725412778738706,9.920446071889552e-08,0.0019725412778738706,3.979582249983138e-08,0.000832007946179696,9.658902483245417e-10,1.912904944193385e-05
main,minus20,7.2,8,0.05,1.015058636382175,1.017792909586293,-19.050029546135733,-19.03071814915191,1.0533010384299206e-07,0.0020920877107614196,1.0533010384299206e-07,0.0020920877107614196,4.3415939574222846e-08,0.0009094233369588697,1.0323647531457259e-09,2.0390521537914743e-05
main,minus20,7.4,8,0.05,1.007217505404846,1.0099255789567685,-18.766898866248738,-18.74497250774064,1.1197698378031701e-07,0.0022281003032103616,1.1197698378031701e-07,0.0022281003032103616,4.790373341156369e-08,0.0010087585488071454,1.107816902409091e-09,2.1881184473294038e-05
main,minus20,7.6,8,0.05,1.0055548563358692,1.0082359971409511,-18.493473307956748,-18.468277939274486,1.1915730916414208e-07,0.0023821289252091114,1.1915730916414208e-07,0.0023821289252091114,5.326536618490401e-08,0.0011292768678293633,1.1930028040236046e-09,2.361828170629441e-05
main,minus20,7.8,8,0.05,0.9990908685847885,1.001737474156387,-18.21921830643265,-18.19025609233924,1.2683562353884543e-07,0.002554075990081014,1.2683562353884543e-07,0.002554075990081014,5.94511356565006e-08,0.0012686076598707216,1.2880758375664572e-09,2.559978049839892e-05
main,minus20,8.0,8,0.05,0.995616479187464,0.9982251845653783,-17.93196158882293,-17.89874112368898,1.34991233144083e-07,0.0027440251538568268,1.34991233144083e-07,0.0027440251538568268,6.652946657268894e-08,0.0014280863505262756,1.393754160655022e-09,2.7842213386442355e-05
main,minus20,8.2,8,0.05,0.9904284191019059,0.9929915646278724,-17.630879123335518,-17.592947121201007,1.4358919082326288e-07,0.0029510152402462213,1.4358919082326288e-07,0.0029510152402462213,7.452367577567033e-08,0.0016079574992930736,1.5105197269487172e-09,3.0354743254324624e-05
main,minus20,8.4,8,0.05,0.9867653448120728,0.9892782287507673,-17.312880731969017,-17.269776039067494,1.5260797365651406e-07,0.0031738888670564663,1.5260797365651406e-07,0.0031738888670564663,8.348495983732679e-08,0.0018096714577542131,1.6391660328895747e-09,3.315164426490116e-05
main,minus20,8.6,8,0.05,0.983429830636761,0.9858868519005205,-16.98974761466644,-16.94105168377206,1.6202319468109232e-07,0.0034109312176041325,1.6202319468109232e-07,0.0034109312176041325,9.340930360017045e-08,0.0020333859238509506,1.7801721343065742e-09,3.623888842253555e-05
main,minus20,8.8,8,0.05,0.9779973221570046,0.9803880999706853,-16.632587665743984,-16.577849103075664,1.7182507114780157e-07,0.0036608074118508996,1.7182507114780157e-07,0.0036608074118508996,1.043149871783099e-07,0.0022801601487268293,1.9340778806285796e-09,3.9626105850226306e-05
