t_s,j_A_m2,T_model_C,T_MEA_C,T_min_C,T_max_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,s_ice_pore_max,s_liquid_pore_max,gas_porosity_min,ice_max_x_um,ice_max_layer,water_produced_kg_m2,water_stored_kg_m2,water_initial_kg_m2,water_vapor_kg_m2,water_liquid_pore_kg_m2,water_unfrozen_mem_kg_m2,water_ice_kg_m2,water_out_kg_m2,water_balance_kg_m2,heat_gen_J_m2,heat_phase_J_m2,heat_loss_J_m2,heat_sensible_integral_J_m2,energy_balance_J_m2,H2_balance_mol_m2,O2_balance_mol_m2,model_valid,thermal_iterations_max,ever_invalid,min_gas_porosity_all_steps,min_kappa_all_steps,max_j_over_jlim_all_steps,V_model_V,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,j_lim_A_m2,j_over_jlim,lambda_mean,lambda_min,kappa_min_S_m,cO2_cCL_mol_m3,active_area_factor,I_exp_A,I_consistent_25cm2_A,V_exp_V,T_exp_C,V_rel_error_pct,T_rel_error_pct,T_rel_error_K_pct
2.0,66.006600660066,-24.984433230520693,-24.975213619574077,-24.98761983675834,-24.97063642673959,1.1425567587580327e-08,1.1070541684220386e-08,1.1425567587580327e-08,2.6314574956549527e-08,0.0026545925050073574,0.3916,164.89999999999992,PEM,1.2498736529609833e-05,0.001403182748241665,0.0013931999999999998,6.438004130452414e-10,1.1263731573800498e-05,0.0013919182366637947,1.3620365689374078e-10,2.5159882879465094e-06,1.8774485275891567e-18,98.75934598232165,-6.291534783358862,1.1781842888497411,91.2896269103822,2.691515899044816e-10,1.4891597070049167e-12,-1.5977074264289515e-14,1,3,0,0.3916,0.47634864226211704,0.00025093325069174997,0.7436615580082618,1.263130826031158,0.5177545390170173,0.0017135057630525026,1.2232428263768377e-06,288522.4318645326,0.00022877458862906541,2.997239958363037,2.9754059998241176,0.47634864226211704,10.310323654495122,0.9999999154716092,2.0,0.165016501650165,0.8,-24.9826913133056,7.042305248967276,0.006972496250492364,0.0007019124413729473
2.2,69.3069306930693,-24.982921297535427,-24.9733601230582,-24.986322691538845,-24.96864553943618,1.3385193349032983e-08,1.3385193349032983e-08,1.2846433897655968e-08,3.1816480506377425e-08,0.0029226641948194077,0.3916,171.75624999999985,cCL,1.3760924208708366e-05,0.0014041931452138845,0.0013931999999999998,6.437874149503794e-10,1.2361239300577301e-05,0.001391831100460284,1.6166560832442879e-10,2.7677789948264736e-06,2.8019849895172255e-18,108.73790245995477,-6.921003023956529,1.4263809756939745,100.39051846295018,2.645919039423461e-09,1.6698152192559657e-12,-1.6928082199885175e-14,1,3,0,0.3916,0.47628331106206234,0.00025093325069174997,0.7414940682295414,1.2631290553063335,0.51983445260349,0.0017992499988028789,1.2844744990691586e-06,288510.74658933585,0.00024022304719109925,2.9970523265725317,2.9749906492264615,0.47628331106206234,10.310165126970913,0.9999998981531587,2.1,0.17326732673267325,0.8,-24.9812806025465,7.313241471307324,0.006567697689436769,0.0006611207862573181
2.4,66.006600660066,-24.981461142223225,-24.97223424529372,-24.985011143879433,-24.96769829538539,1.5923398111918276e-08,1.5923398111918276e-08,1.4273958353973463e-08,3.784976969792792e-08,0.0031907310286707203,0.3916,171.75624999999985,cCL,1.5023111887806894e-05,0.0014052035575088046,0.0013931999999999998,6.437498291355326e-10,1.3453304547375787e-05,0.001391749420072376,1.89139223606723e-10,3.019554379005806e-06,3.671887826347392e-18,118.71640025950323,-7.550432225242258,1.6985325472147226,109.46743548499786,-2.0483863494291654e-09,1.870779464500927e-12,-1.9148148778375118e-14,1,3,0,0.3916,0.4762460073115813,0.00025093325069174997,0.7436692376337078,1.263128185757531,0.5177440654206031,0.0017136593657068667,1.2233375130986127e-06,288503.57171171723,0.0002287895441586494,2.9968764428776398,2.97475873909819,0.4762464305085021,10.310218717229208,0.9999998792280784,2.0,0.165016501650165,0.8,-24.9798738175426,7.041345295786525,0.006354414326583435,0.0006396115056400354
2.6,66.006600660066,-24.98002555440192,-24.970832558188818,-24.983732377070538,-24.966339857290706,1.867961450539835e-08,1.867961450539835e-08,1.5686089840371193e-08,4.440127051437687e-08,0.0034522419529284375,0.3916,171.75624999999985,cCL,1.6254514501561547e-05,0.001406183199125499,0.0013931999999999998,6.437032877059939e-10,1.450990667538743e-05,0.0013916724302363165,2.1851050736062786e-10,3.27131537606617e-06,3.7468502421793975e-18,128.43691507894547,-8.179824803279324,1.994002607039646,118.26308767391964,5.2931372618303385e-09,2.049108820990908e-12,-2.0789414027083675e-14,1,3,0,0.3916,0.47624016172171874,0.00025093325069174997,0.7436727723303603,1.2631269674489618,0.5177392437776844,0.0017137279577256058,1.2233831914139396e-06,288494.39788339066,0.0002287968194333737,2.9967106594235924,2.9746611807050876,0.47624016172171874,10.310169511148633,0.9999998587537986,2.0,0.165016501650165,0.8,-24.9785092749632,7.040903458704964,0.006070335991739241,0.0006109805096017203
2.8,66.006600660066,-24.97858938699767,-24.969365695534464,-24.98245071560379,-24.964871588758626,2.165211305685681e-08,2.165211305685681e-08,1.708657294051859e-08,5.146687201534777e-08,0.003713711396685069,0.3916,171.75624999999985,cCL,1.7485917115316195e-05,0.001407162853939511,0.0013931999999999998,6.436660740909483e-10,1.5560832768012345e-05,0.0013916011277583349,2.49747089492557e-10,3.5230631758090077e-06,3.888304744370866e-18,138.1573794566642,-8.809183789078572,2.31243581852872,127.03575984879275,-2.6414515019723694e-10,2.1680551234512513e-12,-2.208552351418147e-14,1,3,0,0.3916,0.4762262575943695,0.00025093325069174997,0.7436766322851681,1.2631256505269874,0.5177340105626328,0.001713784249927021,1.2234292594091175e-06,288485.26917436067,0.0002288040593856859,2.9965571226492993,2.9745205776731143,0.4762262575943695,10.310115890579876,0.9999998367567224,2.0,0.165016501650165,0.8,-24.9771485174843,7.0404209643539915,0.005768751034016859,0.0005805911100924005
3.0,72.6072607260726,-24.97701133829537,-24.96688118943888,-24.98111142991783,-24.96193487335472,2.4844689671132274e-08,2.4844689671132274e-08,1.8495362331524574e-08,5.905559703145299e-08,0.003988157037442746,0.3916,171.75624999999985,cCL,1.8778889859758595e-05,0.0014082040909241763,0.0013931999999999998,6.436995957705617e-10,1.666510780350863e-05,0.001391538056504845,2.829162271643604e-10,3.774798935586102e-06,4.0005366098820605e-18,148.39414681316242,-9.438512207101168,2.6541279968562095,136.30150661339178,4.186734958722127e-09,2.3289679646626427e-12,-2.3734703438749172e-14,1,3,0,0.3916,0.47612491669545765,0.0002509816291367782,0.7394360301531321,1.263123049383882,0.5218005108819859,0.0018851624802467498,1.3458685174638885e-06,288471.27316857676,0.000251696676513236,2.996421310303283,2.973885335621443,0.47612491669545765,10.309834205700458,0.999999813220478,2.2,0.1815181518151815,0.8,-24.9757148215872,7.570496230858495,0.005191109513506029,0.0005224218565744959
3.2,69.3069306930693,-24.975477881643855,-24.965618808095883,-24.979718443466652,-24.960806455620684,2.8269571259687384e-08,2.8269571259687384e-08,1.9942279483598414e-08,6.719650881789252e-08,0.004268893163906025,0.3916,171.75624999999985,cCL,2.0102647669544862e-05,0.001409276123938817,0.0013931999999999998,6.437037345437993e-10,1.7787759925894856e-05,0.0013914874020921576,3.1821703030329024e-10,4.026523730731643e-06,3.957337929572091e-18,158.88926785046962,-10.067812428964015,3.020573325027087,145.80088210246655,5.988024742720199e-09,2.4296198733453345e-12,-2.533617846772751e-14,1,3,0,0.3916,0.47604966589698544,0.0002513397290968241,0.7415147059980399,1.2631220187015033,0.51980651636007,0.0017995116186308765,1.2847247624958001e-06,288463.8254123568,0.00024026212158143428,2.996312235340563,2.9734560267510237,0.47604966589698544,10.309880129547851,0.9999997880651417,2.1,0.17326732673267325,0.8,-24.9742466427357,7.310661750245015,0.004930034229931358,0.0004961157129568208
3.4,66.006600660066,-24.97404653844427,-24.9646621325341,-24.97838520139453,-24.960118392479075,3.1920700926351953e-08,3.1920700926351953e-08,2.139176968850191e-08,7.587521018861885e-08,0.004536019075437585,0.3916,171.75624999999985,cCL,2.136483534864339e-05,0.0014102865957074605,0.0013931999999999998,6.436584315276551e-10,1.8838008243751278e-05,0.0013914475882925675,3.5551271032065726e-10,4.278239641187276e-06,4.599388903590851e-18,168.8674939375126,-10.69708965000669,3.4112571953907556,154.7591470987188,6.6036673906921806e-09,2.5439867226695334e-12,-2.5524938065957237e-14,1,3,0,0.3916,0.47604773219998364,0.0002513397290968241,0.7436892567292597,1.2631213882860393,0.5177170534680484,0.0017138545152181818,1.2235735129151588e-06,288456.87763688504,0.00022882657955951513,2.9962265036446327,2.9735084602440973,0.47606789272141753,10.309941522858981,0.999999761364788,2.0,0.165016501650165,0.8,-24.9728594600344,7.038842908842547,0.00475347411364797,0.00047831899718389273
3.6,69.3069306930693,-24.97255803744875,-24.96277727646776,-24.977061560635775,-24.958052221874226,3.5790501803749904e-08,3.5790501803749904e-08,2.283480630869024e-08,8.507369100011861e-08,0.004802145853370237,0.3916,171.75624999999985,cCL,2.262702302774192e-05,0.0014112970735429674,0.0013931999999999998,6.436545113692043e-10,1.9878341502298325e-05,0.0013914176937187025,3.9466745555069935e-10,4.529949484778714e-06,4.421511984667448e-18,178.84567271144326,-11.326351187161873,3.8251370860014684,163.6941844499973,1.1717378622932983e-08,2.705920773907189e-12,-2.7484633492724786e-14,1,3,0,0.3916,0.47604773219998364,0.0002513397290968241,0.74152195541742,1.2631195554729469,0.5197967926985297,0.0017995225364661556,1.2848205308248285e-06,288445.55426760303,0.00024027734061995756,2.9961621311772224,2.9733479480535343,0.4760550864037469,10.309777682522144,0.9999997332014627,2.1,0.17326732673267325,0.8,-24.9714761302039,7.309755572822499,0.004332572248464432,0.00043593910866225637
3.8,69.3069306930693,-24.971052782756715,-24.96117842465037,-24.97569802277073,-24.956407130505028,3.9883265891677164e-08,3.9883265891677164e-08,2.429764539228397e-08,9.480215329611876e-08,0.005073065727171101,0.3916,171.75624999999985,cCL,2.391999577218433e-05,0.0014123383406463056,0.0013931999999999998,6.436657473590197e-10,2.093680748852684e-05,0.0013914004537185787,4.35773452900224e-10,4.781655125881629e-06,3.0916702574781962e-18,189.08196793476046,-11.955601605048413,4.262717599778526,172.86364873828884,8.35532709686504e-09,2.8708027708518324e-12,-2.991498108256829e-14,1,3,0,0.3916,0.47601982675582755,0.0002513397290968241,0.7415263734685592,1.2631180820598027,0.5197909324330738,0.001799491288037377,1.284870132254756e-06,288436.3656392807,0.0002402849950610761,2.9961250080072754,2.973093832869342,0.47601982675582755,10.309716379027863,0.9999997035574111,2.1,0.17326732673267325,0.8,-24.9700582752618,7.3092033164301045,0.003982800055781534,0.00040072033541648525
4.0,66.006600660066,-24.96962880724726,-24.960166529601622,-24.974358019654062,-24.955619052177383,4.419685546746887e-08,4.419685546746887e-08,2.5772804802033808e-08,1.0505551572966216e-07,0.00533465297563088,0.3916,171.75624999999985,cCL,2.518218345128286e-05,0.0014133488248970808,0.0013931999999999998,6.436428991855162e-10,2.195137793865842e-05,0.001391396324505502,4.788100212554182e-10,5.033358554205624e-06,3.7438856268640075e-18,199.0600319297082,-12.58484576173876,4.72405275874289,181.75113341661398,7.3874302231047295e-09,3.0075223995257305e-12,-3.115552520832621e-14,1,3,0,0.3916,0.47601741421531846,0.0002513397290968241,0.7437013001019492,1.2631173632095345,0.5177010611811076,0.0017137782154274229,1.2237110502170106e-06,288429.75639653666,0.00022884809627380935,2.996116116506249,2.9731659203807044,0.47604305875981645,10.30977322483647,0.999999672466606,2.0,0.165016501650165,0.8,-24.9686827526186,7.037337487256351,0.0037889649126984543,0.00038119494213043607
4.2,62.7062706270627,-24.968297473526547,-24.959317217290362,-24.973081491555945,-24.955026810833687,4.871932293016477e-08,4.871932293016477e-08,2.7236023856448586e-08,1.1580537896402369e-07,0.005579125148148007,0.3916,171.75624999999985,cCL,2.6382800999693662e-05,0.00141429773852732,0.0013931999999999998,6.435927133160316e-10,2.289315003854191e-05,0.00139140342128962,5.236064446837405e-10,5.285062472377494e-06,3.945479468310531e-18,208.5227064197081,-13.214090487616899,5.208038765300431,190.1005771743614,7.570633897557855e-09,3.1215960805824894e-12,-3.3504123954364307e-14,1,3,0,0.3916,0.47601741421531846,0.0002513397290968241,0.7459827328277633,1.2631168331820302,0.5155048807809511,0.001628057027289836,1.1625460259153911e-06,288423.74104038917,0.00021741022566613782,2.996131398125797,2.973546803956153,0.4761270001932414,10.309837067113385,0.9999996400360905,1.9,0.15676567656765675,0.8,-24.9673874768015,6.752158396529595,0.0036447414688250295,0.0003666641735283332
4.4,66.006600660066,-24.966908870076395,-24.957541593289108,-24.97181632853207,-24.95308213089939,5.343978757476887e-08,5.343978757476887e-08,2.8686883036433018e-08,1.270258796642949e-07,0.005818232983075607,0.3916,171.75624999999985,cCL,2.7583418548104466e-05,0.0014152466490244386,0.0013931999999999998,6.435931632474673e-10,2.3824348695352802e-05,0.0013914210866851988,5.700507233953827e-10,5.536769523669683e-06,3.967502324939143e-18,217.9853387802391,-13.84334262316081,5.7136336229636076,198.42836254624117,1.2126502468845501e-08,3.3027881644887014e-12,-3.564542324502318e-14,1,3,0,0.3916,0.47601741421531846,0.0002513397290968241,0.7437081047714076,1.2631151027249727,0.5176921217647424,0.001713652395896114,1.223792926600809e-06,288413.42183525825,0.0002288610572977043,2.9961694373066297,2.973635723282677,0.4761638024651906,10.309675743719422,0.9999996063529769,2.0,0.165016501650165,0.8,-24.9660957798237,7.036486903574057,0.0032567777511778397,0.00032761602943183417
4.6,66.006600660066,-24.96550328613671,-24.956050398982853,-24.970513076455916,-24.95153606852827,5.835858621247819e-08,5.835858621247819e-08,3.0156786195587585e-08,1.3871781842756877e-07,0.006057079503053884,0.3916,171.75624999999985,cCL,2.8814821161859114e-05,0.0014162263396117027,0.0013931999999999998,6.436150586872342e-10,2.477292374175276e-05,0.001391452154003886,6.182510050818912e-10,5.788481550160962e-06,4.749313735254862e-18,227.70533284948687,-14.472606664513624,6.241344213358084,206.99138198432397,1.2708807339834038e-08,3.4501997613067825e-12,-3.773955974117893e-14,1,3,0,0.3916,0.47601741421531846,0.0002513397290968241,0.7437123046706884,1.2631137298431403,0.5176866479045267,0.0017135534329363025,1.2238349889188833e-06,288405.3229300067,0.00022886748410009473,2.9962363350643537,2.973580329508155,0.4761678517897316,10.309617030909259,0.9999995714046819,2.0,0.165016501650165,0.801,-24.9647695179154,7.152021888802953,0.0029392148835283003,0.0002956534600724652
4.8,66.006600660066,-24.964105865478473,-24.954634401403666,-24.969207921048252,-24.950111439270245,6.347119400258233e-08,6.347119400258233e-08,3.1649568459899335e-08,1.5087043974942315e-07,0.006287806199913368,0.3916,171.75624999999985,cCL,3.0046223775613762e-05,0.0014172060230927958,0.0013931999999999998,6.436401254914114e-10,2.570699191076493e-05,0.00139149771931104,6.682308653408349e-10,6.040200682822485e-06,4.655293078109635e-18,237.42527527074958,-15.101887885553053,6.791407145754845,215.5319802493014,9.859715710547334e-09,3.6012070062096946e-12,-4.028992851151658e-14,1,3,0,0.3916,0.47601741421531846,0.0002513397290968241,0.7437161773222356,1.263112466087453,0.5176816277592062,0.001713437130484185,1.223875527088196e-06,288397.4335229706,0.0002288737450044216,2.99633445157416,2.973574885115971,0.4761808193273521,10.309562557823922,0.9999995352143651,2.0,0.165016501650165,0.8,-24.9634469494401,7.035477834720555,0.0026395234588653203,0.00026549223971761196
5.0,66.006600660066,-24.962712168806945,-24.953223124047156,-24.96790207594097,-24.94869203884562,6.877038351187446e-08,6.877038351187446e-08,3.316821968561823e-08,1.6346656408812565e-07,0.006509328129691016,0.3916,171.75624999999985,cCL,3.127762638936844e-05,0.0014181856966729212,0.0013931999999999998,6.436729708882215e-10,2.6626014692708942e-05,0.001391558318329852,7.199773892194755e-10,6.29192971645188e-06,4.769642525988965e-18,247.14516651791823,-15.731193289099654,7.3637672336209095,224.05020601134908,1.6151411763587475e-08,3.806414818757764e-12,-4.2576294052854013e-14,1,3,0,0.3916,0.47601741421531846,0.0002513397290968241,0.7437200576686828,1.2631112071810229,0.5176766270828572,0.0017132985144659636,1.2239150168799991e-06,288389.78521069617,0.00022887981490690422,2.996464940417425,2.973595151986519,0.476198964397638,10.309508066280086,0.9999994978214508,2.0,0.165016501650165,0.8,-24.9621280589219,7.03499279141466,0.0023399843301340102,0.00023534989058024162
5.2,72.6072607260726,-24.961176486338616,-24.9507937612959,-24.966541668328603,-24.94583525098733,7.425194674817098e-08,7.425194674817098e-08,3.473184880340254e-08,1.7649618908526498e-07,0.006733799317769663,0.3916,171.75624999999985,cCL,3.257059913381083e-05,0.0014192269274637477,0.0013931999999999998,6.437795332832205e-10,2.758986415054393e-05,0.0013916356459903216,7.735433489918631e-10,6.54367167006762e-06,4.693409560736078e-18,257.3813331680739,-16.3605305699408,7.95872479986732,233.0620778136983,1.5432491728972764e-08,3.956240283292667e-12,-4.409114132825076e-14,1,3,0,0.3916,0.47601741421531846,0.0002513397290968241,0.7394792922072816,1.263108663387587,0.521743625003544,0.0018843997821255303,1.3463946359076384e-06,288377.4862163679,0.00025177853402743027,2.9966314513142156,2.9731557181956503,0.47613676139422645,10.309225601473551,0.9999994592358631,2.2,0.1815181518151815,0.801,-24.9607362991643,7.680487864259482,0.001763518387600618,0.0001773594746817335
