t_s,x_um,dx_um,layer,T_C,lambda_unfrozen,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk,gas_porosity
18.6,161.89999999999992,1.0,PEM,-10.880555748157974,4.222325188969164,0.0,163.40398481310663,0.0011395749509758644,1.2386684249737657e-06,0.0
18.6,162.89999999999992,1.0,PEM,-10.880518284853451,4.348404203805122,0.0,168.2832426872582,0.0013370691055530055,1.453335984296745e-06,0.0
18.6,163.89999999999992,1.0,PEM,-10.880494772159182,4.482073061860918,0.0,173.4562274940175,0.00154716460089929,1.6817006531514021e-06,0.0
18.6,164.89999999999992,1.0,PEM,-10.880485209044593,4.64213252558151,0.0,179.65052874000443,0.0018002611920547907,1.956805643537816e-06,0.0
18.6,166.1062499999999,1.4125,cCL,-10.880477081370088,0.0,1.4786097220238984e-05,21.341961282558948,0.0008254285294006179,8.972049232615411e-07,0.39914156614602736
18.6,167.5187499999999,1.4125,cCL,-10.880505794129874,0.0,1.4664250542981378e-05,21.878899120916323,0.0009400913474358096,1.02183842112588e-06,0.39859908005964323
18.6,168.9312499999999,1.4125,cCL,-10.880573975356299,0.0,1.4561876927894012e-05,21.88879682706624,0.0009618471677645909,1.0454860519180337e-06,0.3985890587290327
18.6,170.34374999999986,1.4125,cCL,-10.880681651768157,0.0,1.4460114137018632e-05,21.87805140672367,0.000969850183417961,1.0541849819760446e-06,0.39859990399004464
18.6,171.75624999999985,1.4125,cCL,-10.880828833562816,0.0,1.4358956953649556e-05,21.846577897800138,0.0009702875184318312,1.0546603461215558e-06,0.39863169493783557
18.6,173.16874999999985,1.4125,cCL,-10.881015539431473,0.0,1.4258406281719262e-05,21.79412575579865,0.0009645113120928016,1.0483818609704366e-06,0.39868468317793837
18.6,174.58124999999984,1.4125,cCL,-10.88124179679562,0.0,1.4158469162813544e-05,21.720270849386363,0.0009520511628205164,1.034838220457083e-06,0.3987592976371469
18.6,175.9937499999998,1.4125,cCL,-10.881507642179315,0.0,1.4059159129495668e-05,21.624401560462182,0.0009302138392933044,1.0111019992318525e-06,0.39885615903894805
18.6,181.38749999999982,9.375,cGDL,-10.883548356339531,0.0,2.7101260674717103e-05,21.076003490238797,0.0006753060509598465,7.340283162607027e-07,0.7787103735573012
18.6,190.76249999999982,9.375,cGDL,-10.890602198903196,0.0,2.663932156733108e-05,19.807626865858786,0.00047370545229396,5.148972307543043e-07,0.7799917811978614
18.6,200.13749999999982,9.375,cGDL,-10.901009520968387,0.0,2.617073735801182e-05,18.346796942768044,0.0003316869052464415,3.605292448330886e-07,0.7814675213467471
18.6,209.51249999999982,9.375,cGDL,-10.914851574026613,0.0,2.5698199632914332e-05,16.60251631665827,0.00022311855361985627,2.425201669781046e-07,0.7832295389781581
18.6,218.88749999999982,9.375,cGDL,-10.93224458313665,0.0,2.5227354032043154e-05,14.387180998376424,0.0001336245923259338,1.4524412209340629e-07,0.7854673486969119
18.6,228.26249999999982,9.375,cGDL,-10.953387667001493,0.0,2.4774153095271968e-05,11.177999049616828,5.900115470970489e-05,6.413168990185315e-08,0.7887090277373842
18.6,237.63749999999982,9.375,cGDL,-10.9788089129014,0.0,2.4410956721661016e-05,4.612091775230448,9.355010487478605e-06,1.0168489660302831e-08,0.7953413112706716
