t_s,x_um,dx_um,layer,T_C,lambda_unfrozen,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk,gas_porosity
0.2,42.187499999999254,9.375,aGDL,-19.993956063610568,0.0,4.691698800840461e-07,0.0,0.0,0.0,0.8
0.2,51.56249999999909,9.375,aGDL,-19.993128121801874,0.0,5.73428287840887e-07,0.0,0.0,0.0,0.8
0.2,60.93749999999893,9.375,aGDL,-19.992359273390576,0.0,6.776861957140614e-07,0.0,0.0,0.0,0.8
0.2,70.31249999999876,9.375,aGDL,-19.99164951824693,0.0,7.819436389782044e-07,0.0,0.0,0.0,0.8
0.2,79.6874999999986,9.375,aGDL,-19.9909988562423,0.0,8.862006529069494e-07,0.0,0.0,0.0,0.8
0.2,89.06249999999844,9.375,aGDL,-19.990407287249525,0.0,9.904572727729964e-07,0.0,0.0,0.0,0.8
0.2,98.43749999999827,9.375,aGDL,-19.989874811142585,0.0,1.0947135338481796e-06,0.0,0.0,0.0,0.8
0.2,107.8124999999981,9.375,aGDL,-19.989401427797418,0.0,1.1989694714035352e-06,0.0,0.0,0.0,0.8
0.2,117.18749999999794,9.375,aGDL,-19.98898713709167,0.0,1.3032251207093695e-06,0.0,0.0,0.0,0.8
0.2,126.56249999999777,9.375,aGDL,-19.988631938904973,0.0,1.4074805170353268e-06,0.0,0.0,0.0,0.8
0.2,135.9374999999976,9.375,aGDL,-19.988335833119095,0.0,1.5117356956504595e-06,0.0,0.0,0.0,0.8
0.2,145.31249999999744,9.375,aGDL,-19.98809881961813,0.0,1.615990691823295e-06,0.0,0.0,0.0,0.8
0.2,150.28333333333075,0.5666666666666668,aCL,-19.988005139077558,0.0,8.210472912574596e-07,0.0,0.0,0.0,0.3916
0.2,150.84999999999752,0.5666666666666668,aCL,-19.987995880512074,0.0,8.300542107175494e-07,0.0,0.0,0.0,0.3916
0.2,151.4166666666643,0.5666666666666668,aCL,-19.98798680313206,0.0,8.390611296374988e-07,0.0,0.0,0.0,0.3916
0.2,151.98333333333105,0.5666666666666668,aCL,-19.987977906937004,0.0,8.48068048026399e-07,0.0,0.0,0.0,0.3916
0.2,152.54999999999782,0.5666666666666668,aCL,-19.98796919192634,0.0,8.570749658933411e-07,0.0,0.0,0.0,0.3916
0.2,153.1166666666646,0.5666666666666668,aCL,-19.987960658099496,0.0,8.660818832474168e-07,0.0,0.0,0.0,0.3916
0.2,153.89999999999804,1.0,PEM,-19.98794970313085,2.9918012718966964,0.0,115.78270922240213,0.0,0.0,0.0
0.2,154.8999999999982,1.0,PEM,-19.987929554891053,2.9944887083692486,0.0,115.8867130138899,0.0,0.0,0.0
0.2,155.8999999999983,1.0,PEM,-19.987909860408706,2.996366375754598,0.0,115.95937874170293,0.0,0.0,0.0
0.2,156.89999999999844,1.0,PEM,-19.987890619674687,2.997746426785163,0.0,116.0127867165858,0.0,0.0,0.0
0.2,157.89999999999858,1.0,PEM,-19.98787183268672,2.9987494530299084,0.0,116.05160383225744,0.0,0.0,0.0
0.2,158.8999999999987,1.0,PEM,-19.987853499448363,2.999507459107123,0.0,116.08093866744565,0.0,0.0,0.0
0.2,159.89999999999884,1.0,PEM,-19.987835619972003,3.0001532152746946,0.0,116.10592943113068,4.074877917665585e-05,4.429215127897375e-08,0.0
0.2,160.89999999999898,1.0,PEM,-19.9878181948867,3.000815644807241,0.0,116.13156545404023,0.00019582228720622702,2.1285031218068155e-07,0.0
0.2,161.89999999999912,1.0,PEM,-19.987801226830783,3.0016197766369905,0.0,116.16268535585152,0.00041354504612179857,4.4950548491499843e-07,0.0
0.2,162.89999999999924,1.0,PEM,-19.9877847190034,3.0026834415321293,0.0,116.20384918729339,0.0007556593428471847,8.213688509208529e-07,0.0
0.2,163.89999999999938,1.0,PEM,-19.987768675638023,3.004113358077922,0.0,116.25918695761557,0.0013040040299101914,1.4173956846849907e-06,0.0
0.2,164.89999999999952,1.0,PEM,-19.987753102417997,3.0058800790788482,0.0,116.32755906035142,0.0020821994070423086,2.2632602250459876e-06,0.0
0.2,166.1062499999995,1.4125,cCL,-19.98771927698195,0.0,8.85518862618827e-06,0.07840043753257427,0.0006527284842398081,7.094874828693566e-07,0.42062009815137313
0.2,167.51874999999936,1.4125,cCL,-19.987674671715638,0.0,8.787049976443632e-06,0.09820305802108018,0.0007652978053855269,8.318454406364422e-07,0.42059997314645725
0.2,168.9312499999992,1.4125,cCL,-19.987631663618345,0.0,8.71926240485886e-06,0.09820309217037501,0.0007652961231410394,8.318436121098255e-07,0.4205999731137916
0.2,170.34374999999906,1.4125,cCL,-19.98759025110175,0.0,8.65140467635634e-06,0.0982030799466266,0.0007652943663143897,8.318417025156409e-07,0.42059997312804837
0.2,171.75624999999891,1.4125,cCL,-19.98755043425399,0.0,8.583476778364887e-06,0.0982030676666014,0.0007652926602576074,8.318398481060949e-07,0.42059997314230685
0.2,173.16874999999877,1.4125,cCL,-19.987512213167378,0.0,8.515478699281751e-06,0.09820305533038035,0.0007652910049684218,8.318380488787194e-07,0.4205999731565669
0.2,174.58124999999862,1.4125,cCL,-19.987475587938178,0.0,8.447410427498291e-06,0.09820304293781885,0.0007652894004465492,8.318363048332057e-07,0.4205999731708287
0.2,175.99374999999847,1.4125,cCL,-19.98744055866692,0.0,8.379271952397483e-06,0.09820298136488192,0.0007652876992160021,8.318344556695674e-07,0.42059997323487275
0.2,181.3874999999983,9.375,cGDL,-19.987202663292948,0.0,5.154796622360876e-06,0.0,0.0,0.0,0.8
0.2,190.76249999999814,9.375,cGDL,-19.98690527072452,0.0,4.8203759725519505e-06,0.0,0.0,0.0,0.8
0.2,200.13749999999797,9.375,cGDL,-19.986752847254223,0.0,4.487942513615818e-06,0.0,0.0,0.0,0.8
0.2,209.5124999999978,9.375,cGDL,-19.986745396582876,0.0,4.155509354726261e-06,0.0,0.0,0.0,0.8
0.2,218.88749999999763,9.375,cGDL,-19.986882922425764,0.0,3.8230762000864185e-06,0.0,0.0,0.0,0.8
0.2,228.2624999999975,9.375,cGDL,-19.987165428511503,0.0,3.4906427538872446e-06,0.0,0.0,0.0,0.8
0.2,237.63749999999732,9.375,cGDL,-19.987592918581015,0.0,3.1582087203063256e-06,0.0,0.0,0.0,0.8
