model,condition,parameter,multiplier,kind,t_s,V_model_V,T_model_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,water_ice_kg_m2,model_valid,ever_invalid
bp,minus20,all_phase_rates,10.0,common_phase_timescale,1.8,0.7696442318487029,-19.986082495067677,0.0005959470938849834,0.00046499597279914907,0.0005959470938849834,5.954141187560308e-06,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,2.0,0.7626606417257216,-19.984545197305863,0.0006666009603025456,0.0005529245231146253,0.0006666009603025456,6.948066786147827e-06,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,2.2,0.7695923617493099,-19.983150986417456,0.0007358973050917621,0.0006450047143470532,0.0007358973050917621,7.972962248705986e-06,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,2.4,0.7695634621388064,-19.981830897076463,0.0007996372943658192,0.0007394002172639053,0.0007996372943658192,9.002372955913863e-06,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,2.6,0.7695352325292649,-19.98049821843358,0.0008592270339385683,0.0008354749599558418,0.0008592270339385683,1.0032248361052129e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,2.8,0.769506561362894,-19.979168863137915,0.0009330018256884918,0.0009330018256884918,0.0009156910384704914,1.1063832164817943e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,3.0,0.7694774941042587,-19.97784289025614,0.0010317848230669796,0.0010317848230669796,0.0009696239792073439,1.2097407746241213e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,3.2,0.769448078529979,-19.976520301335427,0.0011316544323656883,0.0011316544323656883,0.0010214043172637854,1.3132813611982442e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,3.4,0.769418359293806,-19.9752010108796,0.001232464021909568,0.001232464021909568,0.001071276366821889,1.4170775802861678e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,3.6,0.7693883702710883,-19.97388506531567,0.0013340867598380503,0.0013340867598380503,0.0011193872502809306,1.521107703102362e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,3.8,0.762400622457091,-19.972360768015562,0.0014369076658228691,0.0014369076658228691,0.0011676426460955447,1.6261121001787785e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,4.0,0.7693288079456534,-19.970996072701638,0.0015418684008290987,0.0015418684008290987,0.0012175913986447438,1.7334716715341088e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,4.2,0.7692962862675526,-19.96970584798558,0.0016474069982302267,0.0016474069982302267,0.00126396900949094,1.8405532207212434e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,4.4,0.7692648945577366,-19.968403265536125,0.0017531215756899923,0.0017531215756899923,0.0013075575105517413,1.9470037998012046e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,4.6,0.7622757007851547,-19.966892479724834,0.001859482434205121,0.001859482434205121,0.0013507949613602596,2.0537832837940573e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,4.8,0.7692030802631128,-19.965541488110745,0.0019675053284656514,0.0019675053284656514,0.0013955035743312156,2.1624199776786055e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,5.0,0.7622117689404402,-19.9640533551013,0.002076187827610585,0.002076187827610585,0.0014383864868660506,2.271197850841076e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,5.2,0.7621806157247561,-19.96249692052814,0.002186713822153067,0.002186713822153067,0.001483591377074737,2.3820954730836285e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,5.4,0.7621476157326232,-19.960959760698245,0.0022991589016649293,0.0022991589016649293,0.0015297519839143996,2.494999056630816e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,5.6,0.7621140352756939,-19.959425992650438,0.0024132648236140754,0.0024132648236140754,0.00157592266889638,2.609412522558439e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,5.8,0.7690380879155188,-19.958107980030178,0.002528313780710118,0.002528313780710118,0.0016197958607971482,2.7241759045849258e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,6.0,0.7690025588428031,-19.956848957632218,0.0026425822535779396,0.0026425822535779396,0.0016578173428306823,2.8367940670972378e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,6.2,0.7771560519931865,-19.955787978244587,0.0027553564091808303,0.0027553564091808303,0.001690060902722323,2.9468258024191527e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,6.4,0.745716431612099,-19.953722783876458,0.0028677102965563896,0.0028677102965563896,0.001723440980135324,3.056464487464506e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,6.6,0.726837281058597,-19.950258874497706,0.0029898190805174945,0.0029898190805174945,0.0017861241277413583,3.180977780356898e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,6.8,0.7130941717135775,-19.94546008626432,0.0031324125857134645,0.0031324125857134645,0.0018950558621013865,3.3354845422203496e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,7.0,0.7021603378555576,-19.93930322696113,0.0033047531951265756,0.0033047531951265756,0.002059637334420645,3.532456739808075e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,7.2,0.6897183798276515,-19.931304426493,0.003515805148898078,0.003515805148898078,0.0022885659929235847,3.782666963115478e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,7.4,0.6807712382833926,-19.921544057707052,0.0037759629617889726,0.0037759629617889726,0.0025929041704374645,4.099207614969887e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,7.6,0.6779941674217572,-19.911055741724567,0.004091322062352425,0.004091322062352425,0.0029679325318397085,4.487546486488207e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,7.8,0.6704074765874601,-19.899113792129384,0.00446241036619677,0.00446241036619677,0.0034020181320979143,4.944026370090093e-05,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,8.0,0.6657328607063463,-19.88586542093526,0.004893435437192163,0.004893435437192163,0.0039009747623799836,5.4730584340586944e-05,1,0
