model,condition,kf_s_inv,j0_reoptimized_A_m2,training_objective,mean_squared_relative_objective,V_RMSE,T_RMSE,ice_at35_bulk,ice_pore_at35,ice_mem_at35,water_ice_at35_kg_m2,valid_samples,ever_invalid
main,minus20,10.0,216.82482526678484,0.791668720908127,0.791668720908127,0.35104565655556164,10.23116776532629,0.10613932127242727,0.07358544626069423,0.10613932127242727,0.0022220625779994594,176,0
main,minus25,10.0,216.82482526678484,0.791668720908127,0.6399601326656417,0.3294069425298023,11.538077973683277,0.17911294300457745,0.12350301148834592,0.17911294300457745,0.0035194585352318806,176,0
bp,minus20,0.0001,0.08433788977053681,0.008933351647734067,0.008933351647734067,0.05471018880664557,0.08096099249902015,1.3437585204267197e-05,3.7651156764453397e-06,1.3437585204267197e-05,3.387386120424492e-07,176,0
bp,minus25,0.0001,0.08433788977053681,0.008933351647734067,0.008165702140449609,0.05415397353501911,0.15351079989140265,1.940621809261963e-05,5.031375495298224e-06,1.940621809261963e-05,4.646121573030071e-07,176,0
bp,minus20,0.001,0.08435429269994763,0.008934947783645765,0.008934947783645765,0.05471461582685585,0.08099121733242211,0.00013432590705050803,3.766176876583767e-05,0.00013432590705050803,3.388439085533423e-06,176,0
bp,minus25,0.001,0.08435429269994763,0.008934947783645765,0.008167870414326671,0.05416022810458265,0.15361471808980562,0.00019397007464640745,5.031521885543565e-05,0.00019397007464640745,4.6451348966477915e-06,176,0
bp,minus20,0.01,0.08451829320074407,0.008950909061737629,0.008950909061737629,0.054758879626829064,0.08129494855226213,0.0013382832008958163,0.00037616021216268364,0.0013382832008958163,3.373904561971779e-05,176,0
bp,minus25,0.01,0.08451829320074407,0.008950909061737629,0.008189555047725757,0.05422276193713512,0.1546493244819241,0.001930534472662709,0.0005023319967678633,0.001930534472662709,4.6187969995112197e-05,176,0
bp,minus20,0.03,0.08488254555830216,0.008986377013638143,0.008986377013638143,0.05485720017738484,0.08197888707149054,0.003982037865732363,0.001125356509377616,0.003982037865732363,0.00010024267984022062,176,0
bp,minus25,0.03,0.08488254555830216,0.008986377013638143,0.008237753226393281,0.05436164155286867,0.15691916366167485,0.005731351016310157,0.0015015249409085455,0.005731351016310157,0.00013682307008147063,176,0
bp,minus20,0.1,0.08615524736321406,0.009110461968508402,0.009110461968508402,0.05520075106920009,0.08445302395446555,0.012903337787005678,0.003715561802962825,0.012903337787005678,0.0003231617248168083,176,0
bp,minus25,0.1,0.08615524736321406,0.009110461968508402,0.008406472450548525,0.054846539241750786,0.16455556566420432,0.01843139430508984,0.004943254432051493,0.01843139430508984,0.0004366679993667368,176,0
bp,minus20,0.3,0.08977076958724152,0.009463714948643011,0.009463714948643011,0.05617516711436626,0.0918702650844807,0.03583705713934771,0.010861498788783078,0.03583705713934771,0.0008846071656381691,176,0
bp,minus25,0.3,0.08977076958724152,0.009463714948643011,0.008886813575654885,0.056215888268673526,0.18397133464666127,0.050212357499795655,0.014345201248698786,0.050212357499795655,0.0011643213323189886,176,0
bp,minus20,1.0,0.10212803416570711,0.010662207317420137,0.010662207317420137,0.05943736369374407,0.11589989755021417,0.09480173612055187,0.033505948699135715,0.09480173612055187,0.0022264831839934455,176,0
