case,stage,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case3,DE_seed20260926,0.835374829602,2.27614179101,102.233063457,0.479433509451,0.0429681931907,1.58222600988,2,0.6,0.8,0.1,0.7,0.02,0.268807768925,1,92.6347900867,94.6347900867,94.6347900867,1783.77775809,2130.62540986,10.1924343883,363.649782982,3560.94581936,5.28643795406e-12,7.61923076714e-18,0.571241248134,0.257360523084,7.37834984753,0.476545942237,7.40027795641,-10.100148294,0.298588824927,0.0122746210923,0.510362262906,0,9.99791804901e-10,0.563574404739,18.790437026,0.476545942237,0.592562360901,0.256933954048,0,1727.95140806,7.61923076714e-18,True
case3,DE_seed20260926,0.890033733661,0.970307209629,81.6063443924,0.135825107174,0.00401266915942,0.862627067602,2,0.6,0.8,0.1,0.7,0.02,0.0230135160843,1,78.1788712025,80.1788712025,80.1788712025,1912.61337235,1641.89595021,7.08092723084,309.009482058,3252.58076773,1.28466126625e-11,2.76037873115e-18,0.582523538131,0.180465909338,7.03601675025,0.2957006929,7.33171744315,-11.6294804203,0.323898920663,0.0116617685746,0.510362262906,0,9.97681937065e-10,0.66091684651,14.4536613607,0.2957006929,0.599241923424,0.180206216439,0,1853.42215204,3.04335549817e-18,True
case3,DE_seed20260926,0.979130168146,1.65163540225,23.158202646,0.591279594487,0.0476681652572,1.87798378489,2,0.6,0.8,0.1,0.7,0.02,0.205141960702,1,32.7007284164,34.7007284164,34.7007284164,2135.72585431,305.558614585,-0.925594929003,152.94389121,2287.41498276,-2.27373675443e-12,5.16351284646e-20,0.646611166556,0.0140416577261,4.54563290126,0.065857859121,3.79094984953,-16.1197182775,0.391467666933,0.00591819800994,0.510362262906,0,7.4858363952e-10,1,2.67334409741,0.065857859121,0.646611166556,0.0140378796307,0,2048.89977213,8.10102310754e-20,True
case3,DE_seed20260926,10.7277027235,1.31663717566,106.888101432,0.347011170176,0.0328310377089,0.196890534287,2,0.6,0.8,0.1,0.7,0.02,0.264416069105,1,-1,-1,96.6666666667,1536.01708415,2208.21750843,13.8682625438,358.012503268,3400.09035186,-5.91171556152e-12,5.11580795087e-18,0.566286392293,0.302410945794,7.65180542951,-0.911870402075,6.13633073225,-10.5997394025,0.292277012746,0.0124276504885,0.509810191977,0,9.97764537658e-10,0.479555025214,-1,-22.0958071689,1.26054452142,0,0,0,5.15917603777e-18,False
case3,DE_seed20260926,10.6013731038,0.851461614458,121.963784239,0.0770817862036,0.0594498121332,0.300012833407,2,0.6,0.8,0.1,0.7,0.02,0.199894522673,1,-1,-1,96.6666666667,1038.60502467,2227.21538011,21.0314330814,329.079742073,2957.77209579,1.94404492504e-11,8.49472402142e-19,0.558298465282,0.366932015634,8.10138353319,-3.89629967956,3.43541004978,-12.1638732846,0.285475367553,0.0125655051036,0.508655304225,0,9.98113591777e-10,0.319016684202,-1,-22.0958071689,1.26054452142,0,0,0,3.23444613107e-18,False
case3,DE_seed20260926,0.970314748281,3.50203057839,20.3200680552,0.191048398344,0.0381651581394,1.30703696167,2,0.6,0.8,0.1,0.7,0.02,0.0563890770079,1,28.9589495897,30.9589495897,30.9589495897,2118.02988472,240.512692476,-0.971297419839,137.860646312,2219.71063346,-4.54747350886e-12,9.91367361466e-20,0.654492171472,0.00989272387213,6.49419538792,0.516129982918,4.77053674513,-16.6147262807,0.3916,0.00524346305713,0.510362262906,0,7.38969774261e-10,1,2.09655190335,0.516129982918,0.654492171472,0.00987477497413,0,2017.99115102,1.28749007983e-19,True
case3,DE_seed20260926,0.979383242923,0.506399166945,57.6842143276,0.271473527217,0.0070459090741,0.586890514938,2,0.6,0.8,0.1,0.7,0.02,0.311487805674,1,56.3321647167,62.4,62.4,2119.83216403,1042.32909682,2.87686579108,250.347897881,2914.69022875,-9.09494701773e-12,-1.69677639994e-19,0.605996481143,0.0865126083748,6.48854053912,0.0120631731511,6.50060371227,-13.2252750942,0.356450924801,0.0109841338367,0.510362262906,0,9.98074511926e-10,0.922438570981,7.93328195418,0.0120631731511,0.60690663074,0.0864707984122,0,1927.81539367,1.69677639994e-19,True
case3,DE_seed20260926,10.6049721445,2.54346284864,130.361954831,0.518481717021,0.0662837958814,0.495337489068,2,0.6,0.8,0.1,0.7,0.02,0.0744341211825,1,-1,-1,96.6666666667,1052.65435196,2226.65370658,20.8200407293,329.883867419,2970.24423185,1.47224454849e-11,6.304635633e-19,0.55852673033,0.365271162055,8.08889545714,-3.81293133202,3.51097661558,-12.1195745087,0.285684781154,0.0125614548965,0.508486832497,0,9.99451188477e-10,0.32366259569,-1,-22.0958071689,1.26054452142,0,0,0,2.81919669901e-18,False
case3,DE_seed20260926,10.3971054552,1.41470430705,184.167885151,0.0816479024403,0.06937961421,1.80668490196,2,0.6,0.8,0.1,0.7,0.02,0.0115832680887,1,-1,-1,96.6666666667,228.717931087,2259.29744421,32.9863595607,281.31817357,2239.68356129,3.86535248253e-12,2.0648630375e-18,0.536402436289,0.451392826491,8.60489504819,-8.79822517081,-0.712461861385,-14.7233860729,0.271460907606,0.0128238771902,0.50565951616,0,9.97371074618e-10,0.129738755637,-1,-22.0958071689,1.26054452142,0,0,0,2.07407875596e-18,False
case3,DE_seed20260926,10.6354703314,2.642554223,125.994382767,0.567507433302,0.0223789930835,1.51461830038,2,0.6,0.8,0.1,0.7,0.02,0.218822854233,1,-1,-1,96.6666666667,1171.8403994,2222.08796019,19.0604472331,336.776847546,3076.21195928,5.68434188608e-14,8.2236734783e-19,0.56043989999,0.350850791283,7.9806603586,-3.10466705593,4.15418734072,-11.7433921453,0.287410583447,0.0125275690073,0.508862850497,0,9.9791244712e-10,0.362674116204,-1,-22.0958071689,1.26054452142,0,0,0,3.07669471497e-18,False
case3,DE_seed20260926,0.982067978547,0.619416756015,72.3228430598,0.355857901341,0.0610074718977,1.22572724739,2,0.6,0.8,0.1,0.7,0.02,0.369500894046,1,70.2926308155,79.7,79.7,2115.26828504,1616.73767015,4.04281949682,323.335739803,3412.71303488,-7.04858393874e-12,2.92463536028e-18,0.590340087784,0.143472661106,8.59980013964,0.044031275148,8.64383141479,-10.9138062779,0.328253227968,0.011623949317,0.510362262906,0,9.95962423644e-10,0.804343078801,12.0877892447,0.044031275148,0.603867858317,0.143356706613,0,1896.99560617,3.86111498676e-18,True
case3,DE_seed20260926,0.879345707652,3.74478582242,95.8974308403,0.446188675666,0.0659531748688,0.717536360381,2,0.6,0.8,0.1,0.7,0.02,0.13556115875,1,81.9416682959,83.9416682959,83.9416682959,1886.91413798,1768.80486125,7.84827827574,323.112000598,3340.45527691,5.68434188608e-14,2.06052622881e-18,0.579131122755,0.199891771422,6.95055174566,0.538904375638,7.3991078287,-11.2218677434,0.317296548549,0.0118096240613,0.510362262906,0,9.94260673792e-10,0.64298400688,15.5825004888,0.538904375638,0.598087810633,0.199517142471,0,1823.24296111,3.10352871874e-18,True
case3,DE_seed20260926,0.931358038434,3.67450735113,62.0297793129,0.499670495666,0.0242327249863,0.103706363732,2,0.6,0.8,0.1,0.7,0.02,0.387442624234,1,53.1194833755,55.1194833755,55.1194833755,2019.06659784,810.143793834,3.06736344556,213.903246164,2618.37450895,1.15676357382e-11,-9.48676900925e-22,0.613627750894,0.07534201871,2.88326041757,0.830379988373,3.71364040594,-14.5518670235,0.364347335523,0.009855599931,0.510362262906,0,9.93864546217e-10,0.996970396614,7.05419878521,0.830379988373,0.613897320247,0.0751246432659,0,1920.00889975,1.28071381625e-19,True
case3,DE_seed20260926,0.920163881972,1.75745702867,69.8877326256,0.290391665846,0.0530703358051,1.95772708283,2,0.6,0.8,0.1,0.7,0.02,0.0354753641278,1,64.6834511518,66.6834511518,66.6834511518,1987.01717372,1189.30900938,4.83572833963,257.653019256,2923.50889218,-8.29913915368e-12,2.44487589895e-19,0.597117137372,0.119002928372,6.00811707982,0.267637537502,6.27575461732,-13.1883898605,0.347031824104,0.0111442088631,0.510362262906,0,9.96395854713e-10,0.790314462883,10.4050353456,0.267637537502,0.603900847587,0.118876310432,0,1919.11285117,3.13876528935e-19,True
case3,DE_seed20260926,10.4306382981,2.15435622943,165.715320366,0.308452488073,0.0175291627593,1.01131287747,2,0.6,0.8,0.1,0.7,0.02,0.0828853643006,1,-1,-1,96.6666666667,365.136414715,2252.73629902,31.266916226,290.84064534,2358.29898462,3.01270119962e-12,2.66334263671e-18,0.541345895318,0.43864546017,8.6765324913,-7.94630984251,-0.157357630146,-14.2927564553,0.274484456948,0.0127732201658,0.506611102179,0,9.97074423026e-10,0.158758145862,-1,-22.0958071689,1.26054452142,0,0,0,2.67581096169e-18,False
case3,DE_seed20260926,0.964133584653,3.00046211114,44.6344918004,0.0529766096302,0.0634746224351,1.44772970916,2,0.6,0.8,0.1,0.7,0.02,0.234418085737,1,43.229370594,45.229370594,45.229370594,2097.0272876,534.811151884,0.680862983063,183.305028465,2449.214274,-8.92441676115e-12,5.50232602536e-20,0.629569633082,0.0395338795165,2.6792863298,0.682276259896,3.36156258969,-15.368555152,0.378232871425,0.00787579311533,0.510362262906,0,9.95637350343e-10,1,4.67194620489,0.682276259896,0.629569633082,0.0394358037811,0,1995.40399522,1.024571053e-19,True
case3,DE_seed20260926,0.835366439356,2.27614179101,102.233063457,0.479433509451,0.0429681931907,1.1089812392,2,0.6,0.8,0.1,0.7,0.02,0.347243145557,1,92.6348474503,94.6348474503,94.6348474503,1783.75924939,2130.6349467,10.1930166152,363.65015338,3560.93705932,-5.28643795406e-12,5.63459869041e-18,0.571240238794,0.257364220592,7.37832173298,0.476543061768,7.40028402397,-10.1001947589,0.298586852055,0.0122746371541,0.510362262906,0,9.99800686685e-10,0.563576523315,18.7904542351,0.476543061768,0.592561409833,0.256937649165,0,1727.93274737,5.63459869041e-18,True
case3,DE_seed20260926,10.4334117151,3.36006912983,172.631171362,0.307356266991,0.0391325080559,0.531937126992,2,0.6,0.8,0.1,0.7,0.02,0.17839929025,1,-1,-1,96.6666666667,379.336695778,2252.25607435,31.0895139806,291.603867699,2371.07841641,2.16004991671e-12,2.50071231084e-18,0.541898637126,0.437348366868,8.68289167682,-7.83611692598,-0.0824010114589,-14.2505439639,0.274720333503,0.0127681141183,0.506728366066,0,9.99635929588e-10,0.224648173583,-1,-22.0958071689,1.26054452142,0,0,0,2.51534904017e-18,False
case3,DE_seed20260926,0.925832192163,1.72286410595,69.6447952523,0.0407044817774,0.0215551971304,0.903800512854,2,0.6,0.8,0.1,0.7,0.02,0.148259436045,1,64.563539958,66.563539958,66.563539958,1999.66709544,1185.26148533,4.80495429376,257.300829295,2932.43270577,9.94759830064e-12,3.48299947911e-19,0.597291083011,0.118469891511,5.58990500858,0.679562665605,6.26946767418,-13.1943281432,0.34729283221,0.0111303595448,0.510362262906,0,9.95964200001e-10,0.806202600907,10.3690619874,0.679562665605,0.604911490562,0.118190011031,0,1919.81805605,3.67273485929e-19,True
case3,DE_seed20260926,10.734652872,2.93912781975,113.393930723,0.372275509914,0.0559667104671,1.15295990463,2,0.6,0.8,0.1,0.7,0.02,0.290598253133,1,-1,-1,96.6666666667,1563.82185443,2207.16631975,13.4769474658,359.639720534,3424.82540111,-7.61701812735e-12,6.1273685778e-18,0.566728591649,0.298397196158,7.62578093424,-0.741698166449,6.28926046653,-10.5129633592,0.292622877539,0.0124202257478,0.509863081545,0,9.99803850821e-10,0.488432640398,-1,-22.0958071689,1.26054452142,0,0,0,6.15447363211e-18,False
case3,DE_seed20260926,1.11882645779,0.819978584765,40.9991244652,0.573702286555,0.0298615422261,1.55618154481,2,0.6,0.8,0.1,0.7,0.02,0.286757460936,1,43.5936156988,57.1,57.1,2429.83241323,857.990948922,-0.766478487795,253.972464275,3033.08441939,1.10844666779e-11,-3.76760254939e-20,0.616260059333,0.040085230115,7.49195451481,0.0454709226302,7.53742543744,-12.722630171,0.371094658741,0.0102520300819,0.510362262906,0,9.99250904243e-10,1,4.75100832424,0.0454709226302,0.616260059333,0.0400482287625,0,1992.7474332,1.28206906896e-19,True
case3,DE_seed20260926,10.4076563939,2.07243186185,180.554819961,0.542439705388,0.0543676043747,0.383568163173,2,0.6,0.8,0.1,0.7,0.02,0.336735929261,1,-1,-1,96.6666666667,259.016742439,2257.4302951,32.5714223684,283.974807266,2265.04365264,-4.26325641456e-12,2.143467695e-18,0.537328523603,0.448352427591,8.62142118529,-8.70210998101,-0.611777126431,-14.6175687208,0.272300191114,0.0128134080271,0.506117790347,0,9.99002214286e-10,0.326113965978,-1,-22.0958071689,1.26054452142,0,0,0,2.143467695e-18,False
