cell,x_um,time_s,T_C,vapor_kg_m3,liquid_kg_m3,ice_kg_m3,ice_bulk
4,14.0625,79.0368783891,3.18400314805,3.88559379323e-07,0,0,0
4,23.4375,79.0368783891,3.18400314805,6.47598967945e-07,0,0,0
4,32.8125,79.0368783891,3.18400314805,9.06638560174e-07,0,0,0
4,42.1875,79.0368783891,3.18400314805,1.16567815745e-06,0,0,0
4,51.5625,79.0368783891,3.18400314805,1.42471776123e-06,0,0,0
4,60.9375,79.0368783891,3.18400314805,1.68375737294e-06,0,0,0
4,70.3125,79.0368783891,3.18400314805,1.94279699402e-06,0,0,0
4,79.6875,79.0368783891,3.18400314805,2.20183662592e-06,0,0,0
4,89.0625,79.0368783891,3.18400314805,2.46087627007e-06,0,0,0
4,98.4375,79.0368783891,3.18400314805,2.71991592791e-06,0,0,0
4,107.8125,79.0368783891,3.18400314805,2.97895560088e-06,0,0,0
4,117.1875,79.0368783891,3.18400314805,3.2379952904e-06,0,0,0
4,126.5625,79.0368783891,3.18400314805,3.49703499792e-06,0,0,0
4,135.9375,79.0368783891,3.18400314805,3.75607472485e-06,0,0,0
4,145.3125,79.0368783891,3.18400314805,4.01511447264e-06,0,0,0
4,150.283333333,79.0368783891,3.18400314805,2.03998816782e-06,0,0,0
4,150.85,79.0368783891,3.18400314805,2.06236746736e-06,0,0,0
4,151.416666667,79.0368783891,3.18400314805,2.08474676696e-06,0,0,0
4,151.983333333,79.0368783891,3.18400314805,2.10712606662e-06,0,0,0
4,152.55,79.0368783891,3.18400314805,2.12950536634e-06,0,0,0
4,153.116666667,79.0368783891,3.18400314805,2.15188466612e-06,0,0,0
4,153.9,79.0368783891,3.18400314805,0,321.648756919,0.00014834475577,1.6124429975e-07
4,154.9,79.0368783891,3.18400314805,0,330.893890996,0.000489543971806,5.32113012833e-07
4,155.9,79.0368783891,3.18400314805,0,340.470659877,0.00116393688696,1.26514879018e-06
4,156.9,79.0368783891,3.18400314805,0,350.415439399,0.00237163812239,2.57786752434e-06
4,157.9,79.0368783891,3.18400314805,0,360.737611111,0.00438008464897,4.76096157497e-06
4,158.9,79.0368783891,3.18400314805,0,371.444501304,0.00760254672448,8.263637744e-06
4,159.9,79.0368783891,3.18400314805,0,382.542271279,0.012868965484,1.39880059609e-05
4,160.9,79.0368783891,3.18400314805,0,394.0367258,0.0226278793416,2.45955210235e-05
4,161.9,79.0368783891,3.18400314805,0,405.935258976,0.0351959333423,3.82564492851e-05
4,162.9,79.0368783891,3.18400314805,0,418.252806523,0.0482815003683,5.24798917047e-05
4,163.9,79.0368783891,3.18400314805,0,431.030533191,0.0619060102704,6.72891415983e-05
4,164.9,79.0368783891,3.18400314805,0,444.904522279,0.0802761388227,8.72566726334e-05
4,166.10625,79.0368783891,3.18400314805,3.76946581728e-05,64.0525749434,0.0628396270064,6.83039423983e-05
4,167.51875,79.0368783891,3.18400314805,3.74191131952e-05,64.4357647563,0.119327620245,0.000129703935049
4,168.93125,79.0368783891,3.18400314805,3.71888354845e-05,64.436890359,0.130324245646,0.000141656788746
4,170.34375,79.0368783891,3.18400314805,3.69588334487e-05,64.4361856707,0.135036189536,0.000146778466887
4,171.75625,79.0368783891,3.18400314805,3.67287192953e-05,64.4336623851,0.136814062673,0.000148710937688
4,173.16875,79.0368783891,3.18400314805,3.64983978177e-05,64.4293306065,0.136453157609,0.000148318649575
4,174.58125,79.0368783891,3.18400314805,3.62678807171e-05,64.4231991048,0.133803103792,0.000145438156296
4,175.99375,79.0368783891,3.18400314805,3.6037315207e-05,64.4152753848,0.127488312305,0.000138574252506
4,181.3875,79.0368783891,3.18400314805,7.37267478867e-05,64.3748547303,0.0138522213105,1.5056762294e-05
