case,candidate,training_passed,training_count,all_training_passed,training_max_stop_s,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,10,6,6,True,84.5629495501,1,81.4305924714,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,79.8590607285,81.8590607285,81.8590607285,2942.13597958,1727.63027734,11.6075820671,255.241563505,4426.13227548,4.14388523495e-11,4.39969241595e-18,0.568011557576,0.240545486762,6.09810131445,0.524129062501,6.62223037695,-15.3489706226,0.30815153494,0.0118031949378,0.433085516812,0,3.78706843662e-10,1,14.9577182186,0.524129062501,0.590433849764,0.24004121954,0,2843.82288105,5.04397955695e-18,True
case1,11,6,6,True,82.2086336374,2,81.4305924714,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,78.0290868282,80.0290868282,80.0290868282,2967.29135193,1663.33687288,10.7572058498,251.441731507,4389.94369915,-1.48077106132e-11,4.45959458598e-18,0.571128978779,0.225888692245,6.08099575213,0.586915799483,6.66791155162,-15.5432152958,0.312212389413,0.0117189915992,0.433085516812,0,3.8284198034e-10,1,14.4087260485,0.586915799483,0.592197361869,0.225414856273,0,2867.29135193,5.36327709674e-18,True
case1,12,6,6,True,80.8555062056,3,81.4305924714,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,76.4168477297,78.4168477297,78.4168477297,2990.30544736,1606.62477678,9.99313317929,248.391785507,4358.53157181,2.86206613964e-11,4.62222491185e-18,0.574233586374,0.212858691006,6.11857845727,0.583551695927,6.70213015319,-15.7043105851,0.315840970455,0.0116470912785,0.433085516812,0,3.86884302372e-10,1,13.9250543189,0.583551695927,0.593635496312,0.212414947983,0,2890.30544736,5.72350326855e-18,True
case2,0,6,6,True,95.3674371123,1,60,0,0,1,2,0.6,0.8,0.1,0.7,0.02,0,0,84.729093945,86.729093945,86.729093945,0,1818.51351133,-0.0366578820088,422.731168697,1395.74568475,3.80850906367e-12,1.6424578711e-17,0.596536964762,0.137298756038,8.83228554456,0.209046952031,9.04133249659,-5.22287124158,0.327967206202,0.0118526499588,0.636945606154,0,4.4196468707e-10,0,16.4187281835,0.209046952031,0.608882803329,0.137196049453,0,0,3.09149407463e-17,True
case3,0,3,6,False,96.6533225536,3.31088635536,108.900887923,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,94.6533225536,96.6533225536,96.6533225536,1759.24112083,2200.4311634,10.2789631423,371.170851553,3598.78039581,2.77964318229e-11,8.84492132314e-18,0.569299882189,0.278566333415,7.46225813168,0.466312443354,7.38602984566,-9.90641929101,0.294027019625,0.0123793530882,0.508697563418,0,2.68906230616e-10,0.548994521375,19.3959967661,0.466312443354,0.590593823205,0.278103150893,0,1704.83697749,3.20360057926e-17,True
case3,1,6,6,True,95.6648003936,3.31088635536,106.722870165,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,92.7585784316,94.7585784316,94.7585784316,1780.14288625,2135.98895979,9.82489150193,363.989511594,3561.96722595,2.77395884041e-11,1.58342306281e-17,0.570525565728,0.267500124855,7.3954447966,0.475997439996,7.40658364785,-10.0955134041,0.297370298307,0.0122916367211,0.508907508207,0,2.71152655884e-10,0.562008066112,18.8275735295,0.475997439996,0.59169653991,0.267046037652,0,1724.41206044,3.07712839584e-17,True
case3,2,6,6,True,95.6648003936,3.31088635536,106.722870165,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,92.7585784316,94.7585784316,94.7585784316,1780.14288625,2135.98895979,9.82489150193,363.989511594,3561.96722595,2.77395884041e-11,1.58342306281e-17,0.570525565728,0.267500124855,7.3954447966,0.475997439996,7.40658364785,-10.0955134041,0.297370298307,0.0122916367211,0.508907508207,0,2.71152655884e-10,0.562008066112,18.8275735295,0.475997439996,0.59169653991,0.267046037652,0,1724.41206044,3.07712839584e-17,True
case3,3,6,6,True,95.6648003936,3.31088635536,106.722870165,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,92.7585784316,94.7585784316,94.7585784316,1780.14288625,2135.98895979,9.82489150193,363.989511594,3561.96722595,2.77395884041e-11,1.58342306281e-17,0.570525565728,0.267500124855,7.3954447966,0.475997439996,7.40658364785,-10.0955134041,0.297370298307,0.0122916367211,0.508907508207,0,2.71152655884e-10,0.562008066112,18.8275735295,0.475997439996,0.59169653991,0.267046037652,0,1724.41206044,3.07712839584e-17,True
case3,4,6,6,True,93.1221410513,3.31088635536,103.455843527,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,89.9177022696,91.9177022696,91.9177022696,1810.07850648,2039.52514107,9.16941399725,353.225127138,3505.54793441,4.70663508167e-11,2.80542733141e-17,0.572456928615,0.251162694652,7.29067431967,0.491396325088,7.42931792823,-10.3845958743,0.302385178343,0.0121628841209,0.509232584121,0,2.74674949452e-10,0.582794872665,17.9753106809,0.491396325088,0.593296343448,0.250722544737,0,1752.33018079,3.00193897518e-17,True
case3,5,6,6,True,93.1221410513,3.31088635536,103.455843527,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,89.9177022696,91.9177022696,91.9177022696,1810.07850648,2039.52514107,9.16941399725,353.225127138,3505.54793441,4.70663508167e-11,2.80542733141e-17,0.572456928615,0.251162694652,7.29067431967,0.491396325088,7.42931792823,-10.3845958743,0.302385178343,0.0121628841209,0.509232584121,0,2.74674949452e-10,0.582794872665,17.9753106809,0.491396325088,0.593296343448,0.250722544737,0,1752.33018079,3.00193897518e-17,True
case3,6,6,6,True,93.1221410513,3.31088635536,103.455843527,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,89.9177022696,91.9177022696,91.9177022696,1810.07850648,2039.52514107,9.16941399725,353.225127138,3505.54793441,4.70663508167e-11,2.80542733141e-17,0.572456928615,0.251162694652,7.29067431967,0.491396325088,7.42931792823,-10.3845958743,0.302385178343,0.0121628841209,0.509232584121,0,2.74674949452e-10,0.582794872665,17.9753106809,0.491396325088,0.593296343448,0.250722544737,0,1752.33018079,3.00193897518e-17,True
case3,7,6,6,True,88.1978775501,3.31088635536,98.0107991307,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,85.1853192806,87.1853192806,87.1853192806,1856.20237362,1879.23405463,8.1441859198,335.299866023,3408.28074815,6.25846041657e-11,2.69830815677e-17,0.575950029526,0.224679052798,7.10226133213,0.518974787362,7.43700660751,-10.8802228152,0.310736696622,0.0119554256798,0.509790860656,0,2.80988843304e-10,0.617571936648,16.5555957842,0.518974787362,0.595812895646,0.224263247146,0,1795.01090361,2.69830815677e-17,True
case3,8,6,6,True,88.1978775501,3.31088635536,98.0107991307,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,85.1853192806,87.1853192806,87.1853192806,1856.20237362,1879.23405463,8.1441859198,335.299866023,3408.28074815,6.25846041657e-11,2.69830815677e-17,0.575950029526,0.224679052798,7.10226133213,0.518974787362,7.43700660751,-10.8802228152,0.310736696622,0.0119554256798,0.509790860656,0,2.80988843304e-10,0.617571936648,16.5555957842,0.518974787362,0.595812895646,0.224263247146,0,1795.01090361,2.69830815677e-17,True
case3,9,6,6,True,88.1978775501,3.31088635536,98.0107991307,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,85.1853192806,87.1853192806,87.1853192806,1856.20237362,1879.23405463,8.1441859198,335.299866023,3408.28074815,6.25846041657e-11,2.69830815677e-17,0.575950029526,0.224679052798,7.10226133213,0.518974787362,7.43700660751,-10.8802228152,0.310736696622,0.0119554256798,0.509790860656,0,2.80988843304e-10,0.617571936648,16.5555957842,0.518974787362,0.595812895646,0.224263247146,0,1795.01090361,2.69830815677e-17,True
case3,10,6,6,True,83.3913611531,3.31088635536,92.5657547345,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,80.4483190775,82.4483190775,82.4483190775,1897.42187567,1719.26454556,7.20167026482,317.3478701,3306.5402214,3.41060513165e-11,1.52235537544e-17,0.57983646939,0.199211480375,6.89390842768,0.548645944195,7.38607329336,-11.3932568397,0.319039914193,0.0117554135748,0.510361961712,0,2.88102791624e-10,0.655146861173,15.1344957232,0.548645944195,0.59813221507,0.198821937578,0,1832.63076989,1.52235537544e-17,True
case3,11,6,6,True,83.3913611531,3.31088635536,92.5657547345,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,80.4483190775,82.4483190775,82.4483190775,1897.42187567,1719.26454556,7.20167026482,317.3478701,3306.5402214,3.41060513165e-11,1.52235537544e-17,0.57983646939,0.199211480375,6.89390842768,0.548645944195,7.38607329336,-11.3932568397,0.319039914193,0.0117554135748,0.510361961712,0,2.88102791624e-10,0.655146861173,15.1344957232,0.548645944195,0.59813221507,0.198821937578,0,1832.63076989,1.52235537544e-17,True
case3,12,6,6,True,83.3913611531,3.31088635536,92.5657547345,0.100017676514,0.0692287208339,0.494849812174,2,0.6,0.8,0.1,0.7,0.02,0.223222997113,1,80.4483190775,82.4483190775,82.4483190775,1897.42187567,1719.26454556,7.20167026482,317.3478701,3306.5402214,3.41060513165e-11,1.52235537544e-17,0.57983646939,0.199211480375,6.89390842768,0.548645944195,7.38607329336,-11.3932568397,0.319039914193,0.0117554135748,0.510361961712,0,2.88102791624e-10,0.655146861173,15.1344957232,0.548645944195,0.59813221507,0.198821937578,0,1832.63076989,1.52235537544e-17,True
