case,seed,noise_T_K,noise_V_V,initial_shift_K,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,3001,0.2,0.005,0,91.242016685,93.242016685,93.242016685,2877.33961541,2123.54728181,15.6389424095,287.417035814,4729.10880382,3.66583208233e-10,8.33968311076e-18,0.553515970457,0.318090432518,6.44624830477,0.680170214883,6.57170317205,-13.8448892256,0.284923540102,0.0123295813224,0.433085516812,0,4.21387369443e-11,0.98808907228,18.3726050055,0.680170214883,0.581630439447,0.3172704009,0,2780.76902078,1.44166362875e-17,True
case1,3002,0.2,0.005,0,91.3564388812,93.3564388812,93.3564388812,2877.92066281,2127.50010828,15.6274366556,287.901682198,4733.14652555,3.74768660549e-10,7.59104151066e-18,0.553554483655,0.318289352738,6.54111413777,0.510021964626,6.59776573686,-13.813745091,0.284701645391,0.0123384590577,0.433070788036,0,9.00275409776e-10,1,18.4069316643,0.510021964626,0.581365153526,0.317229406072,0,2783.25747273,1.40566811663e-17,True
case1,3003,0.2,0.005,0,91.2391680658,93.2391680658,93.2391680658,2874.54752563,2123.66765677,15.6387885743,287.383499285,4726.47047168,3.74882347387e-10,7.35414333597e-18,0.553292498605,0.318110645297,6.54979358751,0.595702020607,6.57623558997,-13.8314764185,0.284875815088,0.0123314368428,0.433073348798,0,4.99820629329e-10,1,18.3717504197,0.595702020607,0.581453566748,0.317174645318,0,2780.14164928,1.37872569264e-17,True
case1,3004,0.2,0.005,0,91.5141445339,93.5141445339,93.5141445339,2886.40111196,2132.44754938,15.5688836854,288.994076519,4745.42346851,3.49928086507e-10,7.00069342774e-18,0.553037703107,0.31838094117,6.72213882789,0.653161394809,6.63763331884,-13.756087615,0.284541125576,0.0123403840396,0.433085516812,0,5.83084691641e-11,1,18.4542433602,0.653161394809,0.581808832272,0.317492629533,0,2792.55631486,1.3614868781e-17,True
case1,3005,0.2,0.005,0,91.0501835167,93.0501835167,93.0501835167,2872.14514048,2117.1665302,15.7010910315,286.375898026,4718.63686368,3.00360625261e-10,8.06971676981e-18,0.553352665295,0.318881636307,6.67113854127,0.718131202317,6.51211446375,-13.8731842221,0.285109287434,0.0123222131103,0.433085516812,0,4.31299440606e-11,1,18.315055055,0.718131202317,0.581535432027,0.31799386513,0,2773.27622263,1.41884117302e-17,True
case1,3006,0.2,0.005,0,91.2382417858,93.2382417858,93.2382417858,2873.81401223,2123.40948084,15.6259836176,287.513630195,4725.3358465,3.73290731659e-10,6.8684207627e-18,0.55356040987,0.317912302202,6.65536308089,0.392844680484,6.56724179333,-13.8445813854,0.284870478702,0.0123353257948,0.433074230617,0,5.6803117765e-11,1,18.3714725357,0.392844680484,0.581080130742,0.31703561347,0,2781.50891383,1.3470669892e-17,True
case1,3007,0.2,0.005,0,91.3736117661,93.3736117661,93.3736117661,2879.73251702,2127.75736196,15.5736504861,288.294572304,4734.76895716,3.33898242388e-10,7.25656514045e-18,0.553319940754,0.318080043223,6.70154684883,0.484541589662,6.58691995074,-13.802126179,0.28478895539,0.012339068315,0.433073506009,0,4.22435419978e-11,1,18.4120835298,0.484541589662,0.581318877046,0.316899440203,0,2786.85676517,1.41694381922e-17,True
case1,3008,0.2,0.005,0,91.4203886032,93.4203886032,93.4203886032,2879.12162359,2129.31500781,15.5781204696,288.433975012,4735.58077686,3.67606389773e-10,8.1331425969e-18,0.554128516201,0.318002700371,6.45337820432,0.464312205705,6.60894138685,-13.7920866702,0.284694199756,0.0123418460218,0.433073677218,0,5.70521407894e-11,0.99420139091,18.426116581,0.464312205705,0.581249769814,0.317034202083,0,2787.25557462,1.43293580127e-17,True
case1,3009,0.2,0.005,0,91.3197305739,93.3197305739,93.3197305739,2875.61217541,2126.14735384,15.6199337197,287.699867595,4729.67959537,3.20596882375e-10,7.19584981879e-18,0.553454576204,0.318207613608,6.6104090702,0.6020661588,6.56527304829,-13.8242321969,0.284762633259,0.0123356603019,0.433072913798,0,6.35953512074e-10,1,18.3959191722,0.6020661588,0.581500804526,0.317103779184,0,2780.80182257,1.37493098504e-17,True
case1,3000,0.2,0.005,1,91.1179292262,93.1179292262,93.1179292262,2736.36453551,2114.06301249,14.8614356051,296.002826905,4569.28615669,2.94335222861e-10,6.36806146009e-18,0.555694158007,0.309817346211,6.76299836624,0.676835091268,6.59953386771,-13.4107691059,0.287096451932,0.0123084216376,0.442435445386,0,4.11466416494e-11,0.979568357763,18.3353787678,0.676835091268,0.583068892242,0.308958130189,0,2643.52591698,1.4117938589e-17,True
case1,3001,0.2,0.005,1,91.1448686361,93.1448686361,93.1448686361,2740.90106732,2115.00701406,14.8137174003,296.190606992,4574.53119179,2.69835709332e-10,7.36227485226e-18,0.555759215187,0.309525911777,6.55962531739,0.650679421111,6.66996510839,-13.3977273849,0.287059982292,0.0123103500823,0.442435445386,0,4.08482137004e-11,0.938521232327,18.3434605908,0.650679421111,0.583041828874,0.308750052804,0,2649.50395156,1.41884117302e-17,True
case1,3002,0.2,0.005,1,91.2530194342,93.2530194342,93.2530194342,2741.39175218,2118.77456482,14.8083563118,296.638720902,4578.33595242,3.23268523061e-10,5.59123060351e-18,0.555843358169,0.309724845066,6.66291918877,0.480358259035,6.69490121946,-13.3694948907,0.286842168544,0.0123187849207,0.442417402359,0,8.81868800207e-10,0.952185208971,18.3759058303,0.480358259035,0.58277563495,0.30873160592,0,2651.65172117,1.35752954017e-17,True
case1,3003,0.2,0.005,1,91.1240888298,93.1240888298,93.1240888298,2737.77140301,2114.50918637,14.8175781099,296.061177668,4571.03698982,2.94335222861e-10,6.43690829805e-18,0.555560889026,0.309520044274,6.65700596652,0.550266909603,6.67253114764,-13.3885692888,0.287024970974,0.0123116732037,0.442419956835,0,5.43750822146e-10,0.964914541745,18.3372266489,0.550266909603,0.582830968718,0.308611906921,0,2648.43607207,1.36300476114e-17,True
case1,3004,0.2,0.005,1,91.431856674,93.431856674,93.431856674,2751.34694793,2124.33785348,14.7332621443,297.874091498,4592.54397206,3.32420313498e-10,6.14688421691e-18,0.555305321144,0.309797766401,6.83651201573,0.675685491314,6.74177292659,-13.304572122,0.28665128035,0.0123200623788,0.442435445386,0,5.55387957846e-11,0.965159325083,18.4295570022,0.675685491314,0.583329048432,0.308959010322,0,2661.85363915,1.40398760326e-17,True
case1,3005,0.2,0.005,1,90.9385714591,92.9385714591,92.9385714591,2737.16332524,2108.13701058,14.8757359607,295.068743034,4565.10732874,2.98541635857e-10,5.85577593359e-18,0.555621941162,0.310317205034,6.78166674337,0.79571586081,6.60935643267,-13.428238826,0.287288464146,0.0122986450232,0.442435445386,0,4.18181045347e-11,0.98625841614,18.2815714377,0.79571586081,0.583188919248,0.309426594531,0,2641.89632988,1.36799209113e-17,True
case1,3006,0.2,0.005,1,91.1526628435,93.1526628435,93.1526628435,2738.49068051,2115.20390104,14.7914192653,296.377357757,4572.10864305,3.52542883775e-10,6.48949210341e-18,0.555819890843,0.309296629943,6.77081673556,0.366879245079,6.6724854557,-13.3929854244,0.286983913959,0.0123162421749,0.442420824767,0,5.3543613987e-11,0.955294922304,18.345798853,0.366879245079,0.582516810446,0.3084708898,0,2651.14049051,1.41623908781e-17,True
case1,3007,0.2,0.005,1,91.2795658708,93.2795658708,93.2795658708,2743.55492448,2119.29363808,14.747544329,297.092145811,4580.50396108,3.04567038256e-10,6.29975672323e-18,0.555537975648,0.309505509664,6.80740542507,0.450166366286,6.68547755223,-13.3543459164,0.286918864682,0.0123196297769,0.442420142745,0,4.47496484313e-11,0.961737939083,18.3838697612,0.450166366286,0.582726237321,0.308395593496,0,2655.39822258,1.40317445163e-17,True
case1,3008,0.2,0.005,1,91.3349932134,93.3349932134,93.3349932134,2743.44232345,2121.1066606,14.7442092621,297.287289271,4582.00590404,2.97006863548e-10,6.7540374335e-18,0.556401226614,0.309399344491,6.56921847226,0.463665310111,6.71104719872,-13.341467039,0.286822104178,0.0123219310319,0.442420286662,0,5.41005018562e-11,0.945316058915,18.400497964,0.463665310111,0.582743646921,0.308450051964,0,2656.29856976,1.39683186892e-17,True
case1,3009,0.2,0.005,1,91.2147595465,93.2147595465,93.2147595465,2740.41591965,2117.33498388,14.7987372977,296.432753727,4576.1168871,2.87741386273e-10,6.68952740424e-18,0.555700331636,0.309648147943,6.72191329181,0.634008535597,6.66233796447,-13.3794888332,0.286907825298,0.0123141756258,0.442419541255,0,6.16484641114e-10,0.975208575905,18.364427864,0.634008535597,0.583046982714,0.308566164837,0,2649.13102379,1.41434173401e-17,True
case2,3000,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,3001,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,3002,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,3003,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,3004,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,3005,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,3006,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
