case,candidate,training_passed,training_count,all_training_passed,training_max_stop_s,training_first_deadline_s,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,10,6,6,True,89.6,94.6666666667,1,81.6119730741,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,79.985154438,82.8,82.8,2981.30275214,1758.84345442,11.4200359493,260.491009749,4491.07523277,6.9007910497e-11,4.81629710072e-18,0.567767603616,0.241582181556,6.10465909986,0.779061364641,6.8837204645,-15.0807427113,0.306955476657,0.0118335189826,0.433085516812,0,3.77964326503e-10,1,14.9955463314,0.779061364641,0.591265909021,0.240575028464,0,2841.92848286,5.45570533195e-18,0.567767603616,0.241582181556,5.9449361593,15.84,1,2.81484556198,0,0,0,98.6666666667,True,sensor,0.2
case1,11,6,6,True,88.2,94.6666666667,2,81.6119730741,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,78.1611564636,81,81,3007.57021201,1695.49548127,10.5674931249,256.879227026,4456.75395938,1.69961822394e-11,3.60307486971e-18,0.570873668908,0.226916708942,6.10865676937,0.831602202749,6.94025897212,-15.2654869909,0.310962987202,0.0117504141077,0.433085516812,0,3.82083253925e-10,1,14.4483469391,0.831602202749,0.59301741273,0.225952672276,0,2865.62803519,5.22558342084e-18,0.570873668908,0.226916708942,5.98330996561,15.3,1,2.83884353638,0,0,0,98.6666666667,True,sensor,0.2
case1,12,6,6,True,87.4,94.6666666667,3.5,81.6119730741,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,75.8052749038,78.6,78.6,3039.71454877,1611.11717648,9.47069349341,252.240021569,4408.06239718,5.91739990341e-11,4.1492417141e-18,0.575510855667,0.207836778956,6.16448458037,0.813203320931,6.9776879013,-15.5118274859,0.316360343286,0.0116439234368,0.433085516812,0,3.88061582868e-10,1,13.7415824711,0.813203320931,0.595068660816,0.206987561281,0,2899.97829396,5.49392345853e-18,0.575510855667,0.207836778956,6.01895634237,14.58,1,2.79472509623,0,0,0,98.6666666667,True,sensor,0.2
case1,13,6,6,True,86.8,94.6666666667,1,72.8678331019,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,74.2102785826,77,77,3064.93117927,1554.67635876,8.70392129515,249.685051606,4378.62640773,3.51860762748e-11,5.37357701738e-18,0.578992564945,0.194868622727,6.22969988721,0.769039201558,6.99873908876,-15.656569966,0.320107897779,0.0115743984733,0.433085516812,0,3.90121379645e-10,1,13.2630835748,0.769039201558,0.59641034943,0.1940834193,0,2926.49162289,6.16558670438e-18,0.578992564945,0.194868622727,6.02729711133,14.1,1,2.78972141743,0,0,0,98.6666666667,True,sensor,0.2
case1,14,6,6,True,85.8,94.6666666667,2,72.8678331019,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,73.044625771,76,76,3097.03276837,1518.75094273,8.07534757583,249.319441239,4374.53961744,2.34479102801e-11,5.15538133017e-18,0.581288858549,0.185343336584,6.20038566295,0.859909994331,7.06029565728,-15.6942896847,0.322782288702,0.0115267572351,0.433085516812,0,3.81402669863e-10,1,12.9133877313,0.859909994331,0.597765181441,0.184495868673,0,2949.26405693,6.12845277997e-18,0.581288858549,0.185343336584,6.01875210621,13.8,1,2.95537422896,0,0,0,98.6666666667,True,sensor,0.2
case1,15,6,6,True,84.6,94.6666666667,3.5,72.8678331019,0.494662071156,0.0232843920172,0.262151460053,2,0.6,0.8,0.1,0.7,0.02,0.366432480053,1,71.640348196,74.4,74.4,3117.7497027,1462.41663843,7.42387151768,246.88371699,4340.70649566,3.79145603802e-11,6.16721300764e-18,0.583952836472,0.174012907095,6.18025417429,0.806165941167,6.98642011546,-15.8499276799,0.326534631623,0.0114595239087,0.433085516812,0,3.67173180749e-10,1,12.4921044588,0.806165941167,0.598848616691,0.173317003864,0,2979.7671125,6.74048490634e-18,0.583952836472,0.174012907095,5.99185000002,13.32,1,2.75965180397,0,0,0,98.6666666667,True,sensor,0.2
case2,0,3,6,False,95.4,94.6666666667,1,60,0,0,1,2,0.6,0.8,0.1,0.7,0.02,0,0,84.729093945,88.8,88.8,0,1884.73349959,-0.435756348928,435.288526538,1449.0092167,3.80850906367e-12,1.03850305092e-17,0.596536964762,0.137298756038,8.8322861387,0.422247687972,9.25000175922,-5.00325744684,0.325127106484,0.0119300163915,0.636945606154,0,4.4196468707e-10,0,16.4187281835,0.422247687972,0.609788796008,0.136870535908,0,0,3.09149407463e-17,0.596536964762,0.137298756038,8.82712930749,17.64,1,4.07090605498,0,0,0,98.6666666667,True,sensor,0.2
case2,1,6,6,True,73.6,94.6666666667,1,75,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,0,62.1025088906,65.8,65.8,464.707150408,1133.23038441,-1.3654652109,328.817266397,1267.75480321,-3.80850906367e-12,5.8004816228e-18,0.610430762208,0.063394912648,8.08901242524,0.406493200563,8.4955056258,-5.84708686958,0.361803850349,0.0110553904888,0.641203103569,0,3.7148062404e-10,0.172266561149,9.63075266719,0.406493200563,0.613897899517,0.0632045839832,0,449.182924416,8.470058422e-18,0.610430762208,0.063394912648,7.42916157368,10.74,1,3.69749110937,0,0,0,98.6666666667,True,sensor,0.2
case2,2,6,6,True,73.8,94.6666666667,1,75,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,0.5,63.1757688642,67,67,488.015220745,1170.90422753,-1.68719718028,339.001394974,1318.23085612,4.43378667114e-12,3.66731384843e-18,0.610636467552,0.0612001857084,8.40415716073,0.400101550666,8.8042587114,-5.61991345346,0.360938722493,0.0110942211534,0.645657804914,0,3.69434260961e-10,0.18500960121,9.95273065925,0.400101550666,0.614591982892,0.0610179815858,0,477.621949364,8.57603918436e-18,0.610636467552,0.0612001857084,7.81741036789,11.1,1,3.82423113585,0,0,0,98.6666666667,True,sensor,0.2
case2,3,6,6,True,75,94.6666666667,1,75,0.05,0.005,1,2,0.6,0.8,0.1,0.7,0.02,0.05,1,67.6911089897,71.4,71.4,470.664583485,1311.17879919,-2.16453792155,367.387764986,1412.29107977,-6.08224581811e-12,7.93771515531e-18,0.609171866744,0.0663993505038,8.84079801327,0.45491393226,9.29571194553,-5.19614202133,0.355705706755,0.0112452221235,0.651215730159,0,6.10741679452e-10,0.200296730773,11.3073326969,0.45491393226,0.615368101852,0.0661919661474,0,467.322188872,8.63268874787e-18,0.609171866744,0.0663993505038,8.59410991382,12.42,1,3.70889101029,0,0,0,98.6666666667,True,sensor,0.2
