case,strategy,initial_shift_K,G_factor,G_EP_factor,h_factor,seed,noise_T_K,noise_V_V,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case2,constant_optimized,1,1,1,1,6002,0.2,0.005,76.7750765502,83,83,0,1691.82432891,-1.60694120393,415.479947025,1274.73744068,5.72413227928e-11,1.39021823567e-17,0.600959968468,0.106968180261,8.86435373403,0.700771772319,9.56512550635,-4.72053941226,0.335709424551,0.0116829971293,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.700771772319,0.61296663664,0.106109777534,0,0,1.53617895314e-17,0.600959968468,0.106968180261,8.72279272357,15.9,1,6.22492344975,0.718969741324,0.00120864252091,0,98.6666666667,True,sensor,0.2
case2,constant_optimized,1,1,1,1,6003,0.2,0.005,76.7750765502,82.2,82.2,0,1666.3011453,-1.45433322775,410.5745618,1254.27225028,5.69002622797e-11,9.44340092235e-18,0.600959968468,0.106968180261,8.85393013566,0.613675563251,9.46760569891,-4.80254839496,0.336767164148,0.0116545980991,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.613675563251,0.612588459485,0.10631381261,0,0,1.53617895314e-17,0.600959968468,0.106968180261,8.72279272357,15.66,1,5.42492344975,0.726405403168,0.000575035016543,0,98.6666666667,True,sensor,0.2
case2,constant_optimized,1,1,1,1,6004,0.2,0.005,76.7750765502,81.6,81.6,0,1647.15145566,-1.34098209553,406.904701585,1238.90577198,5.59907675779e-11,6.64182250865e-18,0.600959968468,0.106968180261,8.84478389174,0.54782602836,9.3926099201,-4.86389671719,0.337559346991,0.0116334424351,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.54782602836,0.61230214134,0.10644920556,0,0,1.53617895314e-17,0.600959968468,0.106968180261,8.72279272357,15.48,1,4.82492344975,0.730992759162,0.000907844784776,0,98.6666666667,True,sensor,0.2
case2,constant_optimized,1,1,1,1,6005,0.2,0.005,76.7750765502,83,83,0,1691.82432891,-1.60694120393,415.479947025,1274.73744068,5.72413227928e-11,1.39021823567e-17,0.600959968468,0.106968180261,8.86435373403,0.700771772319,9.56512550635,-4.72053941226,0.335709424551,0.0116829971293,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.700771772319,0.61296663664,0.106109777534,0,0,1.53617895314e-17,0.600959968468,0.106968180261,8.72279272357,15.9,1,6.22492344975,0.761533396833,0.00107641034015,0,98.6666666667,True,sensor,0.2
case2,constant_optimized,1,1,1,1,6006,0.2,0.005,76.7750765502,82.8,82.8,0,1685.4445658,-1.56863373761,414.252295454,1269.62363661,5.76960701437e-11,1.26878759235e-17,0.600959968468,0.106968180261,8.86193217052,0.679071427595,9.54100359811,-4.74106349007,0.335974020446,0.0116758765747,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.679071427595,0.612872470422,0.106163286634,0,0,1.53617895314e-17,0.600959968468,0.106968180261,8.72279272357,15.84,1,6.02492344975,0.669096898463,0.000566857164524,0,98.6666666667,True,sensor,0.2
case2,constant_optimized,1,1,1,1,6007,0.2,0.005,76.7750765502,81.6,81.6,0,1647.15145566,-1.34098209553,406.904701585,1238.90577198,5.59907675779e-11,6.64182250865e-18,0.600959968468,0.106968180261,8.84478389174,0.54782602836,9.3926099201,-4.86389671719,0.337559346991,0.0116334424351,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.54782602836,0.61230214134,0.10644920556,0,0,1.53617895314e-17,0.600959968468,0.106968180261,8.72279272357,15.48,1,4.82492344975,0.756387844448,0.000561193530515,0,98.6666666667,True,sensor,0.2
case2,constant_optimized,1,1,1,1,6008,0.2,0.005,76.7750765502,83,83,0,1691.82432891,-1.60694120393,415.479947025,1274.73744068,5.72413227928e-11,1.39021823567e-17,0.600959968468,0.106968180261,8.86435373403,0.700771772319,9.56512550635,-4.72053941226,0.335709424551,0.0116829971293,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.700771772319,0.61296663664,0.106109777534,0,0,1.53617895314e-17,0.600959968468,0.106968180261,8.72279272357,15.9,1,6.22492344975,0.76662763593,0.000392233996825,0,98.6666666667,True,sensor,0.2
case2,constant_optimized,1,1,1,1,6009,0.2,0.005,76.7750765502,81.6,81.6,0,1647.15145566,-1.34098209553,406.904701585,1238.90577198,5.59907675779e-11,6.64182250865e-18,0.600959968468,0.106968180261,8.84478389174,0.54782602836,9.3926099201,-4.86389671719,0.337559346991,0.0116334424351,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.54782602836,0.61230214134,0.10644920556,0,0,1.53617895314e-17,0.600959968468,0.106968180261,8.72279272357,15.48,1,4.82492344975,0.687497971676,0.000588834781498,0,98.6666666667,True,sensor,0.2
case3,constant_hold,-1,1,1,1,6000,0.2,0.005,18.0771277547,20.4,20.4,2358.50089497,99.846873418,-0.846768239592,87.0745363765,2370.42646378,1.65243818628e-10,3.03441083024e-19,0.681742398274,0.0034971862019,20.7816501058,2.04471811522,22.826368221,-19.3015985504,0.3916,0.00340092474426,0.500157156508,0,1.72057923464e-11,1,0.816956369648,2.04471811522,0.681742398274,0.00346701514066,0,2089.94715627,3.16451509094e-19,0.683397362768,0.0034971862019,18.5155361522,1.0404,1,2.32287224531,0.638939049353,3.4267305386e-05,0,98.6666666667,True,sensor,0.2
case3,constant_hold,-1,1,1,1,6001,0.2,0.005,18.0771277547,20.6,20.6,2381.62345277,101.820135151,-0.860858974254,88.3601957273,2394.22253322,1.6615331333e-10,3.18687676075e-19,0.681625954554,0.0034971862019,20.9683646603,2.21664998811,23.1850146484,-19.2392253405,0.3916,0.0034338376487,0.500157156508,0,1.74189551672e-11,1,0.816956369648,2.21664998811,0.681625954554,0.0034616381541,0,2089.94715627,3.20042928791e-19,0.683397362768,0.0034971862019,18.5155361522,1.0609,1,2.52287224531,0.581776323535,1.97087977223e-05,0,98.6666666667,True,sensor,0.2
