case,seed,noise_T_K,noise_V_V,initial_shift_K,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,1000,0.2,0.005,0,95.8199105501,-1,96.6666666667,2819.82562535,2244.23203193,17.2533059192,296.303877883,4785.00708532,5.09317032993e-10,3.40114221509e-18,0.54978703126,0.344710723177,6.62209422302,0.0374433713945,6.42653385226,-13.4553291004,0.277692651921,0.0125187961771,0.433068949699,0,4.9643134048e-10,0.964806183064,19.745973165,-30,1.26757512098,0,0,2788.71809649,1.39569345664e-17,False
case1,1001,0.2,0.005,0,94.735993439,-1,96.6666666667,2812.68571635,2244.33699131,17.2985556365,296.256700743,4778.06456256,4.6208015192e-10,6.34746161882e-18,0.549955860905,0.344929012851,6.80731189725,-0.214933389653,6.42068448149,-13.4601913775,0.277707549119,0.0125242871516,0.43307264649,0,4.27218048264e-11,0.965510809029,19.4207980317,-30,1.26757512098,0,0,2746.97359203,1.50498103563e-17,False
case1,1002,0.2,0.005,0,94.8219852984,-1,96.6666666667,2814.91599106,2244.69669763,17.3127150519,296.26599992,4780.65940382,3.56408236257e-10,4.21917275423e-18,0.549822247098,0.345332446863,6.81192108368,-0.274823191319,6.45335024017,-13.4712404355,0.277637267201,0.0125266898299,0.433070903029,0,5.47073081281e-11,0.959244251625,19.4465955895,-30,1.26757512098,0,0,2752.47586315,1.41688960911e-17,False
case1,1003,0.2,0.005,0,95.2685848594,-1,96.6666666667,2818.51512398,2243.95963861,17.2672411531,296.38877768,4783.35322607,4.13706402469e-10,4.40782393224e-18,0.550428834383,0.345014284127,6.72491187964,-0.0247857313481,6.40656953909,-13.46154833,0.277746387097,0.0125194970959,0.433069340698,0,4.21955803631e-11,0.95770334888,19.5805754578,-30,1.26757512098,0,0,2768.31750825,1.38718246959e-17,False
case1,1004,0.2,0.005,0,94.9291033328,-1,96.6666666667,2812.88334991,2244.34108322,17.292106775,296.186408641,4778.33013126,4.19788648287e-10,4.10370522286e-18,0.54979353978,0.345605925229,6.73989158962,-0.318477965894,6.40969746171,-13.4492739234,0.277689350631,0.0125262918406,0.433070788821,0,5.67418112496e-10,0.966663191465,19.4787309998,-30,1.26757512098,0,0,2753.59076452,1.46757606068e-17,False
case1,1005,0.2,0.005,0,94.4583488226,-1,96.6666666667,2818.76972994,2244.38264528,17.2651654068,296.291440789,4784.12609985,4.20868673245e-10,4.68266918296e-18,0.550483667457,0.344852161096,6.89547893803,-0.0933300640314,6.46125895987,-13.4584242126,0.277728947939,0.0125210903982,0.433072695392,0,9.40904243407e-10,0.966281501988,19.3375046468,-30,1.26757512098,0,0,2738.29321128,1.43244791029e-17,False
case1,1006,0.2,0.005,0,95.2277616858,-1,96.6666666667,2819.29564463,2244.58858189,17.279049495,296.359708778,4784.80356725,3.59932528227e-10,5.65736693603e-18,0.550717218708,0.344688164769,6.71702057535,-0.168029315144,6.48531684997,-13.4384099964,0.277726339769,0.0125226995154,0.433070967347,0,8.54765147551e-10,0.941682331709,19.5683285058,-30,1.26757512098,0,0,2768.82894843,1.51213676997e-17,False
case1,1007,0.2,0.005,0,94.8209746242,-1,96.6666666667,2816.82599831,2244.44523586,17.3114484073,296.175656145,4782.40702643,4.09272615798e-10,4.61328024393e-18,0.549538930089,0.345553474912,6.88716561938,-0.0396412478862,6.40096085102,-13.4732404709,0.277640488438,0.0125219619573,0.433085516812,0,4.2208014861e-11,0.97644991309,19.4462923872,-30,1.26757512098,0,0,2747.11239211,1.47988175533e-17,False
case1,1008,0.2,0.005,0,95.4672745347,-1,96.6666666667,2809.64149917,2244.47037472,17.3345472819,296.121096697,4775.32532447,3.87615273212e-10,4.21483594554e-18,0.549998915169,0.345747667379,6.70816935303,-0.323555819889,6.38461353314,-13.4584171278,0.277646048528,0.012526717305,0.433067544447,0,5.27780597004e-11,0.951661320682,19.6401823604,-30,1.26757512098,0,0,2773.0924454,1.39910869348e-17,False
case1,1009,0.2,0.005,0,95.2954740524,-1,96.6666666667,2816.45298355,2244.60292172,17.307757946,296.195287789,4782.16837543,3.90571130993e-10,4.47016555716e-18,0.549903697251,0.345090554838,6.66557569799,-0.0617086917515,6.4071369732,-13.4630992603,0.277627316643,0.0125209600045,0.433071555221,0,3.976374785e-10,0.946556043232,19.5886422157,-30,1.26757512098,0,0,2767.24626497,1.40176498881e-17,False
