case,candidate,stage,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case3,9,training,2004,0.2,0.005,0,1.2,1,1.2,76.7642571688,79.6,79.6,2003.36438669,1623.02903559,6.65897023447,371.073118652,3261.97927386,4.03019839723e-11,8.03502230029e-18,0.583413569625,0.179282304924,5.79014886856,0.820993159427,6.53309929857,-11.5736676891,0.324637540888,0.0116288686574,0.510362262906,0,2.77363798595e-10,0.723968676932,14.0292771506,0.820993159427,0.600842801928,0.17844265041,0,1904.37052792,8.03502230029e-18,0.583413569625,0.179282304924,5.79014886856,14.88,1,2.83574283123,0.692263657257,0.000467975345432,0,98.6666666667,True,sensor,0.2
case3,9,training,2005,0.2,0.005,1,1,0.8,1,76.235992682,80.8,80.8,1611.28798765,1655.94897306,4.98138822324,325.966349508,2946.25199942,8.75388650456e-12,1.61434992978e-17,0.585354948505,0.170500365351,6.94467330646,1.26447932984,8.13089248783,-12.1540313786,0.325094988401,0.0116525055735,0.520692133952,0,2.81968004501e-10,0.594601686771,13.8707978046,1.26447932984,0.603774431345,0.168803680022,0,1488.50168433,1.61434992978e-17,0.585354948505,0.170500365351,6.90107372629,15.24,1,4.56400731802,1.42722634434,0.000608664409894,0,98.6666666667,True,sensor,0.2
case3,10,training,2000,0.2,0.005,-1,1,1.2,1.2,79.4315292239,86.4,86.4,2490.54585548,1849.57535223,6.33471938555,402.658555081,3943.79737202,2.29078978009e-11,2.50434438812e-17,0.578721866096,0.201449030532,7.93492409766,0.439740853175,8.37466495083,-9.49155420221,0.313038437059,0.0119147135366,0.500157156508,0,2.99737066764e-10,0.861724484851,14.8294587672,0.439740853175,0.59878148354,0.199372204293,0,2266.97528487,2.50434438812e-17,0.578721866096,0.201449030532,6.73510409995,16.92,1,6.96847077608,1.3638670232,0.00111626412844,0,98.6666666667,True,sensor,0.2
case3,10,training,2001,0.2,0.005,0,1,1.2,1,79.0478942513,83.2,83.2,2206.29696727,1741.65370526,6.41747858813,324.610465968,3629.75768514,2.17141860048e-11,1.89933247081e-17,0.580456610242,0.193462253269,7.46423379685,0.405363911203,7.86959770806,-9.79488315337,0.318676812443,0.0117829096772,0.510362262906,0,2.86711709929e-10,0.762237362221,14.7143682754,0.405363911203,0.599047077568,0.192316709054,0,2075.19995677,1.89933247081e-17,0.580456610242,0.193462253269,6.79343090898,15.96,1,4.15210574866,1.27535643863,0.000464325755426,0,98.6666666667,True,sensor,0.2
case3,10,training,2002,0.2,0.005,1,0.8,1,0.8,79.5607010484,83.2,83.2,1791.4842078,1735.17591004,5.1020270858,266.383500792,3265.37864414,2.31352714763e-11,2.50640437224e-17,0.58259341121,0.186960175743,9.06339879777,0.439333417493,9.50273221526,-10.583806135,0.320310029681,0.0117734250375,0.520692133952,0,3.01242586431e-10,0.615909969554,14.8682103145,0.439333417493,0.600166142978,0.185973970744,0,1698.58578,2.50640437224e-17,0.58259341121,0.186960175743,8.53798540946,15.96,1,3.63929895163,0.772402396793,0.000770788168383,0,98.6666666667,True,sensor,0.2
case3,10,training,2003,0.2,0.005,-1,1,1,1,79.509035933,83.2,83.2,2084.32665393,1745.50891113,7.14242458014,316.790482201,3520.18750744,-1.18802745419e-11,1.6314803241e-17,0.57881352596,0.200818495384,7.12033717816,0.576133724344,7.6964709025,-11.590963059,0.317107069668,0.0117888331115,0.500157156508,0,2.98506150354e-10,0.735981347767,14.8527107799,0.576133724344,0.598163572077,0.199574465248,0,1968.28149534,1.6314803241e-17,0.57881352596,0.200818495384,6.73856709506,15.96,1,3.69096406698,0.667057406525,0.000473102820924,0,98.6666666667,True,sensor,0.2
case3,10,training,2004,0.2,0.005,0,1.2,1,1.2,79.4157679677,82.8,82.8,1988.52662619,1730.37945964,7.08061317925,387.138418172,3338.84828083,5.53654899704e-11,1.41829907194e-17,0.580993625931,0.192772216847,6.22470981848,0.474451852874,6.67403184634,-11.1614743834,0.319278336217,0.0117649664537,0.510362262906,0,2.72700528825e-10,0.696661117876,14.8247303903,0.474451852874,0.599077104582,0.191925468805,0,1887.00861438,1.41829907194e-17,0.580993625931,0.192772216847,5.89879596476,15.84,1,3.3842320323,0.692041810692,0.000497267892141,0,98.6666666667,True,sensor,0.2
case3,10,training,2005,0.2,0.005,1,1,0.8,1,79.3647278428,83.6,83.6,1554.62669068,1750.15586189,5.53380703212,336.266339048,2974.05002056,1.25055521494e-12,2.20911613655e-17,0.582717376747,0.185404587331,7.66098519593,0.436095102578,8.09708029851,-11.9120439906,0.320018805358,0.0117869337222,0.520692133952,0,2.76763278961e-10,0.546246640388,14.8094183528,0.436095102578,0.600553642385,0.184173102364,0,1464.27565749,2.20911613655e-17,0.582717376747,0.185404587331,7.07915115472,16.08,1,4.23527215719,1.43708809889,0.000708461998399,0,98.6666666667,True,sensor,0.2
case3,11,training,2000,0.2,0.005,-1,1,1.2,1.2,76.4908592343,79.6,79.6,2422.1390589,1624.81559189,6.71145353379,362.146052498,3691.52005183,4.939693099e-11,7.48289234395e-18,0.581780024916,0.184773493263,6.57124336293,1.01993277711,7.49241482752,-10.750861082,0.323210917357,0.0116320963645,0.500157156508,0,3.0543756413e-10,0.887165288552,13.9472577703,1.01993277711,0.600357241706,0.183655817746,0,2288.85889567,7.48289234395e-18,0.581780024916,0.184773493263,6.57124336293,14.88,1,3.10914076567,1.30269776971,0.000893322057263,0,98.6666666667,True,sensor,0.2
case3,11,training,2001,0.2,0.005,0,1,1.2,1,75.777105999,79,79,2218.6678499,1601.41076651,6.07295026915,306.612128204,3519.53943848,2.95585778076e-12,8.56357085938e-18,0.583516415771,0.176920931352,6.62996185646,0.953767908531,7.56206939318,-10.3831810925,0.325605077045,0.0116021192096,0.510362262906,0,2.92614488195e-10,0.814354753,13.7331317997,0.953767908531,0.601370385399,0.175879482542,0,2092.93611105,8.56357085938e-18,0.583516415771,0.176920931352,6.6267443565,14.7,1,3.22289400101,1.25835381016,0.00047868425124,0,98.6666666667,True,sensor,0.2
