case,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case2,6006,0.2,0.005,-1,1,1,1,80.1584880114,86.8,86.8,348.662829986,1813.0796715,-2.33720355767,435.19361984,1724.21167809,5.65023583476e-11,3.61895843154e-17,0.601957510009,0.105346036554,9.12670656707,0.666058781047,9.76880193698,-4.92685167787,0.330417622564,0.0118332716165,0.628887574876,0,9.72562474999e-10,0.161901009516,15.0475464034,0.666058781047,0.613607019044,0.104496455267,0,348.588767553,3.61895843154e-17,0.601957510009,0.105346036554,9.11668824432,17.04,1,6.64151198864,0.669096314464,0.000796954919126,0,98.6666666667,True,sensor,0.2
case2,6007,0.2,0.005,-1,1,1,1,80.1935393453,86.8,86.8,348.190834571,1813.07762836,-2.32849071865,435.200318618,1723.73965359,3.56408236257e-11,3.67316854016e-17,0.601928164946,0.105512287527,9.12561219677,0.662763024848,9.76356062434,-4.9313814999,0.330400793236,0.0118334513132,0.629172428949,0,9.50937106836e-10,0.16216693171,15.0580618036,0.662763024848,0.613573086481,0.1046700009,0,348.051031705,3.67316854016e-17,0.601928164946,0.105512287527,9.11463905623,17.04,1,6.60646065474,0.756400522736,0.000521243988946,0,98.6666666667,True,sensor,0.2
case2,6008,0.2,0.005,-1,1,1,1,80.2796746552,86.6,86.6,346.659601515,1806.79222151,-2.26936969861,433.858459473,1717.32399386,5.9230842453e-11,3.65354448084e-17,0.601920178972,0.105842681146,9.12384710897,0.637872916008,9.73771346822,-4.95566857187,0.330680937872,0.0118260888447,0.629149200803,0,9.96509541551e-10,0.162354607869,15.0839023966,0.637872916008,0.61344645541,0.105062974325,0,346.480074758,3.65354448084e-17,0.601920178972,0.105842681146,9.11503019483,16.98,1,6.3203253448,0.766628757466,0.00039788677675,0,98.6666666667,True,sensor,0.2
case2,6009,0.2,0.005,-1,1,1,1,80.2549555659,86.6,86.6,347.084853217,1806.79055121,-2.27688245958,433.858003973,1717.740518,2.694378054e-11,3.5080987594e-17,0.601846757759,0.105869689655,9.1281306254,0.637242960671,9.7422522256,-4.95855135429,0.330644667287,0.0118262182873,0.628819113311,0,9.3363539122e-10,0.163998654868,15.0764866698,0.637242960671,0.613434229112,0.105088757054,0,346.98541172,3.5080987594e-17,0.601846757759,0.105869689655,9.11794700392,16.98,1,6.34504443407,0.687505806701,0.000610928329111,0,98.6666666667,True,sensor,0.2
case2,6000,0.2,0.005,0,1,1,1,74.4484157443,79.6,79.6,293.498704953,1578.30145711,-2.2734092882,402.779573051,1466.74717972,2.92175172945e-11,5.76524505219e-18,0.604799290281,0.0880352710778,9.0723563025,0.570745691121,9.64310199363,-4.96432325308,0.342127166315,0.011550263566,0.640680777542,0,9.73574998397e-10,0.146336150587,13.3345247233,0.570745691121,0.614316413576,0.0875608516883,0,293.498704953,1.67281553193e-17,0.604799290281,0.0880352710778,8.95926184529,14.88,1,5.1515842557,0.638938110595,0.000707686725984,0,98.6666666667,True,sensor,0.2
case2,6001,0.2,0.005,0,1,1,1,74.3719091356,81.2,81.2,295.367743307,1629.20167671,-2.5843169058,412.737502887,1509.24760022,4.49631443189e-11,5.14399720736e-18,0.604885200251,0.0876533538985,9.08724374708,0.750879811133,9.83812355821,-4.79507310663,0.340045405182,0.0116060563333,0.640656559069,0,9.75257208324e-10,0.150355615322,13.3115727407,0.750879811133,0.615119780898,0.0868279478953,0,295.364958822,1.66815346259e-17,0.604885200251,0.0876533538985,8.95776193719,15.36,1,6.82809086442,0.694205849775,0.000745685543854,0,98.6666666667,True,sensor,0.2
case2,6002,0.2,0.005,0,1,1,1,74.2810990691,79.2,79.2,297.100193658,1565.44533467,-2.236290412,400.593880473,1459.71535745,3.56408236257e-11,6.00756423774e-18,0.604930580083,0.0873079294468,9.06922709518,0.545507619456,9.61473471463,-4.99657824487,0.34272257943,0.0115356597296,0.64055904615,0,9.84952563954e-10,0.150078091335,13.2843297207,0.545507619456,0.61426451363,0.0868787801966,0,297.099296045,1.70517896678e-17,0.604930580083,0.0873079294468,8.95542047693,14.76,1,4.91890093088,0.719012810024,0.0011078612004,0,98.6666666667,True,sensor,0.2
case2,6003,0.2,0.005,0,1,1,1,74.4252773821,81.4,81.4,293.948253005,1635.64633408,-2.60440213505,413.850717018,1513.13946793,1.85309545486e-11,5.79614481411e-18,0.604824500088,0.0879211164391,9.08865762624,0.766028859278,9.85468648552,-4.77859444114,0.339749445597,0.0116133799363,0.640579289062,0,9.86913661905e-10,0.150344121381,13.3275832146,0.766028859278,0.615161879195,0.0870582519114,0,293.948253005,1.65419435962e-17,0.604824500088,0.0879211164391,8.95887027894,15.42,1,6.97472261786,0.726428095783,0.000534350189406,0,98.6666666667,True,sensor,0.2
case2,6004,0.2,0.005,0,1,1,1,74.2915096879,80.8,80.8,296.68462109,1616.41178574,-2.52343280018,410.383259842,1500.18971419,2.71143107966e-11,3.49275729866e-18,0.604926990974,0.0872881344514,9.08280127984,0.716521208956,9.7993224888,-4.83813399948,0.340604380707,0.0115916225884,0.640731067065,0,9.78445768851e-10,0.149306279751,13.2874529064,0.716521208956,0.615001917884,0.0865407863317,0,296.68462109,1.69661376961e-17,0.604926990974,0.0872881344514,8.95283596776,15.24,1,6.5084903121,0.730999323377,0.000960861135241,0,98.6666666667,True,sensor,0.2
case2,6005,0.2,0.005,0,1,1,1,74.4024850786,79.6,79.6,295.380342441,1578.23993342,-2.28785076018,402.969606012,1468.36281909,4.26325641456e-11,5.2366964931e-18,0.604844263589,0.0878271230095,9.07204256977,0.577283641142,9.64932621091,-4.95907825161,0.342182298572,0.0115499242376,0.640875483988,0,9.41284383771e-10,0.148662405251,13.3207455236,0.577283641142,0.614367700987,0.0873438661357,0,295.377409739,1.65863958852e-17,0.604844263589,0.0878271230095,8.95849544311,14.88,1,5.19751492143,0.761540080976,0.00111442801301,0,98.6666666667,True,sensor,0.2
