case,parameter,factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case2,K_P,1.2,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case2,K_I,0.8,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case2,K_I,1.2,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case2,ice_warn,0.8,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case2,ice_warn,1.2,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case2,delta_V,0.8,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case2,delta_V,1.2,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case3,G,0.8,95.3587687314,98.4,98.4,1802.93643726,2253.99142005,8.63528980288,379.690685874,3685.87246124,1.03739239421e-10,6.7747999051e-17,0.568503629527,0.2792951568,9.02554392227,0.298291350984,9.3021675751,-9.63408955721,0.291297392212,0.0124607309744,0.508518492331,0,8.73257022249e-10,0.541317032379,19.6076306194,0.298291350984,0.589832427294,0.27863182722,0,1732.16643214,6.7747999051e-17,0.568503629527,0.2792951568,9.02554392227,20.52,1,3.04123126864,0.0304869396028,0.000398377874918,0,98.6666666667,True,sensor,0.2
case3,G,1.2,95.3785950243,98.4,98.4,1741.58789702,2262.32005289,11.0783524266,380.372906911,3634.61339543,9.02105057321e-11,3.74689428789e-17,0.568888910611,0.278116659862,6.41523360854,0.304739808113,6.39259780433,-9.61039606263,0.291476107572,0.0124592351503,0.508539578403,0,8.71931860047e-10,0.535015790791,19.6135785073,0.304739808113,0.590022925194,0.277454612307,0,1672.29865989,3.74689428789e-17,0.568888910611,0.278116659862,6.41523360854,20.52,1,3.02140497565,0.0209535627406,0.000284338402132,0,98.6666666667,True,sensor,0.2
case3,G_EP,0.8,95.4622288823,98.6,98.6,1465.85047322,2264.93301582,9.82913304009,381.734685205,3358.87793687,7.33280103304e-11,5.39938102909e-17,0.568847063974,0.278458203113,7.50579073328,0.319061630704,7.60201414053,-11.1265304778,0.291245779977,0.0124673297368,0.508743473309,0,8.72599770219e-10,0.464375751053,19.6386686647,0.319061630704,0.590079424836,0.277740279217,0,1404.26390141,5.39938102909e-17,0.568847063974,0.278458203113,7.50579073328,20.58,1,3.13777111769,1.54255821382,0.000525980740849,0,98.6666666667,True,sensor,0.2
case3,G_EP,1.2,95.2521637559,98.4,98.4,2017.8153524,2258.77690013,9.89333660168,379.803309168,3906.68227997,2.49031018029e-10,5.09672599264e-17,0.568652570857,0.278387391254,7.47828170002,0.300251222737,7.59417212123,-8.34969960768,0.291329444348,0.0124602734,0.508316295062,0,8.72599770219e-10,0.586763612215,19.5756491268,0.300251222737,0.589956761221,0.277702255955,0,1938.5679602,5.09672599264e-17,0.568652570857,0.278387391254,7.47828170002,20.52,1,3.14783624411,1.26074225078,0.000402046188297,0,98.6666666667,True,sensor,0.2
case3,h,0.8,95.3396332741,98.4,98.4,1692.52149207,2258.58152368,9.88537269682,304.187399612,3656.80098884,1.68938640854e-10,5.09981596883e-17,0.56875530202,0.278359466002,7.49180297411,0.308788391789,7.58232104695,-9.61472918723,0.291427305152,0.0124594705532,0.508723732983,0,8.72603322932e-10,0.512650393684,19.6018899822,0.308788391789,0.589998303515,0.277679986919,0,1625.57970382,5.09981596883e-17,0.56875530202,0.278359466002,7.49180297411,20.52,1,3.06036672592,0.0101786082796,0.000137137420449,0,98.6666666667,True,sensor,0.2
case3,h,1.2,95.3880672574,98.4,98.4,1841.72710361,2258.70620538,9.92093057713,455.95178652,3654.40245305,2.10889083974e-10,5.01167033221e-17,0.568698707019,0.27873902955,7.49238302366,0.295525659939,7.57101643799,-9.62399289546,0.29137552515,0.0124602112048,0.50833865535,0,8.72596217505e-10,0.561676418659,19.6164201772,0.295525659939,0.589904857841,0.278090127246,0,1768.79118461,5.01167033221e-17,0.568698707019,0.27873902955,7.49238302366,20.52,1,3.0119327426,0.0101741797304,0.000137027727391,0,98.6666666667,True,sensor,0.2
case3,T_target,0.8,95.9812147081,-1,98.6666666667,1748.1162539,2268.27166984,10.1683745427,380.262764921,3646.29353335,2.12139639189e-10,5.41407196852e-17,0.568342697679,0.282162365742,7.51316212032,0.155279896673,7.49256993828,-9.63836968378,0.290749889762,0.0124776939702,0.508461914243,0,8.7055340714e-10,0.530496662881,19.7943644124,,,,,1690.5391027,5.41407196852e-17,0.568342697679,0.282162365742,7.51316212032,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2
case3,T_target,1.2,94.7543913305,97.8,97.8,1778.70494003,2238.18410731,9.74385560032,377.887511295,3648.74539165,1.51715084939e-10,4.66938770635e-17,0.569111275693,0.274995125863,7.47115576015,0.426678674655,7.59502837554,-9.67231218998,0.292494502628,0.0124284697671,0.50859618623,0,8.7463902787e-10,0.544725516947,19.4263173991,0.426678674655,0.590621015191,0.274119467598,0,1703.66395951,4.66938770635e-17,0.569111275693,0.274995125863,7.47115576015,20.34,1,3.04560866952,0,0,0,98.6666666667,True,sensor,0.2
