case,stage,evaluation_dt_s,evaluation_scale,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C,selected
case1,DE_seed_260927,0.1,1,0.884235240742,1,98.5789172389,0.0298889202091,0.0270466377819,0.302042696418,2,0.6,0.8,0.1,0.7,0.02,0.309067326154,1,95.316668582,98.2,98.2,2882.8550445,2296.19518654,17.7486751683,303.98482204,4892.81408417,-2.06341610465e-11,1.14491749414e-18,0.551822084433,0.336951700849,6.6209488261,0.747995197189,6.78752857266,-13.0410757506,0.277111506063,0.0125560195812,0.433085516812,0,9.94898385898e-10,0.928328245852,19.5950005746,0.747995197189,0.580305025772,0.335434527551,0,2753.59574448,2.89292244673e-18,0.551822084433,0.336951700849,6.6209488261,20.46,1,2.88333141804,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,0.969033297621,2.20092557317,67.1803213849,0.0546525550446,0.0209156980844,0.542443584883,2,0.6,0.8,0.1,0.7,0.02,0.263199072436,1,70.6587869883,73.6,73.6,3159.32050841,1432.24089585,7.10215100995,248.138007556,4350.52554771,-3.42765815731e-11,1.64148208914e-18,0.586567461793,0.159020630963,6.19540691415,0.859465277604,7.05487219176,-15.8133799128,0.32979539582,0.011415820727,0.433085516812,0,9.94637261442e-10,1,12.1976360965,0.859465277604,0.600692975287,0.158312130608,0,3012.81426099,1.64717415055e-18,0.586567461793,0.159020630963,5.98832245029,13.08,1,2.94121301174,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,10.778674992,3.38450210578,123.317886523,0.242481346799,0.0248740119497,1.76605257369,2,0.6,0.8,0.1,0.7,0.02,0.0739446394958,1,-1,-1,98.6666666667,2182.81827734,2340.7367774,28.343837813,264.217735163,4287.68115738,-8.35598257254e-12,2.93385107875e-18,0.540474242935,0.428266314626,7.30038090559,-3.27469413581,3.10480988999,-15.1886195658,0.265601016009,0.0127931715706,0.432389028713,0,9.99939686608e-10,0.711988488992,-1,,,,,,2.93385107875e-18,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,DE_seed_260927,0.1,1,0.985908805213,2.04366721349,58.8404448498,0.0391230541007,0.0480940460722,0.39652711952,2,0.6,0.8,0.1,0.7,0.02,0.221025254268,1,66.5377084732,69.4,69.4,3214.33939925,1284.82043992,5.13821229268,240.329013206,4263.96903826,-2.04636307899e-12,1.00126070629e-18,0.593328647783,0.134020163967,6.48389145207,0.83547986354,7.31937131561,-16.2704765212,0.338957356694,0.0112467888043,0.433085516812,0,9.97436799821e-10,1,10.961312542,0.83547986354,0.603224978676,0.133455089139,0,3072.14695535,1.00126070629e-18,0.593328647783,0.134020163967,6.30638424398,11.82,1,2.86229152679,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,0.904401720928,4.58925018249,96.4101591908,0.439150421378,0.0234914426865,1.66828533099,2,0.6,0.8,0.1,0.7,0.02,0.380497019462,1,83.7580601692,86.6,86.6,2948.60342961,1890.81870974,13.4409193278,269.724037138,4583.13902153,-1.98951966013e-11,2.04209479188e-18,0.563168902024,0.259468883092,5.93545308681,0.878149954642,6.78896431532,-14.6196670678,0.299972334464,0.0119958916168,0.433085516812,0,9.98515048423e-10,1,16.1274180508,0.878149954642,0.589181645064,0.258317136008,0,2806.50643807,2.66903469812e-18,0.563168902024,0.259468883092,5.93545308681,16.98,1,2.84193983078,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,10.7518123775,4.11096028521,133.005035835,0.35704026684,0.0503108441708,0.571979567074,2,0.6,0.8,0.1,0.7,0.02,0.0193997432208,1,-1,-1,98.6666666667,1942.60005441,2350.36184716,31.8430799781,250.298299718,4074.50668183,1.40119027492e-11,2.13642038088e-18,0.536711835523,0.454766583812,7.52498704458,-4.67922255515,1.87239405051,-15.9547390121,0.261482824796,0.0128746772766,0.431821886128,0,9.99777455268e-10,0.634032186757,-1,,,,,,2.13642038088e-18,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
case1,DE_seed_260927,0.1,1,0.946884181566,1.33922297398,87.905925625,0.120167233559,0.0669999178094,1.41470704697,2,0.6,0.8,0.1,0.7,0.02,0.235499977504,1,84.2206978321,91.6,91.6,3087.10817394,2055.71313417,12.1816478184,298.186538881,4856.81641704,-3.29691829393e-12,1.51896724365e-18,0.56258993189,0.262780858099,7.46371788653,0.376388454761,7.84010634129,-13.2731727475,0.293369250771,0.0122099254459,0.433085516812,0,9.99095917109e-10,1,16.2662093496,0.376388454761,0.589186427333,0.261296043073,0,2802.77450822,2.70643967307e-18,0.56258993189,0.262780858099,5.96579712172,18.48,1,7.37930216789,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,0.9098238336,4.29309256739,93.1172894629,0.376997093046,0.0763814904695,0.901336869766,2,0.6,0.8,0.1,0.7,0.02,0.389888749387,1,81.9408609629,84.8,84.8,2966.28103863,1827.75493647,12.6510530475,265.335377579,4541.35165056,8.18545231596e-12,2.91704594507e-18,0.565571963877,0.246165840025,5.97335362084,0.860309616713,6.83366323755,-14.8325228365,0.303743322725,0.0119136057742,0.433085516812,0,9.93594539977e-10,1,15.5822582889,0.860309616713,0.590638894467,0.245092054662,0,2823.32408677,3.15367306922e-18,0.565571963877,0.246165840025,5.89098971361,16.44,1,2.85913903713,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,1.03425148773,2.84097531894,38.6456990811,0.297889759808,0.0174538960248,0.805790830172,2,0.6,0.8,0.1,0.7,0.02,0.311465404882,1,54.9504331112,57.8,57.8,3371.95011159,883.425457199,0.159339764335,219.418145584,4036.11676297,3.63797880709e-12,5.50232602536e-20,0.612040966029,0.0711536145427,7.4892740427,0.796899409373,7.66110005256,-17.4395873956,0.362859184989,0.010411953361,0.433085516812,0,9.98833904475e-10,1,7.54887524777,0.796899409373,0.612040966029,0.0708710460387,0,3229.47176715,1.33085816673e-19,0.612608687896,0.0711536145427,7.4892740427,8.3521,1,2.84956688881,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,1.00784130354,1.22144874629,46.7179204967,0.268918667777,0.042783993673,0.689940885,2,0.6,0.8,0.1,0.7,0.02,0.240312418675,1,60.3950758934,63.2,63.2,3285.84549912,1068.6128466,2.23880815148,228.335428596,4128.36172527,1.17097442853e-11,1.74827600313e-19,0.60316615121,0.0993843456644,6.83787816814,0.629776803506,7.46765497164,-16.9407848078,0.351923604284,0.0110138769048,0.433085516812,0,9.96458027203e-10,1,9.11852276802,0.629776803506,0.606210249786,0.098997164534,0,3150.68977667,1.91090632901e-19,0.60316615121,0.0993843456644,6.444421758,9.96,1,2.8049241066,0,0,0,98.6666666667,True,sensor,0.2,
case1,DE_seed_260927,0.1,1,10.6797199048,1.85202303155,145.589463622,0.48048524512,0.0295809769964,0.774592412825,2,0.6,0.8,0.1,0.7,0.02,0.172766687706,1,-1,-1,98.6666666667,1303.30979744,2375.86951338,40.0929591621,213.544092768,3505.72817721,-1.50066625793e-11,-1.18584612616e-18,0.523080186698,0.519354244459,8.1310120494,-8.39898112809,-1.34976829988,-18.0101297127,0.249190608373,0.0131157544152,0.430173890684,0,9.9897157213e-10,0.419818212785,-1,,,,,,1.52330405234e-18,,,,-1,0,0,0,0,0,98.6666666667,False,sensor,0.2,
