case,strategy,dt_s,scale,period_s,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case2,guarded,0.0125,2,0.2,74.3078602076,78.2,78.2,293.595135801,1533.89854079,-2.12994575323,394.044062619,1431.31966822,1.5916157281e-11,2.90533656161e-17,0.604945237914,0.0865681776597,9.05529813373,0.432584641774,9.48788277551,-5.11555861792,0.343964395602,0.0115012085485,0.640726146757,0,9.99492044684e-10,0.124282832178,13.2923580623,0.432584641774,0.613737162106,0.0863009798131,0,293.595135801,2.90533656161e-17,0.604945237914,0.0865681776597,8.95797289329,14.46,1,3.89213979244,0,0,0,98.6666666667,True,sensor,0.2
case2,guarded,0.025,4,0.2,74.3037806094,78.2,78.2,293.529197242,1533.96896833,-2.01021664984,394.058724244,1431.42922468,3.41060513165e-11,5.32180636365e-18,0.604870944316,0.0898706623342,9.05392326854,0.43309564709,9.48701891563,-5.11500132133,0.343722410446,0.0115047690473,0.639343682458,0,9.91715154441e-10,0.124281643822,13.2911341828,0.43309564709,0.61363635461,0.0895935379778,0,293.529197242,6.31929946739e-17,0.604870944316,0.0898706623342,8.95667713816,14.46,1,3.89621939063,0,0,0,98.6666666667,True,sensor,0.2
case2,guarded,0.025,2,0.1,74.2786159933,78.2,78.2,294.364333961,1533.83423847,-2.02847882677,394.107480782,1432.06261282,3.05249159283e-11,9.6819254003e-18,0.604994397698,0.0871698398294,9.05545013471,0.435745647502,9.49119578222,-5.11256479743,0.343969030746,0.0115013639469,0.640823427662,0,9.68730873296e-10,0.124495860178,13.283584798,0.435745647502,0.613784783438,0.0868976489322,0,294.364333961,1.67037607704e-17,0.604994397698,0.0871698398294,8.95707473268,14.46,1,3.92138400674,0,0,0,98.6666666667,True,sensor,0.2
case2,guarded,0.025,2,0.4,74.3158870697,78.4,78.4,293.011244115,1540.26936143,-2.04889246261,395.223546872,1436.00816621,3.49587025994e-11,9.53230550049e-18,0.604943341618,0.087395825926,9.05669219076,0.452583066998,9.50927525776,-5.09669470931,0.343685157403,0.0115084483256,0.640798734464,0,9.65707513956e-10,0.124063740061,13.2947661209,0.452583066998,0.613839387362,0.0871005948882,0,293.011244115,1.72089989828e-17,0.604943341618,0.087395825926,8.95479114762,14.52,1,4.0841129303,0,0,0,98.6666666667,True,sensor,0.2
case3,guarded,0.05,1,0.2,88.5384972215,91.6,91.6,1856.83221325,2026.70343104,8.53817535178,354.530847301,3537.54297234,3.02975422528e-11,7.47611608037e-18,0.573771796885,0.231217640949,7.23333547893,0.763215082901,7.668052694,-10.2834115219,0.304284772672,0.0121272365393,0.510362262906,0,2.76210276873e-10,0.597925339471,17.5615491664,0.763215082901,0.595417323434,0.230247247134,0,1766.51690002,7.73578250068e-18,0.573771796885,0.231217640949,7.23333547893,18.48,1,3.06150277853,0,0,0,98.6666666667,True,sensor,0.2
case3,guarded,0.025,1,0.2,88.5388067782,91.6,91.6,1856.27950094,2026.96984471,8.29390213609,354.474015828,3537.06923195,2.27373675443e-13,-1.76670744007e-18,0.573627516225,0.229399443941,7.23715012819,0.763154936848,7.67074587486,-10.2860385548,0.304213071792,0.0121266932603,0.510362262906,0,8.96942964346e-10,0.597816666369,17.5616420335,0.763154936848,0.595238907088,0.22842888279,0,1765.99090652,3.5935881007e-18,0.573627516225,0.229399443941,7.23715012819,18.48,1,3.06119322181,0,0,0,98.6666666667,True,sensor,0.2
case3,guarded,0.025,2,0.2,88.5387718379,91.6,91.6,1855.38499027,2027.48430384,8.31831151049,354.474035496,3536.71357013,5.75255398871e-11,9.75619324911e-18,0.573318737735,0.239568485324,7.24290087739,0.763163745774,7.67340538944,-10.288106126,0.303472783173,0.0121374232595,0.509304387785,0,8.96946517059e-10,0.59782398559,17.5616315514,0.763163745774,0.594872793881,0.238554876695,0,1765.09540261,1.27014284507e-17,0.573318737735,0.239568485324,7.24290087739,18.48,1,3.06122816205,0,0,0,98.6666666667,True,sensor,0.2
case3,guarded,0.0125,2,0.2,88.5389267325,91.6,91.6,1855.16249781,2027.60523249,8.18848526407,354.445609505,3536.51060606,1.90198079508e-10,3.65804391986e-17,0.573253931243,0.23768738559,7.2444575114,0.763133555549,7.674440838,-10.2892165108,0.303456931807,0.0121371239592,0.509268746079,0,9.98777949235e-10,0.597781730026,17.5616780198,0.763133555549,0.594794374865,0.236677697728,0,1764.8843727,3.6620554679e-17,0.573253931243,0.23768738559,7.2444575114,18.48,1,3.06107326746,0,0,0,98.6666666667,True,sensor,0.2
case3,guarded,0.025,4,0.2,88.5387524724,91.6,91.6,1854.9318185,2027.8237106,8.31704306694,354.474036845,3536.59853532,4.33715285908e-11,2.68995980005e-17,0.573121350377,0.24766511163,7.24585960395,0.763168726441,7.67488991908,-10.2888335088,0.303062853795,0.012143120227,0.508241725324,0,8.96946517059e-10,0.597812283582,17.5616257417,0.763168726441,0.594645777423,0.246617232771,0,1764.64392777,6.40606274624e-17,0.573121350377,0.24766511163,7.24585960395,18.48,1,3.0612475276,0,0,0,98.6666666667,True,sensor,0.2
case3,guarded,0.025,2,0.1,88.506317693,91.5,91.5,1854.30011489,2024.14279201,8.3235595467,354.014967975,3532.75149847,4.50199877378e-11,9.74914593499e-18,0.573360685079,0.239310183625,7.24305188311,0.746405421293,7.65991708838,-10.3044857852,0.303628192516,0.0121335709992,0.509365335371,0,8.96946517059e-10,0.597681258131,17.5518953079,0.746405421293,0.594840714079,0.238341867666,0,1766.03826585,1.30147628785e-17,0.573360685079,0.239310183625,7.24305188311,18.45,1,2.993682307,0,0,0,98.6666666667,True,sensor,0.2
