cooling_min,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,mean_capacity_C,mean_length_C,mean_seven_nodes_C,field_min_C,field_max_C,field_range_K,cell_range_K,center_minus_left_EP_K,surface_left_C,surface_right_C,relative_field_range,Bi_stack,h_W_m2K,conductance_factor,G_eff_W_m2K,note
20.0,4.0461839410517095,4.95415751251996,5.2030665018876325,4.954199154831631,4.046190611656664,3.600349359482222,3.6002041596218985,3.779238707679786,3.9895482142343353,4.343478748721674,3.436902302537881,5.205106552611497,1.768204250073616,1.156882560835923,1.6027171424054107,3.4370464967941103,3.436902302537881,0.05234588811711765,0.578187134502924,20.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-28.812014187932753,-28.799721789040653,-28.796362738152116,-28.79972174241624,-28.812015194234593,-28.83083154101052,-28.830834750773697,-28.825984968540016,-28.820382613178044,-28.81164313479437,-28.85327714526866,-28.796335207274417,0.05694193799424241,0.015652456082477784,0.03446880285840592,-28.853273997117572,-28.85327714526866,0.04850188155038394,0.2792748538011696,80.0,1.0,888.4963109217499,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-21.89226189210086,-21.850507136428558,-21.839108803687388,-21.850507056694692,-21.892265483841594,-22.00485365287566,-22.004864761810207,-21.979154300668,-21.949631760472066,-21.904909826776993,-22.158282283118393,-21.83901538487131,0.31926689824708276,0.05315668015420627,0.16574484918827181,-22.158271387351423,-22.158282283118393,0.039804642828831914,0.16630409356725148,80.0,2.0,1776.9926218434998,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-28.817485116684768,-28.811395178976564,-28.80973273034638,-28.811395167347374,-28.817485640540756,-28.833906642772934,-28.833908263012827,-28.83015838819533,-28.8258525210459,-28.819329819954515,-28.85628423272151,-28.809719105197303,0.046565127524207384,0.007752910194376739,0.024173912426554978,-28.85628264357214,-28.85628423272151,0.03980464282884681,0.16630409356725148,80.0,2.0,1776.9926218434998,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-28.416814551531047,-28.035230898185528,-27.927033110238447,-28.035203866909406,-28.416792914775183,-28.594014753995783,-28.59405199118338,-28.520639363213242,-28.434330735987846,-28.28844886954554,-28.648002293799248,-27.926145559600602,0.7218567341986457,0.4897814412925996,0.6669816437573353,-28.64796653549645,-28.648002293799248,0.48795183287190397,4.625497076023392,160.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-29.95671052122816,-29.94627676674831,-29.943318312149227,-29.94627611766321,-29.956710107092164,-29.961555761365066,-29.961556976929597,-29.959549528028152,-29.95718955741733,-29.95320065188225,-29.963032148494186,-29.943294043377755,0.01973810511643137,0.013392209078933348,0.018237449215838808,-29.963030979849655,-29.963032148494186,0.48795735016808395,4.625497076023392,160.0,0.1,88.849631092175,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-28.610281138578618,-28.490336667300358,-28.457102537951542,-28.490332850624707,-28.610283751612563,-28.687270816510466,-28.687293369741504,-28.6601958058388,-28.628501290133638,-28.576128733188536,-28.737156619922263,-28.456830063570003,0.2803265563522608,0.15318121366102133,0.2301682785589243,-28.737134935900542,-28.737156619922263,0.20922949605166932,1.914198830409357,160.0,0.25,222.12407773043748,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-29.966054819937735,-29.963125071737288,-29.962313303391994,-29.963124990476064,-29.966054908478434,-29.96793536225767,-29.96793594130673,-29.967274044179316,-29.966499876338155,-29.965220628226557,-29.96915389689109,-29.962306647942434,0.0068472489486559596,0.0037416050864393924,0.005622058865675683,-29.969153339852877,-29.96915389689109,0.20922991481667397,1.914198830409357,160.0,0.25,222.12407773043748,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-28.663225165306862,-28.607599200782897,-28.59230804145177,-28.607598375385052,-28.663228379826688,-28.715158458798268,-28.715171246036338,-28.69952722691579,-28.68133383591511,-28.652041266798268,-28.76383655851521,-28.592182697276147,0.17165386123906146,0.0709203383749184,0.12285041734649838,-28.76382425678077,-28.76383655851521,0.1319934294602463,1.0104327485380118,160.0,0.5,444.24815546087495,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-29.968359219948983,-29.967042582033255,-29.966680648381555,-29.96704256309804,-29.96835929729693,-29.969588454448566,-29.969588758585815,-29.969218471886943,-29.968787843589187,-29.96809450339902,-29.970740641729247,-29.966677681548223,0.004062960181023811,0.0016786489153766126,0.0029078060670109096,-29.970740349111896,-29.970740641729247,0.13199345289490128,1.0104327485380118,160.0,0.5,444.24815546087495,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-28.687829203045474,-28.661015594359448,-28.653674084258917,-28.661015397208644,-28.687831188486204,-28.728463813979662,-28.728470488650764,-28.717969491264547,-28.705837351614644,-28.6868999671413,-28.776567630726767,-28.653613910266625,0.12295372046014208,0.034157104227286794,0.07478972972074516,-28.77656120854521,-28.776567630726767,0.09590545593288499,0.5585497076023392,160.0,1.0,888.4963109217499,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-29.969395846944213,-29.968770465108484,-29.968599236868076,-29.968770460513433,-29.96939589325792,-29.970343580161753,-29.970343735845177,-29.97009881792958,-29.96981585639776,-29.969374174099862,-29.971465519915416,-29.968597833411998,0.0028676865034178434,0.0007966563898449408,0.0017443432936765646,-29.971465370120907,-29.971465519915416,0.09590545606738989,0.5585497076023392,160.0,1.0,888.4963109217499,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
20.0,-28.699692210984743,-28.686525093765677,-28.682927171136832,-28.686525044847574,-28.69969329115661,-28.73495733243195,-28.734960733560428,-28.72689858806268,-28.717640466099613,-28.7036115539834,-28.78278133825507,-28.682897682489624,0.09988365576544567,0.01676612001977773,0.05203016129511795,-28.782778065694924,-28.78278133825507,0.07845695152709757,0.33260818713450296,160.0,2.0,1776.9926218434998,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
40.0,-29.96988807707892,-29.969583159103255,-29.96949984008464,-29.969583157970433,-29.969888102093048,-29.970704730357337,-29.970704809119088,-29.97051810970387,-29.970303714422,-29.969978839400962,-29.971812216438156,-29.969499157200264,0.0023130592378919346,0.0003882620084070254,0.001204890272695991,-29.971812140653732,-29.971812216438156,0.07845695152714303,0.33260818713450296,160.0,2.0,1776.9926218434998,k_BP and k_MEA scaled; k_EP fixed; illustrative effective-resistance perturbation
