case,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case2,3004,0.2,0.005,-1,1,1,1,83.1916692555,89.8,89.8,279.162933871,1911.46803379,-2.03797966058,448.7757052,1739.8172828,7.23048287909e-11,5.69395875935e-17,0.599811379464,0.118698143852,9.01826971777,0.66847408095,9.64288185198,-4.83798342424,0.325543091404,0.0119570355985,0.629140564571,0,9.28567445158e-10,0.144059628478,15.9575007766,0.66847408095,0.61257881969,0.117739097434,0,279.162933871,5.69395875935e-17,0.599811379464,0.118698143852,9.01821063293,17.94,1,6.6083307445,0.634762214054,0.000560481372475,0,98.6666666667,True,sensor,0.2
case2,3005,0.2,0.005,-1,1,1,1,83.1394634962,90.6,90.6,280.591584695,1936.89533254,-2.21345071829,453.803249909,1761.47021661,7.87281351222e-11,6.73441337418e-17,0.599838352735,0.118573059858,9.02155132312,0.752853051608,9.71938878785,-4.74328091025,0.324468673047,0.0119875787136,0.629043860154,0,9.96989157898e-10,0.148030930169,15.9418390489,0.752853051608,0.612940794194,0.117354748074,0,280.591584695,6.73441337418e-17,0.599838352735,0.118573059858,9.021493276,18.18,1,7.46053650379,0.731264313549,0.000448810082001,0,98.6666666667,True,sensor,0.2
case2,3006,0.2,0.005,-1,1,1,1,83.1864707887,88.2,88.2,280.002574985,1860.45521975,-1.73298277894,439.050184538,1699.67462742,8.01492205937e-11,4.81011714834e-17,0.599770999885,0.118849335406,9.02325699473,0.509754519741,9.50669922117,-5.0100699095,0.327716717536,0.0118962488088,0.629282242789,0,9.91770221503e-10,0.149971865362,15.9559412366,0.509754519741,0.61190133478,0.118294387893,0,280.002574985,4.81011714834e-17,0.599770999885,0.118849335406,9.02321470837,17.46,1,5.01352921128,0.679764226221,0.000558741332044,0,98.6666666667,True,sensor,0.2
case2,3007,0.2,0.005,-1,1,1,1,83.18317343,88.4,88.4,279.451908434,1866.82759779,-1.76639461234,440.243845606,1704.26926601,6.37783159618e-11,4.91127321103e-17,0.599772503737,0.118792978942,9.019471693,0.530029128466,9.52141179674,-4.98719677956,0.327460130037,0.0119037230242,0.629334396889,0,9.3506891119e-10,0.153222500215,15.954952029,0.530029128466,0.611995495449,0.118192726225,0,279.451908434,4.91127321103e-17,0.599772503737,0.118792978942,9.0194149195,17.52,1,5.21682657003,0.757930374813,0.000610163530758,0,98.6666666667,True,sensor,0.2
case2,3008,0.2,0.005,-1,1,1,1,83.1922033131,90.6,90.6,278.74402748,1937.00397697,-2.19258593157,453.614637713,1759.94078081,6.83826328896e-11,6.71478931485e-17,0.599826666353,0.118734583028,9.01964035922,0.747128799749,9.71209562026,-4.75389671312,0.324417788578,0.0119879250037,0.629077321133,0,9.46165812366e-10,0.14350835885,15.9576609939,0.747128799749,0.612895554937,0.117532544093,0,278.74402748,6.71478931485e-17,0.599826666353,0.118734583028,9.01959327851,18.18,1,7.40779668689,0.765040337689,0.000382251993335,0,98.6666666667,True,sensor,0.2
case2,3009,0.2,0.005,-1,1,1,1,83.2730665445,88.6,88.6,276.700252385,1873.32134854,-1.77661962546,441.194031348,1707.05094995,7.42375050322e-11,5.03557699011e-17,0.599766294496,0.119177260662,9.01781124135,0.540595567643,9.52831347187,-4.97504302283,0.327128204555,0.0119117420262,0.629008123302,0,9.64174518003e-10,0.146742113433,15.9819199634,0.540595567643,0.612001045778,0.118550064339,0,276.700252385,5.03557699011e-17,0.599766294496,0.119177260662,9.01778865701,17.58,1,5.32693345547,0.785620988398,0.000472377386518,0,98.6666666667,True,sensor,0.2
case2,3000,0.2,0.005,0,1,1,1,76.3602409899,81.4,81.4,244.347895009,1637.38984436,-2.06088552236,410.477453445,1469.19940041,3.08091330226e-11,6.28837260042e-18,0.603057916395,0.0965033574666,9.01425639953,0.556232828149,9.57048922768,-4.95388545235,0.339145733499,0.0116208345509,0.64057082857,0,9.70700853031e-10,0.139364925445,13.908072297,0.556232828149,0.613642610682,0.0960071605236,0,244.347895009,1.64064183246e-17,0.603057916395,0.0965033574666,8.92750200256,15.42,1,5.03975901008,0.667449004751,0.000554247883283,0,98.6666666667,True,sensor,0.2
case2,3001,0.2,0.005,0,1,1,1,76.4008434117,82,82,242.546396741,1656.65644314,-2.14608055612,413.993538117,1483.0632212,4.62705429527e-11,8.72132227547e-18,0.603062800057,0.0966636043506,9.01673978257,0.615451702055,9.63219148462,-4.88992634019,0.338308348839,0.011642325445,0.640666783268,0,9.11517972213e-10,0.132524322042,13.9202530235,0.615451702055,0.613879126277,0.0960521578017,0,242.546396741,1.61914752439e-17,0.603062800057,0.0966636043506,8.92587370865,15.6,1,5.59915658832,0.840904455921,0.000371207736646,0,98.6666666667,True,sensor,0.2
case2,3002,0.2,0.005,0,1,1,1,76.5290834367,81.4,81.4,240.155770515,1637.57717527,-2.01572962733,410.128396342,1465.58881981,4.52473614132e-11,5.57117286332e-18,0.602943193034,0.0972642698856,9.01430428692,0.537090112665,9.55139439958,-4.95443383217,0.339037733504,0.0116216958367,0.64042537881,0,9.66410951264e-10,0.143525967077,13.958725031,0.537090112665,0.613490757034,0.0967977390941,0,240.155770515,1.60773629652e-17,0.602943193034,0.0972642698856,8.93138550402,15.42,1,4.87091656327,0.641660026386,0.000636096158254,0,98.6666666667,True,sensor,0.2
case2,3003,0.2,0.005,0,1,1,1,76.4390544057,82,82,241.617770732,1656.68781334,-2.13711399004,413.916031213,1482.25243887,3.78008735424e-11,1.09011107433e-17,0.603036037091,0.0967563195545,9.01664635044,0.611129169119,9.62777551956,-4.89183176773,0.338279669245,0.0116425464663,0.640535626682,0,9.74505809381e-10,0.133678730422,13.9317163217,0.611129169119,0.613850030146,0.0961527750051,0,241.617770732,1.66376244379e-17,0.603036037091,0.0967563195545,8.92661271453,15.6,1,5.56094559431,0.884256131027,0.000364312513446,0,98.6666666667,True,sensor,0.2
