case,dt_s,scale,period_s,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case2,0.025,2,0.2,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.06922470877e-10,5.0952623197e-17,0.59647254395,0.135272828288,8.83425937547,0.42266791534,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.42266791534,0.609721748167,0.134847430757,0,0,5.0952623197e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case2,0.0125,2,0.2,84.7228104889,88.8,88.8,0,1884.88781156,-0.783479413169,435.256827309,1448.84750484,1.50919277075e-10,2.75615034268e-17,0.596439552183,0.134251556556,8.83524537947,0.422826890562,9.25339986203,-5.00446395098,0.325134811601,0.0119290162897,0.636669626708,0,9.99991200956e-10,0,16.4168431467,0.422826890562,0.609687736803,0.133827726483,0,0,3.46744117793e-17,0.596439552183,0.134251556556,8.8301968507,17.64,1,4.07718951106,0,0,0,98.6666666667,True,sensor,0.2
case2,0.025,4,0.2,84.713278532,88.8,88.8,0,1885.00217135,-0.649893812582,435.277709359,1449.07456818,9.93054527498e-11,1.36592126498e-16,0.596356181184,0.139142803253,8.83377007335,0.423870334119,9.25284200094,-5.00341711799,0.324833306643,0.0119341502167,0.635204521393,0,9.73757963152e-10,0,16.4139835596,0.423870334119,0.609573903785,0.138702756715,0,0,1.36592126498e-16,0.596356181184,0.139142803253,8.82879878918,17.64,1,4.08672146797,0,0,0,98.6666666667,True,sensor,0.2
case2,0.025,2,0.1,84.7245963216,88.8,88.8,0,1884.83525926,-0.658759870069,435.267847879,1448.90865152,1.03000274976e-10,5.03064387022e-17,0.59647254395,0.135272828288,8.83425937547,0.422667915339,9.25230113271,-5.00403355691,0.325131886787,0.0119293700523,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.422667915339,0.609721748167,0.134847430757,0,0,5.03064387022e-17,0.59647254395,0.135272828288,8.82917371192,17.64,1,4.07540367842,0,0,0,98.6666666667,True,sensor,0.2
case3,0.1,1,0.2,95.3630003452,98.4,98.4,1769.70356925,2257.08201471,10.5624746487,380.264315245,3657.08374336,-2.30784280575e-11,1.31367356229e-17,0.569505953646,0.272738506087,7.47360723408,0.302717901523,7.56639176778,-9.61093759188,0.292445180583,0.0124489435216,0.51018017684,0,9.9987373936e-10,0.536963853892,19.6089001036,0.302717901523,0.59095655847,0.272097769104,0,1699.74819941,1.31367356229e-17,0.569505953646,0.272738506087,7.47360723408,20.52,1,3.03699965477,0,0,0,98.6666666667,True,sensor,0.2
case3,0.05,1,0.2,95.3636016607,98.4,98.4,1768.59177218,2257.70769225,10.1365590214,380.152780379,3656.28324307,2.54090082308e-11,2.2106882297e-18,0.5692048196,0.268832539576,7.48163647064,0.302189179725,7.57198057438,-9.61546030918,0.292283086252,0.0124475380953,0.51008554282,0,2.67834643353e-10,0.536757942167,19.6090804982,0.302189179725,0.590549623306,0.268194915407,0,1698.6348763,7.96617546234e-18,0.5692048196,0.268832539576,7.48163647064,20.52,1,3.03639833927,0,0,0,98.6666666667,True,sensor,0.2
case3,0.025,1,0.2,95.3638898134,98.4,98.4,1768.05678379,2258.02621802,9.87535877847,380.096945051,3655.86141553,1.4171064322e-10,1.09157474726e-17,0.569051704033,0.266822990577,7.4856593113,0.301922483436,7.57480818236,-9.61783096821,0.29219983328,0.0124467397524,0.510015114156,0,8.72589112078e-10,0.536657765307,19.609166944,0.301922483436,0.590344758689,0.266187057868,0,1698.09824683,1.09157474726e-17,0.569051704033,0.266822990577,7.4856593113,20.52,1,3.03611018658,0,0,0,98.6666666667,True,sensor,0.2
case3,0.025,2,0.2,95.3638499737,98.4,98.4,1767.14601028,2258.64354988,9.90311334985,380.096967271,3655.59570624,1.54898316396e-10,5.06490465887e-17,0.568727083017,0.278548860846,7.49214822543,0.301922531028,7.57667121886,-9.61936134499,0.291401459944,0.0124598460021,0.50852935439,0,8.72596217505e-10,0.53667338345,19.6091549921,0.301922531028,0.589951090306,0.277884972426,0,1697.18477964,5.06490465887e-17,0.568727083017,0.278548860846,7.49214822543,20.52,1,3.03615002632,0,0,0,98.6666666667,True,sensor,0.2
case3,0.0125,2,0.2,95.3639941424,98.4,98.4,1766.93469406,2258.78751205,9.76440749235,380.069039241,3655.41757436,1.85252702067e-10,1.81338234359e-17,0.568658361485,0.276463393389,7.49378527393,0.301786432363,7.57777838739,-9.62034943649,0.291381532026,0.0124593989855,0.508487404357,0,9.84321957276e-10,0.536634512806,19.6091982427,0.301786432363,0.589860766412,0.275802882833,0,1696.97106603,3.85748290949e-17,0.568658361485,0.276463393389,7.49378527393,20.52,1,3.03600585759,0,0,0,98.6666666667,True,sensor,0.2
case3,0.025,4,0.2,95.3638282657,98.4,98.4,1766.68325525,2259.04722177,9.90238150126,380.096971323,3655.5358872,1.38811628858e-10,1.56123486535e-16,0.568520554341,0.287764059592,7.49537597008,0.301927964992,7.57772161056,-9.61976532524,0.290960805707,0.0124668137962,0.507380201098,0,8.72603322932e-10,0.536661904741,19.6091484797,0.301927964992,0.589708213401,0.28707819485,0,1696.72353691,1.56123486535e-16,0.568520554341,0.287764059592,7.49537597008,20.52,1,3.03617173433,0,0,0,98.6666666667,True,sensor,0.2
case3,0.025,2,0.1,95.3311061084,98.4,98.4,1768.69658372,2258.54060566,9.87727068473,380.249217907,3656.86524216,1.55807811097e-10,4.84622108068e-17,0.568766210641,0.278278677534,7.49206067521,0.301831850709,7.58401695995,-9.61365249515,0.291433521493,0.0124595808331,0.508584005615,0,8.72596217505e-10,0.537018951563,19.5993318325,0.301831850709,0.589993132837,0.27760851256,0,1698.13324183,4.84622108068e-17,0.568766210641,0.278278677534,7.49206067521,20.52,1,3.06889389157,0,0,0,98.6666666667,True,sensor,0.2
case1,0.025,8,0.2,95.6692651093,98.4,98.4,2854.39704005,2306.50007232,17.2125232694,303.880511714,4874.22912392,3.69880126527e-10,1.11241311301e-16,0.55009189363,0.376859313195,6.65829836947,0.216732451982,6.75216451656,-13.0621065624,0.274400853015,0.0126054163122,0.430422581169,0,9.13594533358e-10,0.914356621584,19.7007795328,0.216732451982,0.57686980213,0.376120894068,0,2748.24880569,1.19946912645e-16,0.55009189363,0.376859313195,6.65829836947,20.52,1,2.7307348907,0,0,0,98.6666666667,True,sensor,0.2
case2,0.025,8,0.2,84.7084840655,88.8,88.8,0,1885.09548775,-0.669813004923,435.281552987,1449.14412176,8.74820216268e-11,-6.51469980392e-16,0.596292038274,0.14383665431,8.8335171199,0.42438219484,9.25301734382,-5.00315339193,0.324682653954,0.0119365357279,0.634212471253,0,9.73757963152e-10,0,16.4125452197,0.42438219484,0.609495044379,0.143380674763,0,0,6.51469980392e-16,0.596292038274,0.14383665431,8.82860312887,17.64,1,4.09151593447,0,0,0,98.6666666667,True,sensor,0.2
case3,0.025,8,0.2,95.3638130844,98.4,98.4,1766.48382961,2259.27437637,9.87264701774,380.09695638,3655.53389662,1.53022483573e-10,-6.21097682833e-16,0.568406079926,0.298391275512,7.49679234287,0.301931156406,7.57817008407,-9.61981579302,0.290728877829,0.0124703636674,0.506590197926,0,8.72599770219e-10,0.536656181353,19.6091439253,0.301931156406,0.589577979888,0.297680073049,0,1696.52484664,6.21097682833e-16,0.568406079926,0.298391275512,7.49679234287,20.52,1,3.03618691564,0,0,0,98.6666666667,True,sensor,0.2
