strategy,scale,dt_s,elapsed_s,charge_C_cm2,first_success_s,best_min_T_C,switch_min_T_C,post_switch_min_T_C,min_voltage_V,max_ice_bulk,max_end_ice_bulk,max_pore_ice_saturation,max_end_pore_ice_saturation,max_pore_ice_bulk,max_mem_ice_bulk,min_porosity,max_j_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,energy_residual_J,water_residual_kg,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,final_min_T_C,final_max_T_C,final_left_EP_C,max_mirror_error_K,ice_at_switch,post_subzero_duration_s,min_V_before_success_V,post_min_T1_C,post_min_T2_C,post_min_T3_C,post_min_T4_C,post_min_T5_C,feasible
C,8,0.025,25.73467806466081,1.6556841377293356,-1.0,-0.0034725919788425744,-0.0034725919788425744,-0.0034725919788425744,0.6620132580144542,0.013699613669081111,0.013699613669081111,0.01786770188851021,0.01786770188851021,0.007516942184496245,0.013699613669081111,0.3916,0.0043363390019571044,0.43308551681194474,0.0,2.3220536604640074e-11,2.5627855393395294e-10,1.5003664001304873e-17,2975.25790428256,162.42987609036473,-0.8711873414086581,89.76134335415291,3047.0552496776195,-0.0034725919788425744,25.173541327648447,-24.277243767745354,1.1368683772161603e-13,0.013699613669081111,0.0,0.6620132580144542,-0.0034725919788052887,21.928400838488812,25.173541327648447,21.928400838488756,-0.0034725919788425744,False
C,8,0.0125,25.73467806466081,1.6556841377293356,-1.0,-0.0011532518917254401,-0.0011532518917254401,-0.0011532518917254401,0.6620102242146239,0.012791355440801793,0.012791355440801793,0.017846438535666993,0.017846438535666993,0.007507996691955105,0.012791355440801793,0.3916,0.004336314336252895,0.43308551681194474,0.0,8.615259616817639e-10,-2.5792701308091637e-11,-2.1076890233118207e-17,2975.257904282637,162.43389786873752,-0.9026415067068371,89.73708543412872,3047.052075210513,-0.0011532518917254401,25.180746470722433,-24.278270328130663,5.790923296444817e-13,0.012791355440801793,0.0,0.6620102242146239,-0.0011532518917254401,21.934379003794092,25.180746470722433,21.934379003794216,-0.0011532518915439458,False
C,8,0.00625,25.73467806466081,1.6556841377293356,25.73467806466081,1.0000613327457454e-07,1.0000613327457454e-07,1.0000613327457454e-07,0.6620082742891529,0.012339418698814145,0.012339418698814145,0.01783579650266831,0.01783579650266831,0.00750351958867256,0.012339418698814145,0.3916,0.0043363676753532905,0.43308551681194474,0.0,9.993144090003625e-10,-3.1306512937590014e-11,-1.1662152905704548e-17,2975.2579042823563,162.43594009048027,-0.9194686663405912,89.72492682907904,3047.0494488773857,1.0000613327457454e-07,25.184335282674905,-24.278786584569072,1.2647660696529783e-12,0.012339418698814145,0.0,0.6620082742891529,1.0000681954453548e-07,21.937357218982577,25.184335282674905,21.93735721898218,1.0000613327457454e-07,True
C,16,0.00625,25.73467806466081,1.6556841377293356,25.73467806466081,0.000378724755963312,0.000378724755963312,0.000378724755963312,0.6619967376721795,0.012824009498599678,0.012824009498599678,0.01790285058961882,0.01790285058961882,0.007531729243052639,0.012824009498599678,0.3916,0.00433639686104816,0.43304005470179313,0.0,9.993108562866837e-10,-3.8482994568767026e-11,6.095147444488275e-17,2975.2579042823563,162.43719357065297,-0.9168816470712812,89.72552715718643,3047.052689048713,0.000378724755963312,25.184926453007026,-24.278891382768165,1.0480505352461478e-12,0.012824009498599678,0.0,0.6619967376721795,0.0003787247564884387,21.938047608570965,25.184926453007026,21.938047608570717,0.000378724755963312,True
R,1,0.1,148.59205907737595,20.0,51.92539241070928,16.540984346720148,16.540984346720148,0.008026889066679855,0.6246504279901733,1.6780642272869197e-19,1.6780642272869197e-19,0.0,0.0,0.0,1.6780642272869197e-19,0.3298236429071173,0.012109423823581475,0.43308551681194474,0.0,7.320828387946676e-10,4.718003765447065e-11,2.5671739040111774e-17,6490.674051338601,2066.440633828575,-12.416505716125203,933.5769693314455,7611.1212101196525,5.088474194494592,14.486598958323517,-0.5825038616044289,1.0125233984581428e-13,7.292456587199941e-20,0.0,1.1879905287312682,0.008026889066746527,8.03647151266537,10.662334545131642,8.036471512665337,0.008026889066679855,True
R,2,0.05,148.59205907737595,20.0,51.92539241070928,16.546817171974453,16.546817171974453,0.004379540192615386,0.6245629239307596,0.0,0.0,0.0,0.0,0.0,0.0,0.3295019211938074,0.012118998869860466,0.43308551681194474,0.0,9.195488814839337e-11,1.0629719326971099e-10,-8.32016747165376e-18,6490.674051338761,2066.6205537987453,-12.704096350442436,933.4350664271558,7611.155442360015,5.087130096742157,14.479858066306178,-0.5814791522358073,2.753353101070388e-13,0.0,0.0,1.187973117735722,0.004379540192780604,8.02923372279693,10.653661155959904,8.02923372279685,0.004379540192615386,True
R,4,0.025,148.59205907737595,20.0,51.92539241070928,16.549734280303657,16.549734280303657,0.0025408718384456086,0.6245135891736311,1.6918489827137013e-19,1.6918489827137013e-19,0.0,0.0,0.0,1.6918489827137013e-19,0.3293192032371438,0.012123954078736492,0.43308551681194474,0.0,4.779643347774254e-10,7.788685252307914e-10,4.44132577936962e-16,6490.674051338895,2066.717976701829,-12.881995120842845,933.3629732197669,7611.147059700893,5.086296162442016,14.476190666367142,-0.5810441541870864,1.3322676295501878e-13,7.318214652620689e-20,0.0,1.1879635790788585,0.0025408718385168125,8.025472444179146,10.649116551843626,8.025472444179105,0.0025408718384456086,True
R,8,0.025,148.59205907737595,20.0,51.92539241070928,16.549734543854132,16.549734543854132,0.0028356158526063103,0.6244953340994082,0.0,0.0,0.0,0.0,0.0,0.0,0.329221424575982,0.012126797168637642,0.43308551681194474,0.0,4.779643347774254e-10,7.159997039707378e-10,-1.4684553486382646e-15,6490.674051338895,2066.746746063437,-12.8666604082747,933.3652235384981,7611.188913456275,5.086140637927764,14.474574151392058,-0.5806418860132202,3.7481129311345285e-13,0.0,0.0,1.187963578766253,0.0028356158526063103,8.026172179033738,10.649853956744423,8.026172179033741,0.002835615852611499,True
R,8,0.0125,148.59205907737595,20.0,51.92539241070928,16.551193677790664,16.551193677790664,0.001619814665380623,0.6244869828532377,2.3294816744438856e-19,2.3294816744438856e-19,0.0,0.0,0.0,2.3294816744438856e-19,0.3292362939367544,0.012126369961850984,0.43308551681194474,0.0,9.742961992742494e-10,-1.4708803064422682e-09,-3.1320757619412997e-16,6490.674051338255,2066.7694755720845,-12.979624314955613,933.3267045968819,7611.137197997031,5.085837114567624,14.474265209812716,-0.5808403462219452,6.110667527536862e-13,1.0068488935462067e-19,0.0,1.1879590096887973,0.001619814665380623,8.023518131994438,10.646735609784372,8.02351813199456,0.001619814665601185,True
R,8,0.00625,148.59205907737595,20.0,51.92539241070928,16.551923284161855,16.551923284161855,0.0010000000167481701,0.6244825527308964,4.2383265776309767e-20,4.2383265776309767e-20,0.0,0.0,0.0,4.2383265776309767e-20,0.32924190855414065,0.012126184528569913,0.43308551681194474,0.0,9.950369417310867e-10,1.305124897044152e-09,1.9029406956444504e-15,6490.67405133772,2066.7813552952503,-13.04005579503485,933.3072306302423,7611.108120208998,5.085670267055884,14.474097232528118,-0.5809525630925132,1.3073986337985843e-12,1.8311756957300165e-20,0.0,1.1879567250687415,0.0010000000169413323,8.022172249277324,10.64515528739398,8.02217224927727,0.0010000000167481701,True
R,16,0.00625,148.59205907737595,20.0,51.92539241070928,16.551923416996875,16.551923416996875,0.0011574254463383505,0.6244729440682001,0.0,0.0,0.0,0.0,0.0,0.0,0.32919247552734743,0.012127626055038214,0.4330491532279616,0.0,9.95029836303729e-10,1.3197904991102405e-09,-6.1983100943519e-15,6490.67405133772,2066.796462991826,-13.03004732857398,933.3085412752883,7611.131925727003,5.085599235302818,14.473273421602096,-0.5807360721910817,1.20614629395277e-12,0.0,0.0,1.1879567249032614,0.0011574254463383505,8.022496285711675,10.64548318597288,8.02249628571169,0.0011574254463498613,True
