time_s,feasible,energy_J,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,max_mirror_q_difference
223.0,1,6749.923280310792,0.5608868340486554,0.029624090992524717,0.02972672037696954,0.02962409099252481,0.5608868340486604,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.99999993922529e-07,9.99999993922529e-07,-6.988326173340457,-6.988326173340489,4.9960036108132044e-15
224.0,1,6758.762416087778,0.5591491244273888,0.029507142981910307,0.029609325197078595,0.029507142981914314,0.5591491244273824,1.00000000458067e-06,9.999999974752427e-07,1.0000000010279564e-06,1.00000000458067e-06,1.0000000010279564e-06,-6.960784423889223,-6.960784423889198,6.439293542825908e-15
225.0,1,6767.562630420381,0.5574237067092405,0.02939103062339305,0.029492770742806037,0.02939103062339154,0.5574237067092366,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1.0000000010279564e-06,1.0000000010279564e-06,-6.933437404135919,-6.933437404135848,3.885780586188048e-15
226.0,1,6776.324339619179,0.5557104517005157,0.02927574476021696,0.02937704771910121,0.02927574476021527,0.5557104517005136,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,1.0000000010279564e-06,1.0000000010279564e-06,-6.906283071392,-6.906283071391968,2.1094237467877974e-15
227.0,1,6785.047954250395,0.5540092320025783,0.0291612763794398,0.02926214698053162,0.029161276379437405,0.5540092320025757,1.0000000010279564e-06,1.0000000010279564e-06,1.00000000458067e-06,1.00000000458067e-06,1.0000000010279564e-06,-6.879319411172471,-6.879319411172364,2.6645352591003757e-15
228.0,1,6793.733879232792,0.5523199219811059,0.029047616608802083,0.029148059527699416,0.029047616608796248,0.5523199219811037,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,1.0000000010279564e-06,-6.852544436719885,-6.852544436719832,5.835609773185979e-15
229.0,1,6802.382513932577,0.5506423977359868,0.0289347567135786,0.029034776503942768,0.028934756713575743,0.5506423977359863,1.00000000458067e-06,1.0000000010279564e-06,1.00000000458067e-06,1.0000000010279564e-06,1.00000000458067e-06,-6.825956188539813,-6.825956188539774,2.858824288409778e-15
230.0,1,6810.994252255627,0.5489765370717571,0.028822688093571917,0.028922289192066013,0.028822688093561213,0.5489765370717614,1.0000000010279564e-06,9.999999974752427e-07,9.999999974752427e-07,1.0000000010279564e-06,1.0000000010279564e-06,-6.79955273394301,-6.799552733942928,1.07032438467769e-14
231.0,1,6819.56948273929,0.5473222194687241,0.028711402280170308,0.028810589011184662,0.028711402280172982,0.5473222194687158,1.0000000010279564e-06,1.00000000458067e-06,1.00000000458067e-06,1.0000000010279564e-06,1.00000000458067e-06,-6.773332166597786,-6.7733321665977435,8.215650382226158e-15
232.0,1,6828.108588641531,0.545679326054551,0.028600890933576296,0.028699667513668075,0.028600890933563407,0.5456793260545603,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,1.0000000010279564e-06,9.999999974752427e-07,-6.74729260609055,-6.747292606090486,1.2888995426507677e-14
