cell,x_m,dx_m,porosity,vapor_kg_m3,liquid_kg_m3,ice_kg_m3
1,0.00015777500000000022,2.5e-07,0.0,0.0,154.31331183209525,4.6072040556064415
1,0.00015802500000000022,2.5e-07,0.0,0.0,154.77474387158557,4.752842668897715
1,0.00015827500000000023,2.5e-07,0.0,0.0,155.24118160440415,4.902714651596731
1,0.00015852500000000023,2.5e-07,0.0,0.0,155.7126708943696,5.056939072885509
1,0.00015877500000000024,2.5e-07,0.0,0.0,156.18925814069505,5.2156429606748755
1,0.00015902500000000025,2.5e-07,0.0,0.0,156.67099029661333,5.378963598079521
1,0.00015927500000000025,2.5e-07,0.0,0.0,157.15791488868788,5.547059058941013
1,0.00015952500000000026,2.5e-07,0.0,0.0,157.65008004023147,5.720127910378286
1,0.00015977500000000027,2.5e-07,0.0,0.0,158.14753450339234,5.898453175733029
1,0.00016002500000000027,2.5e-07,0.0,0.0,158.6503277068559,6.082502266100742
1,0.00016027500000000028,2.5e-07,0.0,0.0,159.15850983042282,6.2731707940922545
1,0.00016052500000000028,2.5e-07,0.0,0.0,159.67213192516164,6.472786451749901
1,0.0001607750000000003,2.5e-07,0.0,0.0,160.1912461104712,6.6829923929621184
1,0.0001610250000000003,2.5e-07,0.0,0.0,160.7159059007519,6.897067528657646
1,0.0001612750000000003,2.5e-07,0.0,0.0,161.2461667504455,7.113765895275062
1,0.0001615250000000003,2.5e-07,0.0,0.0,161.78208696705602,7.332966568666539
1,0.00016177500000000031,2.5e-07,0.0,0.0,162.32372924445585,7.554682242958019
1,0.00016202500000000032,2.5e-07,0.0,0.0,162.87116324213568,7.778961423272456
1,0.00016227500000000033,2.5e-07,0.0,0.0,163.42446992878806,8.005865752444464
1,0.00016252500000000033,2.5e-07,0.0,0.0,163.98374890309915,8.235462543280589
1,0.00016277500000000034,2.5e-07,0.0,0.0,164.54913074022357,8.467822508343259
1,0.00016302500000000034,2.5e-07,0.0,0.0,165.1207978249556,8.703018297985265
1,0.00016327500000000035,2.5e-07,0.0,0.0,165.69901952132497,8.941124300851065
1,0.00016352500000000036,2.5e-07,0.0,0.0,166.28421156935957,9.182216320075696
1,0.00016377500000000036,2.5e-07,0.0,0.0,166.87703643855895,9.42637153234599
1,0.00016402500000000037,2.5e-07,0.0,0.0,167.47857294565853,9.673668329047436
1,0.00016427500000000037,2.5e-07,0.0,0.0,168.09060305329118,9.924186464385276
1,0.00016452500000000038,2.5e-07,0.0,0.0,168.71609698960955,10.178007026804071
1,0.0001647750000000004,2.5e-07,0.0,0.0,169.36003414114847,10.43521251641798
1,0.0001650250000000004,2.5e-07,0.0,0.0,170.0307926552158,10.695886629401446
1,0.0001652750000000004,2.5e-07,0.0,0.0,171.3568742342484,11.352265202908127
1,0.00016557656250000037,3.53125e-07,0.4207,1.2214791573314754e-05,16.6480213431728,5.328884339255435
1,0.00016592968750000036,3.53125e-07,0.4207,1.2150772257133262e-05,17.128512357345585,6.077170255981622
1,0.00016628281250000035,3.53125e-07,0.4207,1.2119672954325322e-05,17.158596159763366,6.254784182402062
1,0.00016663593750000034,3.53125e-07,0.4207,1.2090492936209738e-05,17.184653630225313,6.377631989637256
1,0.00016698906250000033,3.53125e-07,0.4207,1.2062295855625376e-05,17.207153824298747,6.4733598773066525
1,0.00016734218750000032,3.53125e-07,0.4207,1.2034746508391104e-05,17.226475717607816,6.551660459120986
1,0.0001676953125000003,3.53125e-07,0.4207,1.2007676623937914e-05,17.242923788145973,6.61728792620541
1,0.0001680484375000003,3.53125e-07,0.4207,1.1980986522993433e-05,17.256742230540905,6.672995315710604
1,0.0001684015625000003,3.53125e-07,0.4207,1.1954611126039882e-05,17.268126695414193,6.720543174934323
1,0.00016875468750000028,3.53125e-07,0.4207,1.192850521392435e-05,17.27723377544346,6.761132716893356
1,0.00016910781250000027,3.53125e-07,0.4207,1.1902636037518149e-05,17.28418861324158,6.795620269179063
1,0.00016946093750000026,3.53125e-07,0.4207,1.1876979217227272e-05,17.289090983734305,6.824634469129266
