cell,x_m,dx_m,porosity,vapor_kg_m3,liquid_kg_m3,ice_kg_m3
1,0.00015262083333333342,1.4166666666666668e-07,0.3916,7.560416607230129e-07,0.0,0.0
1,0.0001527625000000001,1.4166666666666668e-07,0.3916,7.580253762288416e-07,0.0,0.0
1,0.00015290416666666675,1.4166666666666668e-07,0.3916,7.600090917083497e-07,0.0,0.0
1,0.00015304583333333342,1.4166666666666668e-07,0.3916,7.619928071614621e-07,0.0,0.0
1,0.00015318750000000008,1.4166666666666668e-07,0.3916,7.639765225881033e-07,0.0,0.0
1,0.00015332916666666675,1.4166666666666668e-07,0.3916,7.659602379881987e-07,0.0,0.0
1,0.0001535250000000001,2.5e-07,0.0,0.0,113.22755475701648,0.0
1,0.00015377500000000012,2.5e-07,0.0,0.0,113.23709708711091,2.924445338565374e-17
1,0.00015402500000000013,2.5e-07,0.0,0.0,113.24106599149323,2.924445338565374e-17
1,0.00015427500000000013,2.5e-07,0.0,0.0,113.2438352521632,2.924445338565374e-17
1,0.00015452500000000014,2.5e-07,0.0,0.0,113.2460392497742,2.924445338565374e-17
1,0.00015477500000000014,2.5e-07,0.0,0.0,113.24794905988475,2.924445338565374e-17
1,0.00015502500000000015,2.5e-07,0.0,0.0,113.24968050290879,3.899260451420498e-17
1,0.00015527500000000016,2.5e-07,0.0,0.0,113.25128305321326,3.899260451420498e-17
1,0.00015552500000000016,2.5e-07,0.0,0.0,113.2527778338735,3.899260451420498e-17
1,0.00015577500000000017,2.5e-07,0.0,0.0,113.25417385345776,3.899260451420498e-17
1,0.00015602500000000017,2.5e-07,0.0,0.0,113.25547494468368,3.899260451420498e-17
1,0.00015627500000000018,2.5e-07,0.0,0.0,113.25668272958973,3.899260451420498e-17
1,0.00015652500000000019,2.5e-07,0.0,0.0,113.25779788667192,3.899260451420498e-17
1,0.0001567750000000002,2.5e-07,0.0,0.0,113.25882069238162,2.924445338565374e-17
1,0.0001570250000000002,2.5e-07,0.0,0.0,113.25975125252884,9.748151128551246e-18
1,0.0001572750000000002,2.5e-07,0.0,0.0,113.2605896011705,1.949630225710249e-17
1,0.0001575250000000002,2.5e-07,0.0,0.0,113.26133574286956,9.748151128551246e-18
1,0.00015777500000000022,2.5e-07,0.0,0.0,113.26198967075447,1.949630225710249e-17
1,0.00015802500000000022,2.5e-07,0.0,0.0,113.26255137423736,9.748151128551246e-18
1,0.00015827500000000023,2.5e-07,0.0,0.0,113.26302084231264,0.0
1,0.00015852500000000023,2.5e-07,0.0,0.0,113.26339806496702,0.0
1,0.00015877500000000024,2.5e-07,0.0,0.0,113.26368303378229,0.0
1,0.00015902500000000025,2.5e-07,0.0,0.0,113.26387574219308,9.748151128551246e-18
1,0.00015927500000000025,2.5e-07,0.0,0.0,113.26397618559648,1.949630225710249e-17
1,0.00015952500000000026,2.5e-07,0.0,0.0,113.26398436139795,0.0
1,0.00015977500000000027,2.5e-07,0.0,0.0,113.26390026902789,9.748151128551246e-18
1,0.00016002500000000027,2.5e-07,0.0,0.0,113.26372390994172,0.0
1,0.00016027500000000028,2.5e-07,0.0,0.0,113.2634552876036,0.0
1,0.00016052500000000028,2.5e-07,0.0,0.0,113.26309440744113,9.748151128551246e-18
1,0.0001607750000000003,2.5e-07,0.0,0.0,113.26264127673655,2.924445338565374e-17
1,0.0001610250000000003,2.5e-07,0.0,0.0,113.26209590437102,2.924445338565374e-17
1,0.0001612750000000003,2.5e-07,0.0,0.0,113.26145830022634,2.924445338565374e-17
