cell,x_m,dx_m,porosity,vapor_kg_m3,liquid_kg_m3,ice_kg_m3
1,0.00015652500000000019,2.5e-07,0.0,0.0,110.37993993388817,1.684681640071495e-17
1,0.0001567750000000002,2.5e-07,0.0,0.0,110.38053487495425,1.2635112300536103e-17
1,0.0001570250000000002,2.5e-07,0.0,0.0,110.38107587416476,4.2117041001787376e-18
1,0.0001572750000000002,2.5e-07,0.0,0.0,110.38156293404344,8.423408200357475e-18
1,0.0001575250000000002,2.5e-07,0.0,0.0,110.38199605277099,4.2117041001787376e-18
1,0.00015777500000000022,2.5e-07,0.0,0.0,110.38237522735588,8.423408200357475e-18
1,0.00015802500000000022,2.5e-07,0.0,0.0,110.38270045471893,4.2117041001787376e-18
1,0.00015827500000000023,2.5e-07,0.0,0.0,110.38297173206415,0.0
1,0.00015852500000000023,2.5e-07,0.0,0.0,110.38318905700557,0.0
1,0.00015877500000000024,2.5e-07,0.0,0.0,110.38335242761075,0.0
1,0.00015902500000000025,2.5e-07,0.0,0.0,110.38346184241563,4.2117041001787376e-18
1,0.00015927500000000025,2.5e-07,0.0,0.0,110.38351730042952,8.423408200357475e-18
1,0.00015952500000000026,2.5e-07,0.0,0.0,110.38351880113704,0.0
1,0.00015977500000000027,2.5e-07,0.0,0.0,110.38346634449844,4.2117041001787376e-18
1,0.00016002500000000027,2.5e-07,0.0,0.0,110.38335993094978,0.0
1,0.00016027500000000028,2.5e-07,0.0,0.0,110.38319956140228,0.0
1,0.00016052500000000028,2.5e-07,0.0,0.0,110.38298523724065,4.2117041001787376e-18
1,0.0001607750000000003,2.5e-07,0.0,0.0,110.38271696031791,1.2635112300536103e-17
1,0.0001610250000000003,2.5e-07,0.0,0.0,110.38239473294077,1.2635112300536103e-17
1,0.0001612750000000003,2.5e-07,0.0,0.0,110.3820185578261,1.2635112300536103e-17
1,0.0001615250000000003,2.5e-07,0.0,0.0,110.38158843797439,1.2635112300536103e-17
1,0.00016177500000000031,2.5e-07,0.0,0.0,110.38110437629979,1.2635112300536103e-17
1,0.00016202500000000032,2.5e-07,0.0,0.0,110.38056637454818,1.2635112300536103e-17
1,0.00016227500000000033,2.5e-07,0.0,0.0,110.37997443013334,1.2635112300536103e-17
1,0.00016252500000000033,2.5e-07,0.0,0.0,110.37932852688586,1.2635112300536103e-17
1,0.00016277500000000034,2.5e-07,0.0,0.0,110.3786286080004,1.2635112300536103e-17
1,0.00016302500000000034,2.5e-07,0.0,0.0,110.37787449692802,1.2635112300536103e-17
1,0.00016327500000000035,2.5e-07,0.0,0.0,110.37706566604709,1.2635112300536103e-17
1,0.00016352500000000036,2.5e-07,0.0,0.0,110.37620056020536,1.2635112300536103e-17
1,0.00016377500000000036,2.5e-07,0.0,0.0,110.37527461860877,1.2635112300536103e-17
1,0.00016402500000000037,2.5e-07,0.0,0.0,110.37427449039726,1.2635112300536103e-17
1,0.00016427500000000037,2.5e-07,0.0,0.0,110.37316111976712,1.2635112300536103e-17
1,0.00016452500000000038,2.5e-07,0.0,0.0,110.37182028337884,1.2635112300536103e-17
1,0.0001647750000000004,2.5e-07,0.0,0.0,110.36991795177867,1.2635112300536103e-17
1,0.0001650250000000004,2.5e-07,0.0,0.0,110.36647733783484,1.2635112300536103e-17
1,0.0001652750000000004,2.5e-07,0.0,0.0,110.35762177099372,0.0
1,0.00016557656250000037,3.53125e-07,0.4207,2.8834331837507655e-06,0.0,0.0
